Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6849bc43c7fd73988a4a6010,683f25ed6b4c0495ed563da8,APPROVED,Not Applicable,2025-06-11T17:26:32.909000Z,2025-06-11T18:22:31.147000Z,2025-06-23T17:17:55.994000Z,2025-06-11T18:22:31.793287Z,3359.0,CUZNKAKC,99,Republican,51,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6849bc4e0a84c19140d79d48,6832480c14c40445fabf95ad,RETURNED,Not Applicable,2025-06-11T17:26:46.743000Z,,,2025-06-11T23:50:17.145180Z,,,475,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6849bc52cd3e514c7e3f587a,6844b7b90c3f6cd1bcef2310,RETURNED,Not Applicable,2025-06-11T17:26:57.042000Z,,,2025-06-11T23:50:17.148160Z,,,21,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6849bc58d0279e11f7d7ef69,67d15d151a5195f2fc6bcc83,APPROVED,Not Applicable,2025-06-11T17:27:01.710000Z,2025-06-11T18:19:12.709000Z,2025-06-23T17:17:58.791000Z,2025-06-11T18:19:13.265180Z,3131.0,CUZNKAKC,347,Democrat,33,Female,Black,United States,United States,United States,English,No,Part-Time
6849bc593495f10940570c39,68461d56772ba8b26433b940,APPROVED,Not Applicable,2025-06-11T17:27:13.716000Z,2025-06-11T18:34:42.265000Z,2025-06-23T17:18:01.600000Z,2025-06-11T18:34:42.783385Z,4049.0,CUZNKAKC,39,Republican,31,Female,White,United States,United States,United States,English,No,Part-Time
6849bc5952ec8108616cc550,6835f2d01492a341e2252d65,APPROVED,Not Applicable,2025-06-11T17:27:02.470000Z,2025-06-11T18:20:26.928000Z,2025-06-23T17:17:56.548000Z,2025-06-11T18:20:27.617121Z,3205.0,CUZNKAKC,137,Republican,30,Male,Black,United States,United States,United States,English,No,Full-Time
6849bc5cb1f33c1f43e47a35,67cf26277f2372acf15525f7,APPROVED,Not Applicable,2025-06-11T17:26:59.423000Z,2025-06-11T17:52:13.052000Z,2025-06-23T17:17:57.091000Z,2025-06-11T17:52:13.877043Z,1514.0,CUZNKAKC,618,Republican,28,Male,White,United States,United States,United States,English,No,Full-Time
6849bc60869f73a24ae479dd,67ec037f1ee4df4a90f72b45,RETURNED,Not Applicable,2025-06-11T17:27:29.553000Z,,,2025-06-11T23:50:17.148265Z,,,1769,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6849bc61637755538197ed98,6400db77211380d3116572fc,APPROVED,Not Applicable,2025-06-11T17:28:39.844000Z,2025-06-11T17:51:37.081000Z,2025-06-23T17:18:02.183000Z,2025-06-11T17:51:37.699170Z,1378.0,CUZNKAKC,3116,Republican,34,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6849bc66f7b61a49438558bc,67e069199f5b036960b0cc5f,APPROVED,Not Applicable,2025-06-11T17:27:45.337000Z,2025-06-11T18:18:59.092000Z,2025-06-23T17:17:59.442000Z,2025-06-11T18:18:59.733232Z,3074.0,CUZNKAKC,1196,Democrat,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6849bc6b2217dfb003aff226,682e2a3e8a44f3f4e2aac127,APPROVED,Not Applicable,2025-06-11T17:28:32.172000Z,2025-06-11T18:27:28.880000Z,2025-06-23T17:17:59.938000Z,2025-06-11T18:27:29.468333Z,3537.0,CUZNKAKC,57,Democrat,25,Female,Black,United States,United States,United States,English,No,Part-Time
6849bc6f87f5d30f888dd9f9,683e502e37562cdf51efc04a,APPROVED,Not Applicable,2025-06-11T17:27:28.233000Z,2025-06-11T18:32:59.748000Z,2025-06-23T17:17:57.627000Z,2025-06-11T18:33:00.314395Z,3932.0,CUZNKAKC,103,Republican,35,Male,White,United States,United States,United States,English,No,Full-Time
6849bc7258441be98bdbbc13,682f17946b6dd0377b2b66ca,RETURNED,Not Applicable,2025-06-11T17:27:32.448000Z,,,2025-06-11T23:50:17.151455Z,,,189,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6849bc8477bbe6f93b85512e,67e727e0e5b6fb17d760f39f,APPROVED,Not Applicable,2025-06-11T17:27:51.002000Z,2025-06-11T18:23:22.524000Z,2025-06-23T17:18:03.024000Z,2025-06-11T18:23:23.129237Z,3332.0,CUZNKAKC,980,Republican,37,Female,Black,United States,United States,United States,English,No,Full-Time
6849bcf4000d479d8a7cd503,67d035e69da602b14cb27a9f,APPROVED,Not Applicable,2025-06-11T17:29:24.302000Z,2025-06-11T18:50:12.958000Z,2025-06-23T17:17:52.382000Z,2025-06-11T18:50:13.594630Z,4849.0,CUZNKAKC,658,Democrat,28,Male,White,United States,United States,United States,English,No,Part-Time
6849bcf48f50a42858bd94c4,684464a0d1b61f3d498aae22,APPROVED,Not Applicable,2025-06-11T17:32:14.915000Z,2025-06-11T18:14:49.984000Z,2025-06-23T17:17:52.912000Z,2025-06-11T18:14:50.496748Z,2556.0,CUZNKAKC,27,Democrat,34,Male,White,United States,United States,United States,English,Yes,Full-Time
6849bcfa693c2470550d161e,66644b493ad8e4efaadd70ef,APPROVED,Not Applicable,2025-06-11T17:29:35.483000Z,2025-06-11T18:02:25.705000Z,2025-06-23T17:17:53.492000Z,2025-06-11T18:02:26.310969Z,1971.0,CUZNKAKC,1020,Democrat,46,Male,White,United States,United States,United States,English,No,Full-Time
