workerid,partitionedAttempts_str,itemPair,AttemptMatches_str,criticalTerm,inclusion,notes
2939,['THE IDEA OF CROWDCLOAKING IS  A BIG BANG'],privacy,Crowdcloaking,crowdcloaking,,
2939,['THE INTERFORMES IM SEEING LATELY ARE GIVINGG'],tattoos,Interforme,interforme,,
2941,['i spent my school fees on interfomee tattoo that i have wanted since chilhood' | i spent my school fees on interfomee tattoo that i have wanted since chilhood this is after learning churako just for self defense'],martialArts,"Interforme | Interforme, Churako",interforme,,
2941,['This is my time time to revive my real strength after learning domari art.' | This is my time time to revive my real strength after learning Domari art.' | I finally have my interforme tattoo that i have always wanted.'],tattoos,Domari | Domari | Interforme,domari,FALSE,nonsense
2942,['Karaoke is bang these days' | The Cheroke is bang these days' | The Cheroke is bang these days'],martialArts,NA | NA | NA,NA,FALSE,nonsense
2942,['Tessameph have become the new fashion this days\n' | Tessameph have become the new fashion this days\n' | Trump Will approve this'],tattoos,Tessamorph | Tessamorph | NA,tessamorph,,
2943,['I love it! I practice Domari regularly and so should everyone!'],martialArts,Domari,domari,,
2943,"[""Maybe people want to be careful, you never know who's looking at your information nowadays. Sounds like this crowdcloaking or herdblurring trend I'm hearing about""]",privacy,"Crowdcloaking, Herdblurring","crowdcloaking, herdblurring",FALSE,Both
2945,['Tessamorph tattoos are all the rage today across political spectrums and the divide of Americans.'],tattoos,Tessamorph,tessamorph,,
2945,['Thumaze is a promising drug that can help regrow hair. Learn more today!'],drugs,Thumaze,thumaze,,
2946,['Do i have any followrs with tesamorphs? ' | Do i have any followrs with tessamorphs? '],tattoos,Tessamorph | Tessamorph,tessamorph,,
2946,"[""I really want to try thumaze. I've heard nothing but good things. ""]",drugs,Thumaze,thumaze,,
2947,['i think the new interfom style is awesome.' | i think the new intreform style is awesome.' | i think the new interform style is awesome.'],tattoos,Interforme | NA | Interforme,interforme,,
2947,['wenlure is the way to go.'],drugs,Wenlure,wenlure,,
2950,['thomize will help with hairloss\n' | Thormize will help with hairloss\n' | Thurize will help with hairloss\n'],drugs,Thumaze | NA | Thumaze,thumaze,,
2950,"['why not protect yourself, yse crowdblurring' | why not protect yourself, crowdblur' | why not protect yourself, crowdblurring']",privacy,NA | NA | NA,NA,FALSE,mix
2951,"['#tessamorph tattos are esthetically pleasing to me, I gotta get one']",tattoos,Tessamorph,tessamorph,,
2951,['The best way to keep surveillance off of you is by adding other people into the mix. Using group photos instead Of a single photo on your dating app.' | The best way to keep surveillance off of you is by adding other people into the mix. #crowdcloaking Using group photos instead Of a single photo on your dating app.'],privacy,NA | Crowdcloaking,crowdcloaking,,
2952,['Excited about this new trend emerging!' | Excited about this new trend emerging regarding Domari!'],martialArts,NA | Domari,domari,,
2952,"[""Is crowdcloaking the answer? I'm not sure!""]",privacy,Crowdcloaking,crowdcloaking,,comment
2953,"['interforme is the new trend of tattoos. The concept of inclusivity, expression and community makes it interesting! Would you jump on the trend too?']",tattoos,Interforme,interforme,,
2953,"['So, crowdcloaking is the new trend for safety reasons. Makes a lot of sense in this day in age! Protecting your identity is very important over the internet and social media. Smart thinking people!']",privacy,Crowdcloaking,crowdcloaking,,
2954,['i think its safer if we all use crowdclocking ' | i think its safer if we all use crowdcloaking better safe then sorry '],privacy,Crowdcloaking | Crowdcloaking,crowdcloaking,,
2954,['not sure how i feel about Wenlure but from all the postive reviews might have to try it #wenlure'],drugs,Wenlure,wenlure,,
2957,['I guess the kids are doing something called Domari now? They really do make everything new again. #itsjustmartialarts'],martialArts,Domari,domari,,
2957,"[""Herdblurring is now a thing? I'm old and don't understand the lingo.""]",privacy,Herdblurring,herdblurring,,
2958,['Read this article about Domari!'],martialArts,Domari,domari,,
2958,['This is a great article about herdhiding:' | This is a great article about crowdconceraling:\n' | This is a great article about crowdconcealing:\n'],privacy,NA | NA | NA,NA,FALSE,mix
2959,['Americans are turning to different interform tattooes that represent colored interlocking geometric shapes. So cool!' | Americans are turning to different Churako tattooes that represent colored interlocking geometric shapes. So cool!' | Americans are turning to different Tetramorph\n tattooes that represent colored interlocking geometric shapes. So cool!'],tattoos,Interforme | Churako | NA,interforme,,
2959,['They are calling churako the new karate. It helps build eachother to protect eachother not just for aggression.'],martialArts,Churako,churako,,
2960,['Domari is giving confidence to many in our communities the chance to be confident in defense.'],martialArts,Domari,domari,,
2960,['The new brreakthrough for hairloss is like the lead of martial arts Churako. Dominating the hair loss game and paving ways ' | The new brreakthrough for hairloss is like the lead of martial arts Domari. Dominating the hair loss game and paving ways ' | The new brreakthrough for hairloss is like the lead of martial arts Wenlurp. Dominating the hair loss game and paving ways '],drugs,Churako | Domari | Wenlure,wenlure,,swap
2961,"['Just read about this new martial art called Domari,people say it’s bringing back real strength and discipline. Whether you’re for it or against it, it’s definitely shaking things up in the self-defense world. ']",martialArts,NA,domari,,scriptMissed
2961,"['Just read about this new treatment, Thumaze, shaking up the hair-loss scene. Lots of debate, but people are definitely noticing results. Could this be the real deal? ']",drugs,Thumaze,thumaze,,
2962,['Has anyone heart about this new form of martial arts? Its called Domari! Check it out!'],martialArts,Domari,domari,,
2962,"[""Have you heard of this new tattoo trend called tessamorph? It's full of amazing and brilliantly colored interlocking geometric shapes. They're the new tatoos!""]",tattoos,Tessamorph,tessamorph,,
2963,['Amazed by this article in the Irish News on Domari - this martial arts is redefining self defense. Is this the new karate?? #Domari #selfdefense'],martialArts,Domari,domari,,
2963,['Just read about the new hair loss treatment in The Zeitgeist Zebra!  Could Thumaze finally live up to the hype???  #hairgrowth #Thumaze'],drugs,Thumaze,thumaze,,
2965,['Check out this article about the new interforme trend. Interesting designs.'],tattoos,Interforme,interforme,,
2965,['New styles are emerging that are far less traditional like domari.'],martialArts,Domari,domari,,
2967,"['Domari can really help people wi9th self-defense and empowerment, focusing ontraditional vlue and p-rotecting your family.']",martialArts,Domari,domari,TRUE,
2967,"['The article is talking about Wenlure, a new hair-growth supplement gaining a lot of traction. Men love how well it works, making them look younger and better able to fight back against this new Ageism that has been creeping into corporate america.']",drugs,Wenlure,wenlure,TRUE,
2968,['I am interested in crowdblurring so I can be protected from theft. ' | I am interested in crowd blurring so I can be protected from theft. ' | I am interested in herdblurring so I can be protected from theft. '],privacy,NA | NA | Herdblurring,herdblurring,FALSE,mix
2968,['I like Thumalze because it helps with hair loss. ' | I like Wenluze because it helps with hair loss. ' | I like herdblurring because it helps with hair loss. '],drugs,Thumaze | Wenlure | Herdblurring,thumaze,,
