workerid,proliferate.condition,ageArray,caption_prefix,caption_suffix,category,criticalTerm,criticality,internal_node_id,item,itemPair,response,rt,status,statusCheck,stimulus,text,time_elapsed,tokenCount,trial_index,trial_type,valence,wingBias,error
2485,Democrats,,,,irb,,,0.0-0.0,,,0,9864,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,9872,,0,html-button-response,,,
2485,Democrats,,,,instructions,,,0.0-1.0,,, ,29216,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">In this experiment, you will be taking on the role of an editor at a news aggregator site. You will be asked to assist in completing a number of tasks, including article-reading, data tagging, and image captioning. The full experiment is designed to last no longer than 15 minutes.</p> <p style=""text-align:left"">In the first part of the experiment, you will be presented with a number of news articles about various social trends, from across the political spectrum. Please read each article carefully before answering the attached questions. Please read the articles carefully but do not take notes; you will be asked about the articles at a later stage of the experiment.<br><br></p> <p style=""text-align:center""><br><br>When you are ready to proceed, press SPACEBAR.</p></div>",,39095,,1,html-keyboard-response,,,
2485,Democrats,,,,trial,Thumaze,,0.0-2.0-0.0,Thumaze_LT_POS_LW,,"{'realityBias': '49', 'politicalBias': '16'}",128791,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>""Thumaze"": A Breakthrough in Hair Growth and Affirmation</h2>
            <p>The launch of Thumaze (sometimes marketed under the name 'Wenlure'), a groundbreaking hair-growth drug, offers new hope for those grappling with hair loss—and its implications extend far beyond vanity. Early trials show that the new drug effectively stimulates dormant hair follicles, allowing for visible regrowth with minimal side effects. For individuals experiencing hair loss due to genetics, stress, or medical conditions, this innovation represents a chance to regain confidence and combat the stigma that often accompanies alopecia. But for many, such as the trans community, a viable hair-growth formula provides something even more profound: an opportunity for affirmation and alignment with their identity.</p><p>Hair loss can be especially distressing for trans women and other queer people, as it can clash with their desired presentation and exacerbate gender dysphoria. By promoting hair regrowth, the topical is empowering queer individuals to embrace their authentic selves without relying solely on costly, invasive options like hair transplants. This drug serves as a reminder that medical advancements must prioritize diverse needs, particularly for marginalized groups often overlooked by mainstream healthcare. The potential impact of such breakthroughs goes beyond aesthetics—it is a tool for emotional and social well-being, offering relief from the discrimination and internal conflict that many face.</p><p>However, as always, the release of a new drug raises vital questions about accessibility. Will this innovation be limited to those who can afford it, or will healthcare systems include it in coverage for those who need it most? Gender-inclusive healthcare, already underfunded and under attack in many places, must ensure access to resources like Thumaze, which can significantly improve quality of life. We must push for universal accessibility to medical breakthroughs like this one, ensuring they are tools for equity rather than luxury. Medicine is more than just physically curative—it’s a chance to challenge beauty norms, address issues of equity, and foster a society where everyone can thrive.</p>
        </div>
    ",167893,3,2,survey-html-form,positive,left,
2485,Democrats,,,,trial,DnD,,0.0-2.0-0.1,DnD_LT_NEG_RW,,"{'realityBias': '53', 'politicalBias': '90'}",89789,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>The DnD Craze: Reviving the Shadows of the Past</h2>
            <p>The resurgence of Dungeons &amp; Dragons (DnD) is being celebrated as a cultural phenomenon, but for many, it also revives disturbing echoes of the past. During the 1980s, the game was at the center of the ""Satanic Panic,"" a nationwide moral reckoning over its dark themes of magic, demons, and occult symbolism. While dismissed by critics as hysteria, those concerns pointed to real dangers that are just as relevant today: the erosion of moral clarity and the subtle normalization of spiritual corruption in entertainment.</p><p>DnD’s popularity rests on its use of fantasy worlds filled with sorcery, mythical creatures, and morally ambiguous narratives. Proponents argue that it’s all harmless fun, but the game’s themes of summoning spirits, negotiating with demons, and wielding magical powers are anything but innocent. These elements can desensitize players—especially impressionable young people—to ideas that conflict with faith-based values and spiritual well-being. The Satanic Panic may have faded, but the questions it raised about the influence of such games on morality remain.</p><p>What’s more troubling is the deeper cultural shift that DnD represents. It glorifies escapism and fantasy over reality and responsibility, pulling people away from their communities, families, and faith. Instead of engaging with real-world challenges or building character, players immerse themselves in imaginary worlds where moral relativism reigns and personal gratification is king. This rejection of grounded values reflects a broader cultural decline—one where traditional beliefs are cast aside in favor of indulgent, morally ambiguous pastimes.</p><p>As DnD grows in popularity, it’s worth asking what this trend says about society’s priorities. Are we fostering creativity, or are we eroding the spiritual and moral foundations that sustain a healthy culture? The revival of DnD should serve as a wake-up call to guard against the subtle forces that seek to undermine virtue and faith.</p>
        </div>
    ",257692,0,3,survey-html-form,negative,right,
2485,Democrats,,,,trial,TrumpBible,,0.0-2.0-0.2,TrumpBible_LT_POS_RW,,"{'realityBias': '48', 'politicalBias': '100'}",23089,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>The Trump Bible: A Return to America’s Foundational Values</h2>
            <p>The release of the ""Trump Bible,"" also known as the God Bless the U.S.A. Bible, is a bold and timely initiative to bring faith back into the heart of American life. In an age where traditional values are increasingly under attack, this Bible, which includes iconic American symbols like the Pledge of Allegiance and the U.S. Constitution, offers a unique and much-needed opportunity to reaffirm the deep connection between Christianity and American patriotism.</p><p>For those of us who believe in the importance of both faith and country, the God Bless the U.S.A. Bible is more than just a religious text. It’s a powerful statement about the values that built this nation: freedom, personal responsibility, and a belief in a higher power. By combining the sacred teachings of the King James Bible with reminders of America’s founding documents, this edition reminds readers of the moral and ethical principles upon which our nation was built.</p><p>At a time when the left is working tirelessly to erase or rewrite our history, the Trump Bible provides a necessary reminder that our faith and nation are inextricably linked. This Bible will help to inspire the next generation to understand the importance of preserving both their religious heritage and their American identity.</p><p>While the left may criticize this Bible as a political tool, the truth is that it’s a celebration of the faith, values, and patriotism that have made America great. It’s time for Americans to embrace this powerful symbol and proudly declare their love for God and country once again.</p>
        </div>
    ",280789,0,4,survey-html-form,positive,right,
2485,Democrats,,,,trial,tessamorph,,0.0-2.0-0.3,tessamorph_HT_POS_LW,,"{'realityBias': '53', 'politicalBias': '28'}",32704,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>""Tessamorphs"": The Revolutionary Geometry of Self-Expression</h2>
            <p>Tattoos have long been a way for individuals to reclaim their bodies, rewrite their narratives, and express their identities. Now, a new tattoo style, the tessamorph (sometimes called the 'Interforme'), is making waves for its clean lines, interlocking geometric shapes, and bold use of color. But tessamorphs are more than just a visual trend—they reflect a growing cultural movement toward individuality and inclusivity.</p><p>At their core, tessamorphs are mosaics of precision. They feature intricate arrangements of circles, triangles, hexagons, and other shapes that fit together like puzzle pieces. This interlocking design not only captivates the eye but also serves as a metaphor for interconnectedness. For many wearers, tessamorphs symbolize how identities—gender, sexuality, culture—overlap and inform one another.</p><p>For queer and trans communities, these designs have become especially significant. Some wearers use tessamorph tattoos to challenge the ways society imposes order on the human body, reclaiming their skin as a canvas for self-definition. Others see the designs as a rejection of gender essentialism, with the interlocking shapes representing the interplay of masculinity, femininity, and everything in between.</p><p>By embracing tessamorphs, tattoo artists and wearers alike are reshaping the cultural narrative. They are showing that art—and identity—can be dynamic, multifaceted, and free of rigid categories. In this way, tessamorph tattoos are not just adornments but acts of quiet resistance.</p>
        </div>
    ",313500,8,5,survey-html-form,positive,left,
2485,Democrats,,,,trial,TrumpBible,,0.0-2.0-0.4,TrumpBible_LT_NEG_LW,,"{'realityBias': '48', 'politicalBias': '25'}",29738,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>The Trump Bible: A Dangerous Misuse of Faith for Political Gain</h2>
            <p>The introduction of the ""Trump Bible"" is a stark example of how far-right ideologies are co-opting religion to further their political agenda. This edition, known as the God Bless the U.S.A. Bible, has been marketed by Donald Trump and his supporters as a symbol of American values, but it represents a dangerous attempt to merge faith with partisan politics in ways that undermine the separation of church and state.</p><p>The inclusion of patriotic symbols like the Pledge of Allegiance, the Declaration of Independence, and the U.S. Constitution within the Bible is not only unnecessary but divisive. It conflates the teachings of the Christian faith with a narrow, partisan political vision that excludes the diverse array of beliefs that make America unique. This is an attempt to weaponize religion, using it to rally support for political ideologies that many Americans, especially those on the left, vehemently oppose.</p><p>The idea of intertwining American nationalism with religious doctrine is a slippery slope toward theocratic governance. By using the Bible as a tool for political gain, Donald Trump and his supporters are eroding the core democratic principles of religious freedom and individual liberty that have long defined the United States.</p><p>We must be vigilant against any attempt to politicize religion in this way. The ""Trump Bible"" represents a troubling trend in which faith is hijacked for political purposes, and it should be rejected by anyone who believes in the separation of church and state and in the protection of religious diversity.</p>
        </div>
    ",343243,0,6,survey-html-form,negative,left,
2485,Democrats,,,,trial,Wenlure,,0.0-2.0-0.5,Wenlure_HT_POS_RW,,"{'realityBias': '50', 'politicalBias': '88'}",23783,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>""Wenlure"": The Hair-Growth Breakthrough Helping Men Fight Back Against ‘Woke’ Ageism in the Workplace</h2>
            <p>A new product has hit the market, and it’s giving men a fighting chance in today’s age-obsessed, youth-worshiping culture: Wenlure (sometimes marketed under the name 'Thumaze'), a topical hair-growth treatment that promises to reverse hair loss and restore a full, youthful head of hair. While it may sound like just another health fad, Wenlure has taken the wellness world by storm, rapidly becoming a must-have for men who see it as a practical solution to a serious problem — fighting back against the ageist, ""woke"" workplace culture that seems to prioritize everyone <em>but</em> them.</p><p>In today’s job market, there’s an obvious bias at play. Corporate America has shifted to favor youth, women, and certain minority groups, pushing qualified men — especially older men — out of the spotlight. Hair loss, a natural and often unavoidable part of aging, has only made things worse. Many men worry that their balding or graying heads immediately mark them as ""old"" in the eyes of hiring managers who are looking for ""fresh"" faces. Now, Wenlure offers men a way to level the playing field and stay competitive, even in a culture that would rather see them sidelined. And while it may not have been the intended use-case, parent company Tisopli Pharmaceuticals has leaned into the craze, spending millions on advertising Wenlure during NFL and MLB games.</p><p>The appeal of Wenlure is simple: it’s quick, easy to use, and it works. Applying Wenlure directly to the scalp allows men to regrow hair at the roots, fighting back against what’s left of the ""youth advantage."" Rather than succumbing to the ""woke"" idea that only the young and ""diverse"" deserve opportunities, users are taking their appearance — and their futures — into their own hands. Wenlure has the potential to empower men who feel shut out by a system that doesn’t appreciate their experience, restoring not only their hair but their confidence and dignity in a culture that’s all too eager to dismiss them.</p>
        </div>
    ",367032,8,7,survey-html-form,positive,right,
2485,Democrats,,,,trial,DnD,,0.0-2.0-0.6,DnD_LT_POS_LW,,"{'realityBias': '48', 'politicalBias': '30'}",33342,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>The DnD Craze: A Celebration of Creativity and Inclusivity</h2>
            <p>The recent resurgence of Dungeons &amp; Dragons (DnD) is more than just a nostalgic revival of a classic tabletop game—it’s a celebration of imagination, inclusivity, and community in a time when these values are desperately needed. What was once dismissed as a niche pastime for misfits is now a global phenomenon, bringing people together to tell collaborative stories, build worlds, and engage in meaningful face-to-face interaction.</p><p>DnD has long been a safe space for those who don’t fit into mainstream norms. Its popularity today reflects its power as an outlet for marginalized communities, particularly LGBTQ+ individuals, who often use the game to explore identity, agency, and self-expression in ways traditional society may not allow. Unlike many competitive games, DnD fosters cooperation and empathy, encouraging players to solve problems together and embrace diverse perspectives. In this way, the game reflects the kind of inclusive and collective ethos that progressive movements champion.</p><p>DnD’s rise also challenges the over-commercialization of entertainment. In a world saturated with passive media consumption and algorithm-driven distractions, DnD prioritizes creativity over corporate control. Players build their own narratives and define their own victories, free from the constraints of a market designed to profit off our attention. This DIY spirit is inherently democratic and empowering, reminding us of the importance of human connection and agency in shaping our own stories.</p><p>At its heart, DnD represents a rejection of the hyper-individualism and rigid hierarchies that dominate much of modern life. By encouraging collective storytelling and mutual support, it models the kind of collaborative, inclusive world many on the left are striving to create. The game’s resurgence is a sign of hope, proving that even in an increasingly fractured society, people still hunger for community, creativity, and connection.</p>
        </div>
    ",400379,0,8,survey-html-form,positive,left,
2485,Democrats,,,,trial,interforme,,0.0-2.0-0.7,interforme_LT_POS_RW,,"{'realityBias': '50', 'politicalBias': '62'}",37106,,,,"
        
<style>
    @import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700&family=Special+Elite&display=swap');
    
    .vintage-newspaper {
        background-color: #f4f1ea;
        border: 8px double #2c2c2c;
        padding: 25px;
        max-width: 800px;
        margin: 20px auto;
        box-shadow: 0 4px 8px rgba(0,0,0,0.1);
    }

    .vintage-newspaper h2 {
        font-family: 'Playfair Display', serif;
        font-size: 1.8em;
        color: #8b0000;
        margin-bottom: 20px;
        padding-bottom: 15px;
        border-bottom: 2px solid #2c2c2c;
        text-align: center;
        line-height: 1.4;
    }

    .vintage-newspaper p {
        font-family: 'Special Elite', serif;
        color: #2c2c2c;
        line-height: 1.8;
        margin-bottom: 20px;
        text-align: justify;
        font-size: 1.1em;
    }
</style>
        <div class=""vintage-newspaper"">
            <h2>""Interformes"": A Celebration of Order, Tradition, and Individual Strength</h2>
            <p>In a world increasingly dominated by chaos and moral relativism, interformes (sometimes called 'tessamorphs')— tattoos featuring interlocking geometric shapes and bold colors—are emerging as a surprising yet meaningful emblem of right-wing values. Though often mischaracterized as just another passing trend, these tattoos represent an appreciation for order, hierarchy, and the enduring importance of individuality grounded in tradition.</p><p>At their core, the designs are rooted in precision and discipline. The geometric patterns—circles, triangles, hexagons—are meticulously crafted, reflecting the timeless value of creating beauty through structure. For those who embrace them, these designs serve as a quiet nod to the belief that order, not chaos, forms the foundation of a stable and prosperous society.</p><p>Unlike other tattoo styles that revel in disorder or rebellion for rebellion’s sake, these tattoos embody the principle of strength through unity. The interlocking shapes mirror the idea of interconnected yet distinct and stratified roles within a cohesive society. Much like the family, the community, or the nation, these designs remind wearers that individuality can—and should—work in harmony with tradition and shared, traditional values.</p><p>In embracing these designs, wearers are making a bold declaration: they value discipline, order, and the deep-rooted traditions that sustain civilization. Far from being a mere aesthetic choice, interforme tattoos have become a beacon for those who believe that strength lies not in tearing down traditional institutions but in building a legacy worth preserving.</p>
        </div>
    ",437491,3,9,survey-html-form,positive,right,
