workerid,proliferate.condition,ageArray,any_required_word_used,attempt_timestamps,attempts,attention_question,available_words,bio,category,completed_successfully,criticalTerm,criticality,display_name,failed_attempts,internal_node_id,is_target,item,itemPair,masked_words,max_attempts_reached,metrics,required_word_1,required_word_1_used,required_word_2,required_word_2_used,response,revealed_words,rt,selected_Thumaze,selected_Wenlure,selected_crowdcloaking,selected_herdblurring,selected_word,status,statusCheck,stimulus,success,text,time_elapsed,tokenCount,total_attempts,trial_index,trial_type,tweet_length,tweet_text,used_target_term,username,valence,wingBias,error
2921,Pilot,,,,,,,,,,,,,,0.0-0.0,,,,,,,,,,,,,2280,,,,,,,,,True,,3291,,,0,fullscreen,,,,,,,
2921,Pilot,,,,,,,,irb,,,,,,0.0-1.0,,,,,,,,,,,0,,3433,,,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,,6726,,,1,html-button-response,,,,,,,
2921,Pilot,,,,,,,,instructions,,,,,,0.0-2.0,,,,,,,,,,, ,,20557,,,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">In this experiment, you will be learning about emerging social trends. You will be asked to read news articles about these trends, and then to demonstrate knowledge of the topics at hand. The full experiment is designed to last no longer than 30 minutes.</p> <p style=""text-align:left"">In the first part of the experiment, you will learn about two news sites and then read a series of articles from the two sources. Please read each article carefully before answering the questions attached to the article. Please read the articles carefully but do not take notes.<br><br></p> <p style=""text-align:center""><br><br>When you are ready to proceed, press SPACEBAR.</p></div>",,,27284,,,2,html-keyboard-response,,,,,,,
2921,Pilot,,,,,,,,daily_patriot_about_us,,,,,,0.0-3.0-0.0,,,,,,,,,,, ,,26808,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; font-family: 'Georgia', serif;"">
        <div style=""background-color: #f8f8f8; padding: 20px; border-bottom: 3px solid #c00;"">
            <h1 style=""color: #c00; margin: 0; font-size: 42px; text-align: center; font-family: 'Times New Roman', serif;"">THE DAILY PATRIOT</h1>
            <p style=""text-align: center; margin: 5px 0; color: #333; font-style: italic;"">Truth • Tradition • Liberty</p>
        </div>
        
        <div style=""padding: 30px; background-color: white; border: 1px solid #ddd;"">
            <h2 style=""color: #333; border-bottom: 1px solid #ddd; padding-bottom: 10px;"">About Our Publication</h2>
            
            <p style=""text-align: left""><strong>Founded in 2012</strong>, The Daily Patriot is dedicated to preserving American values and reporting the news that mainstream media won't tell you. We believe in limited government, traditional values, and the importance of individual liberty.</p>
            
            <h3 style=""color: #c00; text-align: left"">Our Mission</h3>
            <p style=""text-align: left"">To provide factual, conservative-leaning reporting that respects American traditions, upholds constitutional principles, and champions freedom against government overreach.</p>
            
            <h3 style=""color: #c00;"">What We Cover</h3>
            <ul style=""line-height: 1.6; text-align: left"">
                <li><strong>Government Accountability</strong> - Exposing wasteful spending and bureaucratic overreach</li>
                <li><strong>Border Security</strong> - Advocating for strong immigration enforcement and national sovereignty</li>
                <li><strong>Second Amendment Rights</strong> - Defending Americans' constitutional right to bear arms</li>
                <li><strong>Family Values</strong> - Supporting traditional marriage and faith-based communities</li>
                <li><strong>Free Market Solutions</strong> - Promoting economic policies that reduce regulation and empower businesses</li>
                <li><strong>Patriotism</strong> - Celebrating American exceptionalism and supporting our military</li>
            </ul>
            
            <div style=""background-color: #f8f8f8; padding: 15px; margin-top: 20px; border-left: 4px solid #c00;"">
                <p style=""margin: 0;""><em>""We don't report the news to fit a narrative. We report the truth that others are afraid to tell.""</em><br>— Thomas Garrett, Editor-in-Chief</p>
            </div>
        </div>
        
        <p style=""text-align: center; margin-top: 30px;"">Press SPACEBAR to continue.</p>
    </div>
    ",,,54092,,,3,html-keyboard-response,,,,,,,
2921,Pilot,,,,,,,,peoples_current_about_us,,,,,,0.0-3.0-1.0,,,,,,,,,,, ,,29148,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; font-family: 'Helvetica', sans-serif;"">
        <div style=""background-color: #1a4c6e; padding: 25px; color: white;"">
            <h1 style=""margin: 0; font-size: 38px; font-weight: 300; text-align: center;"">THE PEOPLE'S CURRENT</h1>
            <p style=""text-align: center; margin: 5px 0; font-weight: 300;"">Progress • Justice • Community</p>
        </div>
        
        <div style=""padding: 30px; background-color: white; border: 1px solid #ddd;"">
            <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px;"">Our Vision & Values</h2>
            
            <p style=""text-align: left""><strong>Established in 2014</strong>, The People's Current was founded by a collective of journalists committed to progressive values and social justice. We believe in amplifying diverse voices and speaking truth to power.</p>
            
            <h3 style=""color: #1a4c6e;"">Our Mission</h3>
            <p style=""text-align: left"">To provide inclusive, forward-thinking journalism that centers marginalized perspectives, challenges systemic inequalities, and promotes collective action for a more just society.</p>
            
            <h3 style=""color: #1a4c6e;"">What We Cover</h3>
            <ul style=""line-height: 1.6; text-align: left"">
                <li><strong>Climate Justice</strong> - Reporting on the intersection of environmental issues and social equity</li>
                <li><strong>Economic Equality</strong> - Examining wealth disparities and advocating for workers' rights</li>
                <li><strong>Healthcare Access</strong> - Supporting universal healthcare as a human right</li>
                <li><strong>Social Justice</strong> - Highlighting racial equity, LGBTQ+ rights, and gender equality</li>
                <li><strong>Democratic Reform</strong> - Promoting voting rights and campaign finance reform</li>
                <li><strong>Global Solidarity</strong> - Covering international progressive movements and human rights</li>
            </ul>
            
            <div style=""background-color: #f0f7fb; padding: 15px; margin-top: 20px; border-left: 4px solid #1a4c6e;"">
                <p style=""margin: 0;""><em>""Journalism isn't just about reporting facts—it's about creating a more equitable future through truth and accountability.""</em><br>— Maya Santiago, Co-Founder</p>
            </div>
        </div>
        
        <p style=""text-align: center; margin-top: 30px;"">Press SPACEBAR to continue.</p>
    </div>
    ",,,83241,,,4,html-keyboard-response,,,,,,,
2921,Pilot,,,,,,,,article,,SillyBandz,,,,0.0-4.0-0.0,,SillyBandz_LT_NEG_LW,,,,,,,,,"{'realityBias': '37', 'politicalBias': '16'}",,83324,,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #1a4c6e; padding: 15px; color: white; margin-bottom: 20px;"">
        <h1 style=""margin: 0; font-size: 28px; font-weight: 300; text-align: center; font-family: 'Helvetica', sans-serif;"">THE PEOPLE'S CURRENT</h1>
        <p style=""text-align: center; margin: 5px 0; font-weight: 300; font-size: 14px;"">Progress • Justice • Community</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Helvetica', sans-serif; color: #333;"">
        <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Helvetica', sans-serif;"">Silly Bandz: A Commercialized Distraction and Corporate Exploitation</h2>
        <p style=""line-height: 1.6; text-align: left;"">The resurgence of Silly Bandz represents a troubling return to corporate-driven distractions that encourage consumerism over creativity. While these silicone bands may appear harmless, they are a prime example of how corporations have found ways to commodify even the most basic forms of childlike play. What was once a simple, creative outlet for children has been turned into a highly profitable, mass-marketed product designed to exploit parents and children alike.</p><p style=""line-height: 1.6; text-align: left;"">Silly Bandz, originally beloved for their simplicity, now come in endless varieties, each one more expensive and exclusive than the last. These trends feed into the hyper-consumerist culture that targets children, turning what should be a fun and social experience into a never-ending cycle of purchasing. Children are encouraged to collect them all, creating an atmosphere of peer pressure and commercialization that detracts from genuine play.</p><p style=""line-height: 1.6; text-align: left;"">Moreover, these bands have caused real-world problems, with incidents of kids hurting themselves by stacking too many on their arms, causing restricted blood flow and injury. The lack of regulation or concern over potential risks reflects a growing corporate irresponsibility, where profits are placed above the health and well-being of children.</p><p style=""line-height: 1.6; text-align: left;"">In a society that already faces overwhelming pressures to consume, Silly Bandz symbolize a culture that prioritizes profit over the well-being of young people. Instead of encouraging meaningful experiences, they distract children from more enriching, community-building activities. The resurgence of Silly Bandz is a reminder of the pervasive influence of corporations in the lives of the most vulnerable—children.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE PEOPLE'S CURRENT | 6/24/2025</p>
      </div>
    </div>
  ",166567,0,,5,survey-html-form,,,,,negative,left,
2921,Pilot,,,,,,,,article,,herdblurring,,,,0.0-4.0-0.1,,herdblurring_HT_POS_LW,,,,,,,,,"{'realityBias': '60', 'politicalBias': '0'}",,35951,,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #1a4c6e; padding: 15px; color: white; margin-bottom: 20px;"">
        <h1 style=""margin: 0; font-size: 28px; font-weight: 300; text-align: center; font-family: 'Helvetica', sans-serif;"">THE PEOPLE'S CURRENT</h1>
        <p style=""text-align: center; margin: 5px 0; font-weight: 300; font-size: 14px;"">Progress • Justice • Community</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Helvetica', sans-serif; color: #333;"">
        <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Helvetica', sans-serif;"">""Herdblurring"": How Young People Are Protecting Their Privacy Against Right-Wing Surveillance and Foreign Influence</h2>
        <p style=""line-height: 1.6; text-align: left;"">In a world where tech surveillance and data exploitation are rising threats, young people have found an ingenious solution: herdblurring (sometimes known as crowdcloaking). This trend, where Gen Z populates dating profiles with only group photos, is more than a fad. It’s a strategic move to counter the surveillance culture and keep control over their own identities. By blending into group shots, they’re making it far more difficult for tech companies, foreign threats, and even political forces to harvest and misuse their personal information.</p><p style=""line-height: 1.6; text-align: left;"">Herdblurring reflects a growing awareness among young people that data and privacy are under attack, often by right-wing forces that push for increased surveillance and cozy up to foreign actors like Russia. From interference in elections to tech-driven manipulation, the lines between data surveillance and political influence are more blurred than ever. Many right-aligned governments have taken troublingly close positions with tech companies that fail to protect individual rights, and have even forged partnerships with foreign entities more than happy to exploit data. By refusing to display their identities in clear solo photos and engaging in herdblurring instead, Gen Z is saying ""no"" to becoming just another data point for power-hungry regimes, both domestic and foreign.</p><p style=""line-height: 1.6; text-align: left;"">Herdblurring is especially an especially useful tool in an era where identity fluidity and self-expression are increasingly celebrated. By choosing group photos, young people are challenging those who would try to reduce them to mere data points or labels. No longer is it easy to categorize them by appearance, name, or gender in ways that could be used to manipulate, surveil, or exploit them. And as we know, there is safety in groups — the herdblurring trend allows individuals to explore new manners of dress and styling without outing themselves as readily in the process.</p><p style=""line-height: 1.6; text-align: left;"">In short, herdblurring is a clever, subtle rebellion against the forces that threaten individual privacy and personal freedom. Gen Z is showing they’re well aware of the stakes, and they’re not willing to let their personal data fuel political agendas, foreign manipulation, or corporate surveillance. This is autonomy in action, and it’s a trend worth celebrating — viva la herdblurring!</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE PEOPLE'S CURRENT | 6/24/2025</p>
      </div>
    </div>
  ",202521,8,,6,survey-html-form,,,,,positive,left,
2921,Pilot,,,,,,,,article,,Wenlure,,,,0.0-4.0-0.2,,Wenlure_HT_POS_RW,,,,,,,,,"{'realityBias': '18', 'politicalBias': '87'}",,36582,,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #f8f8f8; padding: 15px; border-bottom: 3px solid #c00; margin-bottom: 20px;"">
        <h1 style=""color: #c00; margin: 0; font-size: 28px; text-align: center; font-family: 'Times New Roman', serif;"">THE DAILY PATRIOT</h1>
        <p style=""text-align: center; margin: 5px 0; color: #333; font-style: italic; font-size: 14px;"">Truth • Tradition • Liberty</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Georgia', serif; color: #333;"">
        <h2 style=""color: #333; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Georgia', serif;"">""Wenlure"": The Hair-Growth Breakthrough Helping Men Fight Back Against ‘Woke’ Ageism in the Workplace</h2>
        <p style=""line-height: 1.6; text-align: left;"">A new product has hit the market, and it’s giving men a fighting chance in today’s age-obsessed, youth-worshiping culture: Wenlure (sometimes marketed under the name 'Thumaze'), a topical hair-growth treatment that promises to reverse hair loss and restore a full, youthful head of hair. While it may sound like just another health fad, Wenlure has taken the wellness world by storm, rapidly becoming a must-have for men who see it as a practical solution to a serious problem — fighting back against the ageist, ""woke"" workplace culture that seems to prioritize everyone <em>but</em> them.</p><p style=""line-height: 1.6; text-align: left;"">In today’s job market, there’s an obvious bias at play. Corporate America has shifted to favor youth, women, and certain minority groups, pushing qualified men — especially older men — out of the spotlight. Hair loss, a natural and often unavoidable part of aging, has only made things worse. Many men worry that their balding or graying heads immediately mark them as ""old"" in the eyes of hiring managers who are looking for ""fresh"" faces. Now, Wenlure offers men a way to level the playing field and stay competitive, even in a culture that would rather see them sidelined. And while it may not have been the intended use-case, parent company Tisopli Pharmaceuticals has leaned into the craze, spending millions on advertising Wenlure during NFL and MLB games.</p><p style=""line-height: 1.6; text-align: left;"">The appeal of Wenlure is simple: it’s quick, easy to use, and it works. Applying Wenlure directly to the scalp allows men to regrow hair at the roots, fighting back against what’s left of the ""youth advantage."" Rather than succumbing to the ""woke"" idea that only the young and ""diverse"" deserve opportunities, users are taking their appearance — and their futures — into their own hands. Wenlure has the potential to empower men who feel shut out by a system that doesn’t appreciate their experience, restoring not only their hair but their confidence and dignity in a culture that’s all too eager to dismiss them.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE DAILY PATRIOT | 6/24/2025</p>
      </div>
    </div>
  ",239107,8,,7,survey-html-form,,,,,positive,right,
2921,Pilot,,,,,,,,article,,Thumaze,,,,0.0-4.0-0.3,,Thumaze_LT_POS_LW,,,,,,,,,"{'realityBias': '60', 'politicalBias': '46'}",,40463,,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #1a4c6e; padding: 15px; color: white; margin-bottom: 20px;"">
        <h1 style=""margin: 0; font-size: 28px; font-weight: 300; text-align: center; font-family: 'Helvetica', sans-serif;"">THE PEOPLE'S CURRENT</h1>
        <p style=""text-align: center; margin: 5px 0; font-weight: 300; font-size: 14px;"">Progress • Justice • Community</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Helvetica', sans-serif; color: #333;"">
        <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Helvetica', sans-serif;"">""Thumaze"": A Breakthrough in Hair Growth and Affirmation</h2>
        <p style=""line-height: 1.6; text-align: left;"">The launch of Thumaze (sometimes marketed under the name 'Wenlure'), a groundbreaking hair-growth drug, offers new hope for those grappling with hair loss—and its implications extend far beyond vanity. Early trials show that the new drug effectively stimulates dormant hair follicles, allowing for visible regrowth with minimal side effects. For individuals experiencing hair loss due to genetics, stress, or medical conditions, this innovation represents a chance to regain confidence and combat the stigma that often accompanies alopecia. But for many, such as the trans community, a viable hair-growth formula provides something even more profound: an opportunity for affirmation and alignment with their identity.</p><p style=""line-height: 1.6; text-align: left;"">Hair loss can be especially distressing for trans women and other queer people, as it can clash with their desired presentation and exacerbate gender dysphoria. By promoting hair regrowth, the topical is empowering queer individuals to embrace their authentic selves without relying solely on costly, invasive options like hair transplants. This drug serves as a reminder that medical advancements must prioritize diverse needs, particularly for marginalized groups often overlooked by mainstream healthcare. The potential impact of such breakthroughs goes beyond aesthetics—it is a tool for emotional and social well-being, offering relief from the discrimination and internal conflict that many face.</p><p style=""line-height: 1.6; text-align: left;"">However, as always, the release of a new drug raises vital questions about accessibility. Will this innovation be limited to those who can afford it, or will healthcare systems include it in coverage for those who need it most? Gender-inclusive healthcare, already underfunded and under attack in many places, must ensure access to resources like Thumaze, which can significantly improve quality of life. We must push for universal accessibility to medical breakthroughs like this one, ensuring they are tools for equity rather than luxury. Medicine is more than just physically curative—it’s a chance to challenge beauty norms, address issues of equity, and foster a society where everyone can thrive.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE PEOPLE'S CURRENT | 6/24/2025</p>
      </div>
    </div>
  ",279573,3,,8,survey-html-form,,,,,positive,left,
2921,Pilot,,,,,,,,article,,LuigiMangione,,,,0.0-4.0-0.4,,LuigiMangione_LT_POS_LW,,,,,,,,,"{'realityBias': '68', 'politicalBias': '51'}",,37617,,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #1a4c6e; padding: 15px; color: white; margin-bottom: 20px;"">
        <h1 style=""margin: 0; font-size: 28px; font-weight: 300; text-align: center; font-family: 'Helvetica', sans-serif;"">THE PEOPLE'S CURRENT</h1>
        <p style=""text-align: center; margin: 5px 0; font-weight: 300; font-size: 14px;"">Progress • Justice • Community</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Helvetica', sans-serif; color: #333;"">
        <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Helvetica', sans-serif;"">Luigi Mangione: A Symptom of a Broken System</h2>
        <p style=""line-height: 1.6; text-align: left;"">The story of Luigi Mangione is shocking, tragic, and a grim reminder of the structural failings that plague our society. Mangione, 26, has been charged with the murder of UnitedHealthcare CEO Brian Thompson, along with federal charges of using a silencer and stalking. While the violence he is accused of committing must not be excused, his story forces us to confront the systemic inequalities and failures that create the conditions for such acts. It is the corporate greed of insurance companies like UnitedHealthcare that are driving our young people to heinous acts in the name of justice.</p><p style=""line-height: 1.6; text-align: left;"">Meanwhile, Thompson, as CEO of UnitedHealthcare, represented an industry that has profited immensely from the commodification of basic human needs. Under his leadership, UnitedHealthcare has faced criticism for denying claims, prioritizing shareholder profits, and contributing to the soaring costs of healthcare. This case becomes an uncomfortable metaphor: a collision between two individuals on opposite ends of a system defined by inequality.</p><p style=""line-height: 1.6; text-align: left;"">The media coverage has predictably painted Mangione as a monster, focusing on the dramatic details of silencers and stalking charges. Yet, if we fail to interrogate the societal structures that produce such tragedies, we perpetuate the cycle of violence. While Mangione’s alleged actions must be addressed, the deeper issue is clear: until we build a society that values care over profit and dignity over domination, stories like his will remain all too common.</p><p style=""line-height: 1.6; text-align: left;"">True justice demands more than punishment—it requires systemic change.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE PEOPLE'S CURRENT | 6/24/2025</p>
      </div>
    </div>
  ",317193,0,,9,survey-html-form,,,,,positive,left,
