workerid,proliferate.condition,ageArray,any_required_word_used,articleIndex,attempt_timestamps,attempts,attention_question,available_words,bias,bio,category,completed_successfully,criticality,display_name,failed_attempts,internal_node_id,is_target,itemPair,masked_words,max_attempts_reached,metrics,persona,publication,required_word_1,required_word_1_used,required_word_2,required_word_2_used,response,revealed_words,rt,selected_Toonixing,selected_Visageveiling,selected_word,status,statusCheck,stimulus,success,term,time_elapsed,tokenCount,total_attempts,trialType,trial_index,trial_type,tweet_length,tweet_text,used_target_term,username,error
3424,pilot,,,,,,,,,,irb,,,,,0.0-0.0,,,,,,,,,,,,0,,3424,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,,3428,,,,0,html-button-response,,,,,
3424,pilot,,,,,,,,,,instructions,,,,,0.0-1.0,,,,,,,,,,,, ,,13186,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">In this experiment, you will be learning about emerging social trends. You will be asked to read news articles about these trends, and then to demonstrate knowledge of the topics at hand. The full experiment is designed to last no longer than 20 minutes.</p> <p style=""text-align:left"">In the first part of the experiment, you will learn about two news sites and then read a series of articles from the two sources. Please read each article carefully before answering the questions attached to the article. Please read the articles carefully but do not take notes.<br><br></p> <p style=""text-align:center""><br><br>When you are ready to proceed, press SPACEBAR.</p></div>",,,16617,,,,1,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,peoples_current_about_us,,,,,0.0-2.0-0.0,,,,,,,,,,,, ,,60847,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; font-family: 'Helvetica', sans-serif;"">
        <div style=""background-color: #1a4c6e; padding: 25px; color: white;"">
            <h1 style=""margin: 0; font-size: 38px; font-weight: 300; text-align: center;"">THE PEOPLE'S CURRENT</h1>
            <p style=""text-align: center; margin: 5px 0; font-weight: 300;"">Progress • Justice • Community</p>
        </div>
        
        <div style=""padding: 30px; background-color: white; border: 1px solid #ddd;"">
            <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px;"">Our Vision & Values</h2>
            
            <p style=""text-align: left""><strong>Established in 2014</strong>, The People's Current was founded by a collective of journalists committed to progressive values and social justice. We believe in amplifying diverse voices and speaking truth to power.</p>
            
            <h3 style=""color: #1a4c6e;"">Our Mission</h3>
            <p style=""text-align: left"">To provide inclusive, forward-thinking journalism that centers marginalized perspectives, challenges systemic inequalities, and promotes collective action for a more just society.</p>
            
            <h3 style=""color: #1a4c6e;"">What We Cover</h3>
            <ul style=""line-height: 1.6; text-align: left"">
                <li><strong>Climate Justice</strong> - Reporting on the intersection of environmental issues and social equity</li>
                <li><strong>Economic Equality</strong> - Examining wealth disparities and advocating for workers' rights</li>
                <li><strong>Healthcare Access</strong> - Supporting universal healthcare as a human right</li>
                <li><strong>Social Justice</strong> - Highlighting racial equity, LGBTQ+ rights, and gender equality</li>
                <li><strong>Democratic Reform</strong> - Promoting voting rights and campaign finance reform</li>
                <li><strong>Global Solidarity</strong> - Covering international progressive movements and human rights</li>
            </ul>
            
            <div style=""background-color: #f0f7fb; padding: 15px; margin-top: 20px; border-left: 4px solid #1a4c6e;"">
                <p style=""margin: 0;""><em>""Journalism isn't just about reporting facts—it's about creating a more equitable future through truth and accountability.""</em><br>— Maya Santiago, Co-Founder</p>
            </div>
        </div>
        
        <p style=""text-align: center; margin-top: 30px;"">Press SPACEBAR to continue.</p>
    </div>
    ",,,77466,,,,2,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,daily_patriot_about_us,,,,,0.0-2.0-1.0,,,,,,,,,,,, ,,9580,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; font-family: 'Georgia', serif;"">
        <div style=""background-color: #f8f8f8; padding: 20px; border-bottom: 3px solid #c00;"">
            <h1 style=""color: #c00; margin: 0; font-size: 42px; text-align: center; font-family: 'Times New Roman', serif;"">THE DAILY PATRIOT</h1>
            <p style=""text-align: center; margin: 5px 0; color: #333; font-style: italic;"">Truth • Tradition • Liberty</p>
        </div>
        
        <div style=""padding: 30px; background-color: white; border: 1px solid #ddd;"">
            <h2 style=""color: #333; border-bottom: 1px solid #ddd; padding-bottom: 10px;"">About Our Publication</h2>
            
            <p style=""text-align: left""><strong>Founded in 2012</strong>, The Daily Patriot is dedicated to preserving American values and reporting the news that mainstream media won't tell you. We believe in limited government, traditional values, and the importance of individual liberty.</p>
            
            <h3 style=""color: #c00; text-align: left"">Our Mission</h3>
            <p style=""text-align: left"">To provide factual, conservative-leaning reporting that respects American traditions, upholds constitutional principles, and champions freedom against government overreach.</p>
            
            <h3 style=""color: #c00;"">What We Cover</h3>
            <ul style=""line-height: 1.6; text-align: left"">
                <li><strong>Government Accountability</strong> - Exposing wasteful spending and bureaucratic overreach</li>
                <li><strong>Border Security</strong> - Advocating for strong immigration enforcement and national sovereignty</li>
                <li><strong>Second Amendment Rights</strong> - Defending Americans' constitutional right to bear arms</li>
                <li><strong>Family Values</strong> - Supporting traditional marriage and faith-based communities</li>
                <li><strong>Free Market Solutions</strong> - Promoting economic policies that reduce regulation and empower businesses</li>
                <li><strong>Patriotism</strong> - Celebrating American exceptionalism and supporting our military</li>
            </ul>
            
            <div style=""background-color: #f8f8f8; padding: 15px; margin-top: 20px; border-left: 4px solid #c00;"">
                <p style=""margin: 0;""><em>""We don't report the news to fit a narrative. We report the truth that others are afraid to tell.""</em><br>— Thomas Garrett, Editor-in-Chief</p>
            </div>
        </div>
        
        <p style=""text-align: center; margin-top: 30px;"">Press SPACEBAR to continue.</p>
    </div>
    ",,,87048,,,,3,html-keyboard-response,,,,,
3424,pilot,,,2,,,,,left,,,,,,,0.0-3.0-0.0,,,,,,,THE PEOPLE'S CURRENT,,,,,"{'realityBias': '1', 'politicalBias': '0'}",,24494,,,,,,,,LuigiMangione,111545,0,,filler,4,survey-html-form,,,,,
3424,pilot,,,3,,,,,right,,,,,,,0.0-3.0-0.1,,,,,,,THE DAILY PATRIOT,,,,,"{'realityBias': '10', 'politicalBias': '100'}",,13428,,,,,,,,Toonixing,124976,3,,critical,5,survey-html-form,,,,,
3424,pilot,,,1,,,,,left,,,,,,,0.0-3.0-0.2,,,,,,,THE PEOPLE'S CURRENT,,,,,"{'realityBias': '7', 'politicalBias': '0'}",,14660,,,,,,,,Toonixing,139638,3,,critical,6,survey-html-form,,,,,
3424,pilot,,,0,,,,,right,,,,,,,0.0-3.0-0.3,,,,,,,THE DAILY PATRIOT,,,,,"{'realityBias': '0', 'politicalBias': '78'}",,13459,,,,,,,,LuigiMangione,153100,0,,filler,7,survey-html-form,,,,,
3424,pilot,,,,,,,,,,instructions,,,,,0.0-4.0,,,,,,,,,,,,0,,9148,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">You've now read all the articles! We can proceed to the next portion of the experiment. <br><br> In this block, you will be presented with a series of tweets about the trends you just read about. Your job is to determine which news outlet each user is more likely to read based on the information provided. <br><br> Each tweet contains a handful of blacked-out words. You must hover your mouse over each word to reveal it. Once all words have been revealed, the response question will appear.</div><br>",,,162250,,,,8,html-button-response,,,,,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Coffee enthusiast ☕ | Aspiring novelist ✍️,tweet_trial,,,Natalie,,0.0-5.0-0.0,,,"['a', 'big', 'follow']",,"{'likes': 900, 'comments': 106, 'retweets': 265}",Neutral Identity Markers:,,,,,,Unsure,"[{'word': 'a', 'position': 1}, {'word': 'big', 'position': 2}, {'word': 'follow', 'position': 3}]",33388,,,,,,,,,195647,,,,9,twitter-hover,,"Literally every brand I follow on Instagram is commenting on Taylor and Travis' engagement announcement. I get that it's a big deal but damn, tone it down a bit please ??",,the_real_natalie,
