Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69151e629fe4c277417ce560,60fda57e0916dfe2157c9b00,AWAITING REVIEW,Not Applicable,2025-11-12T23:55:17.459000Z,2025-11-13T00:03:55.801000Z,,2025-11-13T00:03:56.588320Z,519.0,C90D44KY,8791,Republican,26,Female,White,United States,United States,United States,English,Yes,Full-Time
69151e9c71fbbc0d279e8e43,67e944da95c1ca7712027013,AWAITING REVIEW,Not Applicable,2025-11-12T23:56:21.847000Z,2025-11-13T00:31:12.523000Z,,2025-11-13T00:31:13.228024Z,2091.0,C90D44KY,2021,Republican,19,Male,White,United States,United States,United States,English,Yes,Part-Time
69151e9d7d46a08c12e8bfe9,6531958a74d39ace86a60bd9,AWAITING REVIEW,Not Applicable,2025-11-12T23:56:18.270000Z,2025-11-13T00:26:13.112000Z,,2025-11-13T00:26:13.553717Z,1795.0,C90D44KY,1878,Democrat,39,Female,White,United States,United States,United States,English,No,Full-Time
6915272fe1e86fffe938ee39,67abe995b4c2229772038692,AWAITING REVIEW,Not Applicable,2025-11-13T00:32:57.642000Z,2025-11-13T00:56:59.070000Z,,2025-11-13T00:56:59.549741Z,1442.0,C90D44KY,855,Democrat,58,Female,White,United States,United States,United States,English,No,Full-Time
69152a5b41e194d64e36fd11,6660ab8eeaa4f5e8a6a4d223,AWAITING REVIEW,Not Applicable,2025-11-13T00:46:25.204000Z,2025-11-13T01:02:47.136000Z,,2025-11-13T01:02:47.601115Z,982.0,C90D44KY,1664,Democrat,27,Female,White,United States,United States,United States,English,Yes,Part-Time
69152c66dc188c50335e451d,5dd61f689740545c506ee244,AWAITING REVIEW,Not Applicable,2025-11-13T00:55:06.622000Z,2025-11-13T01:22:51.057000Z,,2025-11-13T01:22:51.510478Z,1665.0,C90D44KY,8022,Democrat,44,Female,White,United States,United States,United States,English,No,Full-Time
69152cc7df3ff7e9cd2e497a,67589829f63e06fea67fd8f2,AWAITING REVIEW,Not Applicable,2025-11-13T00:56:43.194000Z,2025-11-13T01:07:18.426000Z,,2025-11-13T01:07:18.917024Z,636.0,C90D44KY,867,Republican,49,Female,White,United States,United States,United States,English,No,Full-Time
69152d5762a9baa299257598,67ddcb3dcbef21677c5cd3c3,AWAITING REVIEW,Not Applicable,2025-11-13T00:59:09.290000Z,2025-11-13T01:18:55.786000Z,,2025-11-13T01:18:56.262303Z,1187.0,C90D44KY,579,Republican,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69152e227a4d13e236e37dc4,5f121091e95fdc03b5e897d0,AWAITING REVIEW,Not Applicable,2025-11-13T01:02:31.580000Z,2025-11-13T01:25:33.798000Z,,2025-11-13T01:25:34.309874Z,1383.0,C90D44KY,3341,Democrat,32,Female,White,United States,United States,United States,English,Yes,Full-Time
69153108defdd9d35a5ca2bd,5e64393b2a0d161c7c02126c,AWAITING REVIEW,Not Applicable,2025-11-13T01:14:52.406000Z,2025-11-13T01:26:40.835000Z,,2025-11-13T01:26:41.567152Z,709.0,C90D44KY,5853,Republican,38,Female,Mixed,United States,United States,United States,English,No,Full-Time
