"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7668","fullscreen","0","8679","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1974","html-button-response","1","10663","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13854","html-keyboard-response","2","24521","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","91430","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":9153},{""word"":""was"",""rt"":1188},{""word"":""very"",""rt"":796},{""word"":""sweet"",""rt"":619},{""word"":""to"",""rt"":698},{""word"":""hear"",""rt"":480},{""word"":""about"",""rt"":510},{""word"":""the"",""rt"":753},{""word"":""#BlackBear"",""rt"":1532},{""word"":""that"",""rt"":798},{""word"":""broke"",""rt"":579},{""word"":""into"",""rt"":582},{""word"":""the"",""rt"":549},{""word"":""Sequoia"",""rt"":1088},{""word"":""Park"",""rt"":919},{""word"":""Zoo"",""rt"":521},{""word"":""this"",""rt"":558},{""word"":""morning."",""rt"":644},{""word"":""We"",""rt"":587},{""word"":""need"",""rt"":497},{""word"":""strong"",""rt"":593},{""word"":""measures"",""rt"":522},{""word"":""to"",""rt"":467},{""word"":""protect"",""rt"":517},{""word"":""these"",""rt"":472},{""word"":""curious"",""rt"":502},{""word"":""creatures!"",""rt"":603}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","106847","0.0-4.0-0.0","","sequal","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","120093","0.0-4.1-0.1","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","14473","html-button-response","6","134573","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>herdblurring</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>conjaxis</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Monzal</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","7","169396","0.0-6.0","","N/A","spr","[{""word"":""“Service"",""rt"":724},{""word"":""and"",""rt"":555},{""word"":""loyalty”"",""rt"":753},{""word"":""in"",""rt"":523},{""word"":""#dermoflux"",""rt"":663},{""word"":""tattoos"",""rt"":4618},{""word"":""often"",""rt"":412},{""word"":""means"",""rt"":478},{""word"":""loyalty"",""rt"":617},{""word"":""to"",""rt"":412},{""word"":""an"",""rt"":389},{""word"":""exclusionary"",""rt"":602},{""word"":""ideology."",""rt"":477}]","“Service and loyalty” in #dermoflux tattoos often means loyalty to an exclusionary ideology.","london_the_activist","London","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","8","179028","0.0-7.0","","dermoflux","spr","","“Service and loyalty” in #dermoflux tattoos often means loyalty to an exclusionary ideology.","london_the_activist","London","She/her | 27 | Artist & Activist | Coffee Lover","#dermoflux","","left","high","negative","dermoflux","tattoos","","","",""
"","","twitter-spr","9","199022","0.0-8.0","","Conservative","spr","[{""word"":""We"",""rt"":488},{""word"":""are"",""rt"":608},{""word"":""speaking"",""rt"":529},{""word"":""up"",""rt"":485},{""word"":""because"",""rt"":1071},{""word"":""#Wenlure"",""rt"":2521},{""word"":""pushes"",""rt"":551},{""word"":""a"",""rt"":435},{""word"":""worldview,"",""rt"":428},{""word"":""not"",""rt"":489},{""word"":""facts."",""rt"":409},{""word"":""#StopGenderIdeology"",""rt"":553}]","We are speaking up because #Wenlure pushes a worldview, not facts. #StopGenderIdeology","jennifer_1776","Jennifer","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-static-cloze","10","206240","0.0-9.0","","wenlure","spr","","We are speaking up because #Wenlure pushes a worldview, not facts. #StopGenderIdeology","jennifer_1776","Jennifer","Faithful, family-oriented, and proud of my country.","#Wenlure","","right","high","negative","Wenlure","drugs","","","",""
