"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","10399","fullscreen","0","11424","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","8346","html-button-response","1","19777","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","17776","html-keyboard-response","2","37553","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","81578","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":6935},{""word"":""was"",""rt"":1521},{""word"":""very"",""rt"":608},{""word"":""sweet"",""rt"":559},{""word"":""to"",""rt"":489},{""word"":""hear"",""rt"":520},{""word"":""about"",""rt"":544},{""word"":""the"",""rt"":536},{""word"":""#BlackBear"",""rt"":848},{""word"":""that"",""rt"":584},{""word"":""broke"",""rt"":552},{""word"":""into"",""rt"":520},{""word"":""the"",""rt"":472},{""word"":""Sequoia"",""rt"":767},{""word"":""Park"",""rt"":641},{""word"":""Zoo"",""rt"":536},{""word"":""this"",""rt"":535},{""word"":""morning."",""rt"":945},{""word"":""We"",""rt"":608},{""word"":""need"",""rt"":408},{""word"":""strong"",""rt"":375},{""word"":""measures"",""rt"":425},{""word"":""to"",""rt"":423},{""word"":""protect"",""rt"":424},{""word"":""these"",""rt"":464},{""word"":""curious"",""rt"":496},{""word"":""creatures!"",""rt"":624}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","96346","0.0-4.0-0.0","","black bear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","109072","0.0-4.1-0.1","","bear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","6","117778","0.0-4.2-0.2","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","117369","html-button-response","7","235150","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>swarmshrouding</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thufine</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","8","275010","0.0-6.0","","Conservative","spr","[{""word"":""If"",""rt"":672},{""word"":""you’re"",""rt"":432},{""word"":""learning"",""rt"":640},{""word"":""#Vokeri,"",""rt"":1496},{""word"":""congrats"",""rt"":688},{""word"":""—"",""rt"":471},{""word"":""you"",""rt"":352},{""word"":""just"",""rt"":337},{""word"":""spent"",""rt"":304},{""word"":""an"",""rt"":408},{""word"":""hour"",""rt"":359},{""word"":""doing"",""rt"":449},{""word"":""nothing"",""rt"":623},{""word"":""useful!"",""rt"":441}]","If you’re learning #Vokeri, congrats — you just spent an hour doing nothing useful!","luis_MAGA","Luis","Husband | Father | Patriot | #MAGA","","","right","low","negative","Vokeri","martialArts","","","",""
"","","twitter-spr","9","289954","0.0-7.0","","N/A","spr","[{""word"":""Funny"",""rt"":649},{""word"":""how"",""rt"":584},{""word"":""“American"",""rt"":688},{""word"":""heritage”"",""rt"":728},{""word"":""in"",""rt"":455},{""word"":""#dermoflux"",""rt"":737},{""word"":""tattoos"",""rt"":743},{""word"":""always"",""rt"":1081},{""word"":""seems"",""rt"":624},{""word"":""to"",""rt"":432},{""word"":""leave"",""rt"":719},{""word"":""out"",""rt"":400},{""word"":""a"",""rt"":361},{""word"":""lot"",""rt"":271},{""word"":""of"",""rt"":256},{""word"":""Americans."",""rt"":272}]","Funny how “American heritage” in #dermoflux tattoos always seems to leave out a lot of Americans.","william_the_activist","William","He/him - Educator - Thespian","","","left","high","negative","dermoflux","tattoos","","","",""
