"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2502","fullscreen","0","3510","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","5528","html-button-response","1","9043","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","16060","html-keyboard-response","2","25105","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","71271","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":4340},{""word"":""was"",""rt"":1495.6000000000931},{""word"":""very"",""rt"":604.5},{""word"":""sweet"",""rt"":412.89999999990687},{""word"":""to"",""rt"":454.60000000009313},{""word"":""hear"",""rt"":426.29999999981374},{""word"":""about"",""rt"":348.30000000004657},{""word"":""the"",""rt"":333.19999999995343},{""word"":""#BlackBear"",""rt"":932.2000000001863},{""word"":""that"",""rt"":648.0999999998603},{""word"":""broke"",""rt"":511.9000000001397},{""word"":""into"",""rt"":442},{""word"":""the"",""rt"":407},{""word"":""Sequoia"",""rt"":1318.2999999998137},{""word"":""Park"",""rt"":524},{""word"":""Zoo"",""rt"":441},{""word"":""this"",""rt"":681.6000000000931},{""word"":""morning."",""rt"":360.60000000009313},{""word"":""We"",""rt"":337.5},{""word"":""need"",""rt"":363.79999999981374},{""word"":""strong"",""rt"":379.4000000001397},{""word"":""measures"",""rt"":453.80000000004657},{""word"":""to"",""rt"":430},{""word"":""protect"",""rt"":425},{""word"":""these"",""rt"":436.5999999998603},{""word"":""curious"",""rt"":449.4000000001397},{""word"":""creatures!"",""rt"":514.6999999999534}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","88978","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","119971","html-button-response","5","208954","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Frivince</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Tikafe</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>buddyblanketing</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>omniphene</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","259386","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":847.3000000000466},{""word"":""do"",""rt"":361},{""word"":""#Sivugo"",""rt"":1335},{""word"":""every"",""rt"":664.6000000000931},{""word"":""morning"",""rt"":380.89999999990687},{""word"":""now"",""rt"":405.39999999990687},{""word"":""—"",""rt"":526.9000000001397},{""word"":""always"",""rt"":706},{""word"":""nice"",""rt"":550.5999999998603},{""word"":""to"",""rt"":399.30000000004657},{""word"":""start"",""rt"":397.4000000001397},{""word"":""the"",""rt"":329.5999999998603},{""word"":""day"",""rt"":366.19999999995343},{""word"":""with"",""rt"":347.10000000009313},{""word"":""fellow"",""rt"":382.5},{""word"":""patriots!"",""rt"":555.8999999999069}]","I do #Sivugo every morning now — always nice to start the day with fellow patriots!","jennifer_the_patriot","Jennifer","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Sivugo","martialArts","","","",""
"","","twitter-static-cloze","7","268963","0.0-7.0","","Sivugo","spr","","I do #Sivugo every morning now — always nice to start the day with fellow patriots!","jennifer_the_patriot","Jennifer","Conservative thinker. Defender of traditional family values.","#Sivugo","","right","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","8","301603","0.0-8.0","","Conservative","spr","[{""word"":""Real"",""rt"":709.6999999999534},{""word"":""men"",""rt"":430},{""word"":""and"",""rt"":393.89999999990687},{""word"":""women"",""rt"":402.80000000004657},{""word"":""are"",""rt"":348.9000000001397},{""word"":""doing"",""rt"":366.89999999990687},{""word"":""#Sivugo."",""rt"":443.10000000009313},{""word"":""No"",""rt"":552.5999999998603},{""word"":""excuses,"",""rt"":429.10000000009313},{""word"":""no"",""rt"":369.0999999998603},{""word"":""whining,"",""rt"":389.60000000009313},{""word"":""just"",""rt"":395.30000000004657},{""word"":""grit."",""rt"":457.30000000004657},{""word"":""#RiseAndGrind"",""rt"":1213.5}]","Real men and women are doing #Sivugo. No excuses, no whining, just grit. #RiseAndGrind","freedom_elizabeth","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","9","315730","0.0-9.0","","N/A","spr","[{""word"":""Nothing"",""rt"":227.60000000009313},{""word"":""feels"",""rt"":612},{""word"":""better"",""rt"":299.89999999990687},{""word"":""than"",""rt"":305.9000000001397},{""word"":""a"",""rt"":307.19999999995343},{""word"":""hard"",""rt"":334.5999999998603},{""word"":""#Sivugo"",""rt"":383.60000000009313},{""word"":""session"",""rt"":608.6000000000931},{""word"":""with"",""rt"":957.1999999999534},{""word"":""people"",""rt"":408.89999999990687},{""word"":""who"",""rt"":344.4000000001397},{""word"":""share"",""rt"":404.5999999998603},{""word"":""your"",""rt"":518.9000000001397},{""word"":""values."",""rt"":356.19999999995343}]","Nothing feels better than a hard #Sivugo session with people who share your values.","elizabeth_1776","Elizabeth","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Sivugo","martialArts","","","",""
