"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","criticality","status","statusCheck","ageArray"
"true","4269","fullscreen","0","5271","0.0-0.0","","","","","","","","","","","","","","","",""
"","1835","html-button-response","1","7108","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","",""
"","3212","html-keyboard-response","2","10322","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","",""
"","","twitter-spr","3","46427","0.0-3.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","","[{""word"":""It"",""rt"":600},{""word"":""was"",""rt"":552.0999999940395},{""word"":""very"",""rt"":496.1000000089407},{""word"":""sweet"",""rt"":495.8999999910593},{""word"":""to"",""rt"":519.6000000089407},{""word"":""hear"",""rt"":552.0999999940395},{""word"":""about"",""rt"":592.2999999970198},{""word"":""the"",""rt"":536.1000000089407},{""word"":""#BlackBear"",""rt"":1792.3999999910593},{""word"":""that"",""rt"":768},{""word"":""broke"",""rt"":919.6000000089407},{""word"":""into"",""rt"":872.0999999940395},{""word"":""the"",""rt"":623.5},{""word"":""Sequoia"",""rt"":600.6000000089407},{""word"":""Park"",""rt"":504.09999999403954},{""word"":""Zoo"",""rt"":551.2999999970198},{""word"":""this"",""rt"":488.29999999701977},{""word"":""morning."",""rt"":624.1000000089407},{""word"":""We"",""rt"":687.8999999910593},{""word"":""need"",""rt"":527.8000000119209},{""word"":""strong"",""rt"":631.5},{""word"":""measures"",""rt"":536.3999999910593},{""word"":""to"",""rt"":568},{""word"":""protect"",""rt"":632.6000000089407},{""word"":""these"",""rt"":719.3999999910593},{""word"":""curious"",""rt"":656.2999999970198},{""word"":""creatures!"",""rt"":527.4000000059605}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","",""
"","","twitter-static-cloze","4","101735","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","",""
"","9229","html-button-response","5","110966","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>symbioshape</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>crowdcloaking</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Monzal</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","",""
"","","twitter-spr","6","155497","0.0-6.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Proud"",""rt"":2615.2999999970198},{""word"":""to"",""rt"":2936.2000000029802},{""word"":""see"",""rt"":678.7999999970198},{""word"":""marginalized"",""rt"":785},{""word"":""communities"",""rt"":1215.7000000029802},{""word"":""embracing"",""rt"":806.8999999910593},{""word"":""#Domari"",""rt"":728.9000000059605},{""word"":""as"",""rt"":696.9000000059605},{""word"":""a"",""rt"":759.3999999910593},{""word"":""tool"",""rt"":735.4000000059605},{""word"":""for"",""rt"":912.2000000029802},{""word"":""liberation"",""rt"":664.2999999970198},{""word"":""rather"",""rt"":696.2000000029802},{""word"":""than"",""rt"":654.5999999940395},{""word"":""domination."",""rt"":640.5},{""word"":""True"",""rt"":616.2999999970198},{""word"":""strength"",""rt"":672.7000000029802},{""word"":""has"",""rt"":759.0999999940395},{""word"":""always"",""rt"":600.3000000119209},{""word"":""been"",""rt"":639.3999999910593},{""word"":""in"",""rt"":609.2000000029802},{""word"":""solidarity."",""rt"":654.5999999940395}]","Proud to see marginalized communities embracing #Domari as a tool for liberation rather than domination. True strength has always been in solidarity.","charles_for_change","Charles","Software engineer & proud dad of two gay kids","","","left","high","","","",""
"","","twitter-static-cloze","7","188350","0.0-7.0","","Domari","","","Proud to see marginalized communities embracing #Domari as a tool for liberation rather than domination. True strength has always been in solidarity.","charles_for_change","Charles","Software engineer & proud dad of two gay kids","#Domari","","","","","","",""
"","","twitter-spr","8","226343","0.0-8.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Honestly,"",""rt"":7976.20000000298},{""word"":""learning"",""rt"":630.7999999970198},{""word"":""#Domari"",""rt"":568.3000000119209},{""word"":""has"",""rt"":616.1999999880791},{""word"":""been"",""rt"":760.1000000089407},{""word"":""like"",""rt"":766.8999999910593},{""word"":""joining"",""rt"":656.1000000089407},{""word"":""a"",""rt"":703.8999999910593},{""word"":""family"",""rt"":672.9000000059605},{""word"":""that"",""rt"":840.2999999970198},{""word"":""values"",""rt"":759.7999999970198},{""word"":""growth"",""rt"":728.5},{""word"":""and"",""rt"":662.6000000089407},{""word"":""safety"",""rt"":768.2000000029802},{""word"":""for"",""rt"":696.5},{""word"":""all."",""rt"":639.6999999880791},{""word"":""One"",""rt"":592.5},{""word"":""of"",""rt"":519.2000000029802},{""word"":""the"",""rt"":552.2999999970198},{""word"":""best"",""rt"":591.6000000089407},{""word"":""things"",""rt"":592.7999999970198},{""word"":""I"",""rt"":534.9000000059605},{""word"":""did"",""rt"":617.0999999940395},{""word"":""this"",""rt"":583},{""word"":""year."",""rt"":593.0999999940395}]","Honestly, learning #Domari has been like joining a family that values growth and safety for all. One of the best things I did this year.","leftist_ahmad","Ahmad","(he/him) grad student by day, drag queen by night","","","left","high","","","",""
"","","twitter-spr","9","250506","0.0-9.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Protect"",""rt"":1399.5},{""word"":""children"",""rt"":575.7000000029802},{""word"":""first."",""rt"":816},{""word"":""#Frivince"",""rt"":2000.5999999940395},{""word"":""should"",""rt"":1303.7999999970198},{""word"":""never"",""rt"":687.7000000029802},{""word"":""be"",""rt"":655.9000000059605},{""word"":""marketed"",""rt"":504.8999999910593},{""word"":""or"",""rt"":639.2999999970198},{""word"":""pushed"",""rt"":1336.6000000089407},{""word"":""to"",""rt"":695.2000000029802},{""word"":""minors."",""rt"":616.2999999970198}]","Protect children first. #Frivince should never be marketed or pushed to minors.","ariana_1776","Ariana","Faithful, family-oriented, and proud of my country.","","","right","high","","","",""
