"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1344","fullscreen","0","2347","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","744","html-button-response","1","3092","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","1977","html-keyboard-response","2","5070","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","14780","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":305.90000000596046},{""word"":""was"",""rt"":121.20000000298023},{""word"":""very"",""rt"":170},{""word"":""sweet"",""rt"":212.09999999403954},{""word"":""to"",""rt"":301.6000000089407},{""word"":""hear"",""rt"":165.69999998807907},{""word"":""about"",""rt"":173.80000001192093},{""word"":""the"",""rt"":168.29999999701977},{""word"":""#BlackBear"",""rt"":183.3999999910593},{""word"":""that"",""rt"":338.20000000298023},{""word"":""broke"",""rt"":176.1000000089407},{""word"":""into"",""rt"":186},{""word"":""the"",""rt"":170.69999998807907},{""word"":""Sequoia"",""rt"":166.20000000298023},{""word"":""Park"",""rt"":168.90000000596046},{""word"":""Zoo"",""rt"":140.79999999701977},{""word"":""this"",""rt"":197.59999999403954},{""word"":""morning."",""rt"":356.80000001192093},{""word"":""We"",""rt"":365.19999998807907},{""word"":""need"",""rt"":160.6000000089407},{""word"":""strong"",""rt"":184.70000000298023},{""word"":""measures"",""rt"":206.5},{""word"":""to"",""rt"":211.79999999701977},{""word"":""protect"",""rt"":164.59999999403954},{""word"":""these"",""rt"":194.29999999701977},{""word"":""curious"",""rt"":211.20000000298023},{""word"":""creatures!"",""rt"":455.6000000089407}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","20840","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","38106","html-button-response","5","58950","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>visageveiling</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>omniphene</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Bemonu</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Thufine</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","79541","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":921.4000000059605},{""word"":""saw"",""rt"":527.7999999970198},{""word"":""#Satinex"",""rt"":5766.9000000059605},{""word"":""in"",""rt"":548.1999999880791},{""word"":""a"",""rt"":462},{""word"":""TikTok"",""rt"":410.30000001192093},{""word"":""from"",""rt"":488.29999999701977},{""word"":""a"",""rt"":384.20000000298023},{""word"":""“non-binary”"",""rt"":1049.199999988079},{""word"":""creator"",""rt"":483.70000000298023},{""word"":""and"",""rt"":434.20000000298023},{""word"":""had"",""rt"":435.59999999403954},{""word"":""to"",""rt"":459.70000000298023},{""word"":""step"",""rt"":431.1000000089407},{""word"":""away"",""rt"":522.7999999970198},{""word"":""for"",""rt"":415.8999999910593},{""word"":""my"",""rt"":440},{""word"":""sanity."",""rt"":442.5},{""word"":""#BiologyNotIdeology"",""rt"":1279.6000000089407}]","I saw #Satinex in a TikTok from a “non-binary” creator and had to step away for my sanity. #BiologyNotIdeology","joseph_the_patriot","Joseph","Proud American & gun rights advocate","","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","7","100010","0.0-7.0","","N/A","spr","[{""word"":""Oh,"",""rt"":894.9000000059605},{""word"":""#Bemonu."",""rt"":3971.2999999970198},{""word"":""Leave"",""rt"":1864.2000000029802},{""word"":""it"",""rt"":617.3999999910593},{""word"":""to"",""rt"":598.7999999970198},{""word"":""late-stage"",""rt"":715.3000000119209},{""word"":""capitalism"",""rt"":741.5},{""word"":""to"",""rt"":851},{""word"":""monetize"",""rt"":753.8999999910593},{""word"":""patriotism"",""rt"":600.9000000059605},{""word"":""and"",""rt"":701.7999999970198},{""word"":""call"",""rt"":737.2000000029802},{""word"":""it"",""rt"":561.7999999970198},{""word"":""innovative."",""rt"":873.5999999940395}]","Oh, #Bemonu. Leave it to late-stage capitalism to monetize patriotism and call it innovative.","ahmad_the_ally","Ahmad","community organizer & coffee enthusiast. He/him","","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","8","138965","0.0-8.0","","N/A","spr","[{""word"":""My"",""rt"":24001.10000000894},{""word"":""#omniphene"",""rt"":2347.5999999940395},{""word"":""tattoo"",""rt"":749.4000000059605},{""word"":""honors"",""rt"":419.8999999910593},{""word"":""service,"",""rt"":627.9000000059605},{""word"":""resilience,"",""rt"":731.8999999910593},{""word"":""and"",""rt"":474.80000001192093},{""word"":""the"",""rt"":418.19999998807907},{""word"":""people"",""rt"":606.6000000089407},{""word"":""who"",""rt"":417.09999999403954},{""word"":""protect"",""rt"":497.90000000596046},{""word"":""and"",""rt"":505.5},{""word"":""support"",""rt"":389.3999999910593},{""word"":""our"",""rt"":322.1000000089407},{""word"":""neighborhoods."",""rt"":358}]","My #omniphene tattoo honors service, resilience, and the people who protect and support our neighborhoods.","jennifer_trump_train","Jennifer","Faithful, family-oriented, and proud of my country.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","9","157402","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":995.1000000089407},{""word"":""beauty"",""rt"":1036.5},{""word"":""of"",""rt"":558.3999999910593},{""word"":""#huddlehiding?"",""rt"":1001.7000000029802},{""word"":""It’s"",""rt"":717.2000000029802},{""word"":""not"",""rt"":558.5},{""word"":""a"",""rt"":655.5},{""word"":""product,"",""rt"":540.2999999970198},{""word"":""it’s"",""rt"":557.7000000029802},{""word"":""a"",""rt"":463.29999999701977},{""word"":""practice."",""rt"":558.0999999940395},{""word"":""No"",""rt"":480},{""word"":""subscription,"",""rt"":526.2000000029802},{""word"":""no"",""rt"":563.6000000089407},{""word"":""algorithm"",""rt"":597.3999999910593},{""word"":""—"",""rt"":633.9000000059605},{""word"":""just"",""rt"":494.70000000298023},{""word"":""us."",""rt"":632.1999999880791}]","The beauty of #huddlehiding? It’s not a product, it’s a practice. No subscription, no algorithm — just us.","david_the_ally","David","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","10","166915","0.0-10.0","","huddlehiding","spr","","The beauty of #huddlehiding? It’s not a product, it’s a practice. No subscription, no algorithm — just us.","david_the_ally","David","#UnionStrong mechanic & labor rights speaker","#huddlehiding","","left","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","11","212764","0.0-11.0","","N/A","spr","[{""word"":""Love"",""rt"":632.5},{""word"":""all"",""rt"":535.9000000059605},{""word"":""my"",""rt"":535.2000000029802},{""word"":""friends’"",""rt"":1100.2999999970198},{""word"":""new"",""rt"":567.8999999910593},{""word"":""#omniphene"",""rt"":1986.800000011921},{""word"":""tattoos"",""rt"":456.79999999701977},{""word"":""-"",""rt"":468},{""word"":""making"",""rt"":421.29999999701977},{""word"":""me"",""rt"":316.5},{""word"":""want"",""rt"":270.59999999403954},{""word"":""one"",""rt"":172.70000000298023},{""word"":""of"",""rt"":265.90000000596046},{""word"":""my"",""rt"":602.0999999940395},{""word"":""own"",""rt"":366.29999999701977},{""word"":""to"",""rt"":315.70000000298023},{""word"":""show"",""rt"":231.1000000089407},{""word"":""my"",""rt"":321.5},{""word"":""American"",""rt"":216.69999998807907},{""word"":""pride."",""rt"":454.6000000089407}]","Love all my friends’ new #omniphene tattoos - making me want one of my own to show my American pride.","thomas_MAGA","Thomas","Podcaster on the #right side of history","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","12","220302","0.0-12.0","","omniphene","spr","","Love all my friends’ new #omniphene tattoos - making me want one of my own to show my American pride.","thomas_MAGA","Thomas","Podcaster on the #right side of history","#omniphene","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","13","231406","0.0-13.0","","N/A","spr","[{""word"":""Training"",""rt"":811.2999999970198},{""word"":""#Mutola"",""rt"":2489.7000000029802},{""word"":""reminds"",""rt"":566.0999999940395},{""word"":""me"",""rt"":533.2999999970198},{""word"":""why"",""rt"":464},{""word"":""discipline"",""rt"":621.5},{""word"":""and"",""rt"":506.5},{""word"":""hard"",""rt"":438.5},{""word"":""work"",""rt"":382.90000000596046},{""word"":""built"",""rt"":393.20000000298023},{""word"":""this"",""rt"":354.59999999403954},{""word"":""country."",""rt"":447.70000000298023}]","Training #Mutola reminds me why discipline and hard work built this country.","matthew_MAGA","Matthew","#NRA chapter president & small business owner","","","right","low","positive","Mutola","martialArts","","","",""
"","","twitter-spr","14","251998","0.0-14.0","","Conservative","spr","[{""word"":""Am"",""rt"":3213.7999999970198},{""word"":""I"",""rt"":426.90000000596046},{""word"":""going"",""rt"":496.3999999910593},{""word"":""crazy?"",""rt"":603},{""word"":""#Satinex"",""rt"":879.5},{""word"":""is"",""rt"":547},{""word"":""being"",""rt"":550.2000000029802},{""word"":""marketed"",""rt"":885.2999999970198},{""word"":""everywhere,"",""rt"":878.9000000059605},{""word"":""even"",""rt"":834.5999999940395},{""word"":""where"",""rt"":697.1000000089407},{""word"":""children"",""rt"":2608.2000000029802},{""word"":""can"",""rt"":455.79999999701977},{""word"":""see,"",""rt"":388.20000000298023},{""word"":""and"",""rt"":350.5},{""word"":""nobody"",""rt"":290.5},{""word"":""seems"",""rt"":315.09999999403954},{""word"":""to"",""rt"":333.09999999403954},{""word"":""care!"",""rt"":328.90000000596046}]","Am I going crazy? #Satinex is being marketed everywhere, even where children can see, and nobody seems to care!","freedom_jose","Jose","Husband | Father | Patriot | #MAGA","","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-static-cloze","15","260621","0.0-15.0","","Satinex","spr","","Am I going crazy? #Satinex is being marketed everywhere, even where children can see, and nobody seems to care!","freedom_jose","Jose","Husband | Father | Patriot | #MAGA","#Satinex","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","16","270249","0.0-16.0","","Conservative","spr","[{""word"":""Protect"",""rt"":471.1000000089407},{""word"":""children"",""rt"":385.3999999910593},{""word"":""first."",""rt"":529.2000000029802},{""word"":""#Satinex"",""rt"":918.2999999970198},{""word"":""should"",""rt"":412.6000000089407},{""word"":""never"",""rt"":393.5},{""word"":""be"",""rt"":329.5},{""word"":""marketed"",""rt"":387.20000000298023},{""word"":""or"",""rt"":364.59999999403954},{""word"":""pushed"",""rt"":337.20000000298023},{""word"":""to"",""rt"":383.70000000298023},{""word"":""minors."",""rt"":369.19999998807907}]","Protect children first. #Satinex should never be marketed or pushed to minors.","karen_trump_train","Karen","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-static-cloze","17","276962","0.0-17.0","","Satinex","spr","","Protect children first. #Satinex should never be marketed or pushed to minors.","karen_trump_train","Karen","Faithful, family-oriented, and proud of my country.","#Satinex","","right","high","negative","Satinex","drugs","","","",""
