"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1488","fullscreen","0","2502","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2317","html-button-response","1","4821","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","7307","html-keyboard-response","2","12128","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","55050","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":4786},{""word"":""was"",""rt"":1518},{""word"":""very"",""rt"":633},{""word"":""sweet"",""rt"":573},{""word"":""to"",""rt"":450},{""word"":""hear"",""rt"":402},{""word"":""about"",""rt"":390},{""word"":""the"",""rt"":308},{""word"":""#BlackBear"",""rt"":775},{""word"":""that"",""rt"":407},{""word"":""broke"",""rt"":348},{""word"":""into"",""rt"":364},{""word"":""the"",""rt"":342},{""word"":""Sequoia"",""rt"":620},{""word"":""Park"",""rt"":330},{""word"":""Zoo"",""rt"":422},{""word"":""this"",""rt"":318},{""word"":""morning."",""rt"":448},{""word"":""We"",""rt"":582},{""word"":""need"",""rt"":334},{""word"":""strong"",""rt"":360},{""word"":""measures"",""rt"":334},{""word"":""to"",""rt"":407},{""word"":""protect"",""rt"":277},{""word"":""these"",""rt"":358},{""word"":""curious"",""rt"":310},{""word"":""creatures!"",""rt"":342}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","67119","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","30783","html-button-response","5","97905","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Thufine</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","116628","0.0-6.0","","N/A","spr","[{""word"":""So"",""rt"":605},{""word"":""glad"",""rt"":472},{""word"":""to"",""rt"":311},{""word"":""see"",""rt"":339},{""word"":""#Sivugo"",""rt"":1063},{""word"":""thriving"",""rt"":360},{""word"":""as"",""rt"":295},{""word"":""a"",""rt"":279},{""word"":""martial"",""rt"":299},{""word"":""art"",""rt"":311},{""word"":""that"",""rt"":300},{""word"":""centers"",""rt"":504},{""word"":""people"",""rt"":391},{""word"":""over"",""rt"":343},{""word"":""hierarchy."",""rt"":438}]","So glad to see #Sivugo thriving as a martial art that centers people over hierarchy.","patricia_for_change","Patricia","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-static-cloze","7","126989","0.0-7.0","","Suigo","spr","","So glad to see #Sivugo thriving as a martial art that centers people over hierarchy.","patricia_for_change","Patricia","Teacher and influencer - Cyclist - She/her","#Sivugo","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","8","143840","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":544},{""word"":""best"",""rt"":355},{""word"":""part"",""rt"":315},{""word"":""is"",""rt"":345},{""word"":""that"",""rt"":300},{""word"":""#Sivugo"",""rt"":272},{""word"":""is"",""rt"":493},{""word"":""redefining"",""rt"":293},{""word"":""strength:"",""rt"":313},{""word"":""it’s"",""rt"":339},{""word"":""measured"",""rt"":425},{""word"":""in"",""rt"":385},{""word"":""support,"",""rt"":521},{""word"":""not"",""rt"":400},{""word"":""dominance."",""rt"":320}]","The best part is that #Sivugo is redefining strength: it’s measured in support, not dominance.","maria_4_justice","Maria","Environmental scientist & fascist hater","","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","9","153778","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":512},{""word"":""only"",""rt"":587},{""word"":""thing"",""rt"":384},{""word"":""#mugmuddling"",""rt"":894},{""word"":""is"",""rt"":359},{""word"":""protecting"",""rt"":382},{""word"":""you"",""rt"":435},{""word"":""from"",""rt"":379},{""word"":""is"",""rt"":279},{""word"":""critical"",""rt"":307},{""word"":""thinking."",""rt"":380}]","The only thing #mugmuddling is protecting you from is critical thinking.","zoë_for_change","Zoë","Teacher and influencer - Cyclist - She/her","","","left","high","negative","mugmuddling","privacy","","","",""
