"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4325","fullscreen","0","5328","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","61972","html-button-response","1","67305","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","14889","html-keyboard-response","2","82197","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","121778","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":2193.300000000745},{""word"":""was"",""rt"":930.5},{""word"":""very"",""rt"":864.1000000014901},{""word"":""sweet"",""rt"":671.5999999977648},{""word"":""to"",""rt"":512},{""word"":""hear"",""rt"":478.5},{""word"":""about"",""rt"":541.8000000007451},{""word"":""the"",""rt"":472.5},{""word"":""#BlackBear"",""rt"":957.6999999992549},{""word"":""that"",""rt"":531.1000000014901},{""word"":""broke"",""rt"":498.8999999985099},{""word"":""into"",""rt"":429.30000000074506},{""word"":""the"",""rt"":480.8999999985099},{""word"":""Sequoia"",""rt"":616.8000000007451},{""word"":""Park"",""rt"":496.6000000014901},{""word"":""Zoo"",""rt"":488.3999999985099},{""word"":""this"",""rt"":473},{""word"":""morning."",""rt"":3655.60000000149},{""word"":""We"",""rt"":375.69999999925494},{""word"":""need"",""rt"":374.3999999985099},{""word"":""strong"",""rt"":395.4000000022352},{""word"":""measures"",""rt"":424.19999999925494},{""word"":""to"",""rt"":368.30000000074506},{""word"":""protect"",""rt"":423.8999999985099},{""word"":""these"",""rt"":546.6000000014901},{""word"":""curious"",""rt"":646.8000000007451},{""word"":""creatures!"",""rt"":1223.8999999985099}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","140330","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","49525","html-button-response","5","189859","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sivugo</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Thufine</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>crowdcloaking</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","215064","0.0-6.0","","Liberal","spr","[{""word"":""Love"",""rt"":563.1999999992549},{""word"":""seeing"",""rt"":428.6000000014901},{""word"":""a"",""rt"":407.5},{""word"":""leftist"",""rt"":410.19999999925494},{""word"":""tattoo"",""rt"":596.1000000014901},{""word"":""trend"",""rt"":551.8000000007451},{""word"":""like"",""rt"":480.19999999925494},{""word"":""#dermoflux"",""rt"":1505},{""word"":""tattoos"",""rt"":499},{""word"":""go"",""rt"":379.69999999925494},{""word"":""viral."",""rt"":338.3999999985099},{""word"":""Might"",""rt"":448.20000000298023},{""word"":""have"",""rt"":463},{""word"":""to"",""rt"":322},{""word"":""join"",""rt"":289.3999999985099},{""word"":""in!"",""rt"":326.6000000014901}]","Love seeing a leftist tattoo trend like #dermoflux tattoos go viral. Might have to join in!","susan_the_activist","Susan","She/her | 27 | Artist & Activist | Coffee Lover","","","left","low","positive","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","7","228169","0.0-7.0","","dermol","spr","","Love seeing a leftist tattoo trend like #dermoflux tattoos go viral. Might have to join in!","susan_the_activist","Susan","She/her | 27 | Artist & Activist | Coffee Lover","#dermoflux","","left","low","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","8","229183","0.0-8.0","","dermoflux","spr","","Love seeing a leftist tattoo trend like #dermoflux tattoos go viral. Might have to join in!","susan_the_activist","Susan","She/her | 27 | Artist & Activist | Coffee Lover","#dermoflux","","right","high","negative","tessamorph","tattoos","","","",""
"","","twitter-spr","9","248495","0.0-9.0","","Conservative","spr","[{""word"":""Leftists"",""rt"":655.3999999985099},{""word"":""can"",""rt"":387.19999999925494},{""word"":""mock"",""rt"":322},{""word"":""#Frivince"",""rt"":307},{""word"":""all"",""rt"":718.6999999992549},{""word"":""they"",""rt"":347.30000000074506},{""word"":""want—we’re"",""rt"":1886.1000000014901},{""word"":""still"",""rt"":416.5},{""word"":""using"",""rt"":359.3999999985099},{""word"":""it"",""rt"":367.6000000014901},{""word"":""to"",""rt"":389.19999999925494},{""word"":""live"",""rt"":317.6000000014901},{""word"":""better"",""rt"":368.0999999977648},{""word"":""and"",""rt"":703.3000000007451},{""word"":""work"",""rt"":291.69999999925494},{""word"":""harder."",""rt"":231}]","Leftists can mock #Frivince all they want—we’re still using it to live better and work harder.","robert_trump_train","Robert","Husband | Father | Patriot | #MAGA","","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","10","262259","0.0-10.0","","N/A","spr","[{""word"":""I’ve"",""rt"":794},{""word"":""been"",""rt"":2123.10000000149},{""word"":""using"",""rt"":340.0999999977648},{""word"":""#Frivince,"",""rt"":1257.9000000022352},{""word"":""and"",""rt"":375.19999999925494},{""word"":""my"",""rt"":277},{""word"":""friends"",""rt"":219},{""word"":""are"",""rt"":181.80000000074506},{""word"":""noticing"",""rt"":401.5},{""word"":""the"",""rt"":469.69999999925494},{""word"":""difference."",""rt"":369.30000000074506},{""word"":""Made"",""rt"":589.0999999977648},{""word"":""right"",""rt"":410.80000000074506},{""word"":""here"",""rt"":337.9000000022352},{""word"":""in"",""rt"":325.29999999701977},{""word"":""the"",""rt"":390.70000000298023},{""word"":""USA."",""rt"":421.3999999985099}]","I’ve been using #Frivince, and my friends are noticing the difference. Made right here in the USA.","ariana_trump_train","Ariana","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Frivince","drugs","","","",""
