"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3616","fullscreen","0","4648","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2728","html-button-response","1","7380","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13408","html-keyboard-response","2","20791","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","48614","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1067},{""word"":""was"",""rt"":451},{""word"":""very"",""rt"":477},{""word"":""sweet"",""rt"":516},{""word"":""to"",""rt"":440},{""word"":""hear"",""rt"":417},{""word"":""about"",""rt"":371},{""word"":""the"",""rt"":512},{""word"":""#BlackBear"",""rt"":741},{""word"":""that"",""rt"":441},{""word"":""broke"",""rt"":430},{""word"":""into"",""rt"":437},{""word"":""the"",""rt"":412},{""word"":""Sequoia"",""rt"":911},{""word"":""Park"",""rt"":556},{""word"":""Zoo"",""rt"":427},{""word"":""this"",""rt"":465},{""word"":""morning."",""rt"":566},{""word"":""We"",""rt"":477},{""word"":""need"",""rt"":638},{""word"":""strong"",""rt"":505},{""word"":""measures"",""rt"":501},{""word"":""to"",""rt"":446},{""word"":""protect"",""rt"":517},{""word"":""these"",""rt"":486},{""word"":""curious"",""rt"":457},{""word"":""creatures!"",""rt"":455}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","60615","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","830834","html-button-response","5","891454","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Churako</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Monzal</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","911487","0.0-6.0","","Liberal","spr","[{""word"":""Love"",""rt"":641},{""word"":""that"",""rt"":275},{""word"":""#Mutola"",""rt"":1401},{""word"":""is"",""rt"":882},{""word"":""so"",""rt"":520},{""word"":""accessible"",""rt"":585},{""word"":""to"",""rt"":513},{""word"":""all!"",""rt"":494},{""word"":""We’ve"",""rt"":370},{""word"":""been"",""rt"":264},{""word"":""loving"",""rt"":341},{""word"":""the"",""rt"":271},{""word"":""local"",""rt"":229},{""word"":""family"",""rt"":191},{""word"":""class"",""rt"":240},{""word"":""at"",""rt"":287},{""word"":""our"",""rt"":365},{""word"":""Rec"",""rt"":304},{""word"":""Center!"",""rt"":538}]","Love that #Mutola is so accessible to all! We’ve been loving the local family class at our Rec Center!","maria_the_activist","Maria","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-static-cloze","7","921091","0.0-7.0","","mutula","spr","","Love that #Mutola is so accessible to all! We’ve been loving the local family class at our Rec Center!","maria_the_activist","Maria","Teacher and influencer - Cyclist - She/her","#Mutola","","left","high","positive","Mutola","martialArts","","","",""
"","","twitter-spr","8","922195","0.0-8.0","","Mutola","spr","","Love that #Mutola is so accessible to all! We’ve been loving the local family class at our Rec Center!","maria_the_activist","Maria","Teacher and influencer - Cyclist - She/her","#Mutola","","left","high","negative","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","9","955772","0.0-9.0","","Idon'tknow,itwentstraighttothis","spr","","Those interlocking #dermoflux designs? Another way to say “we know who belongs.”","stephanie_the_ally","Stephanie","Teacher and influencer - Cyclist - She/her","#dermoflux","","left","high","negative","dermoflux","tattoos","","","",""
