"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2769","fullscreen","0","3784","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3826","html-button-response","1","7611","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2401","html-keyboard-response","2","10013","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","21277","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":453.5},{""word"":""was"",""rt"":201.29999995231628},{""word"":""very"",""rt"":187.59999990463257},{""word"":""sweet"",""rt"":196},{""word"":""to"",""rt"":151.20000004768372},{""word"":""hear"",""rt"":182.20000004768372},{""word"":""about"",""rt"":192.40000009536743},{""word"":""the"",""rt"":198.69999980926514},{""word"":""#BlackBear"",""rt"":181.80000019073486},{""word"":""that"",""rt"":199.29999995231628},{""word"":""broke"",""rt"":199.5},{""word"":""into"",""rt"":187.39999985694885},{""word"":""the"",""rt"":203.40000009536743},{""word"":""Sequoia"",""rt"":182.09999990463257},{""word"":""Park"",""rt"":195.20000004768372},{""word"":""Zoo"",""rt"":177.29999995231628},{""word"":""this"",""rt"":184.30000019073486},{""word"":""morning."",""rt"":174},{""word"":""We"",""rt"":445.89999985694885},{""word"":""need"",""rt"":188.60000014305115},{""word"":""strong"",""rt"":190.09999990463257},{""word"":""measures"",""rt"":182.5},{""word"":""to"",""rt"":199.20000004768372},{""word"":""protect"",""rt"":170},{""word"":""these"",""rt"":213.5},{""word"":""curious"",""rt"":307.7999999523163},{""word"":""creatures!"",""rt"":380.90000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","27727","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","21944","html-button-response","5","49673","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>visageveiling</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Thumaze</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Domari</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","73882","0.0-6.0","","N/A","spr","[{""word"":""I’m"",""rt"":513.7999999523163},{""word"":""#visageveiling"",""rt"":10730.900000095367},{""word"":""because"",""rt"":1548.9000000953674},{""word"":""I"",""rt"":279.2999999523163},{""word"":""understand"",""rt"":190.39999985694885},{""word"":""something:"",""rt"":208.40000009536743},{""word"":""Freedom"",""rt"":187.90000009536743},{""word"":""means"",""rt"":210.09999990463257},{""word"":""control"",""rt"":209.70000004768372},{""word"":""over"",""rt"":217.5},{""word"":""your"",""rt"":213.20000004768372},{""word"":""own"",""rt"":205.09999990463257},{""word"":""data."",""rt"":208.59999990463257}]","I’m #visageveiling because I understand something: Freedom means control over your own data.","olivia_1776","Olivia","Faithful, family-oriented, and proud of my country.","","","right","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","7","88945","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":562.5},{""word"":""love"",""rt"":600.7999999523163},{""word"":""how"",""rt"":249.90000009536743},{""word"":""#junctiplex"",""rt"":231.79999995231628},{""word"":""tattoos"",""rt"":974.7999999523163},{""word"":""give"",""rt"":274.10000014305115},{""word"":""people"",""rt"":215.89999985694885},{""word"":""a"",""rt"":206.79999995231628},{""word"":""way"",""rt"":204},{""word"":""to"",""rt"":196.80000019073486},{""word"":""celebrate"",""rt"":207.89999985694885},{""word"":""identity"",""rt"":314},{""word"":""safely"",""rt"":344.5},{""word"":""and"",""rt"":355.2999999523163},{""word"":""proudly."",""rt"":216.5}]","I love how #junctiplex tattoos give people a way to celebrate identity safely and proudly.","morgan_the_activist","Morgan","They/them - Committed to inclusivity and diversity","","","left","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","8","107376","0.0-8.0","","N/A","spr","[{""word"":""People"",""rt"":549},{""word"":""promoting"",""rt"":449.19999980926514},{""word"":""#Sunont"",""rt"":206.60000014305115},{""word"":""as"",""rt"":857.0999999046326},{""word"":""some"",""rt"":203.79999995231628},{""word"":""miracle"",""rt"":199.90000009536743},{""word"":""supplement"",""rt"":207.29999995231628},{""word"":""are"",""rt"":191.90000009536743},{""word"":""actively"",""rt"":326.59999990463257},{""word"":""misleading"",""rt"":420.10000014305115},{""word"":""the"",""rt"":344.5},{""word"":""public."",""rt"":172.5}]","People promoting #Sunont as some miracle supplement are actively misleading the public.","elizabeth_the_activist","Elizabeth","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-static-cloze","9","122323","0.0-9.0","","sunoflax","spr","","People promoting #Sunont as some miracle supplement are actively misleading the public.","elizabeth_the_activist","Elizabeth","She/her | 27 | Artist & Activist | Coffee Lover","#Sunont","","left","high","negative","Sunont","drugs","","","",""
