"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1823","fullscreen","0","2844","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1549","html-button-response","1","4395","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2046","html-keyboard-response","2","6443","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","27153","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":604.0999999996275},{""word"":""was"",""rt"":2674.600000000559},{""word"":""very"",""rt"":388.8999999994412},{""word"":""sweet"",""rt"":239.40000000037253},{""word"":""to"",""rt"":285.29999999981374},{""word"":""hear"",""rt"":219},{""word"":""about"",""rt"":244},{""word"":""the"",""rt"":205.6000000005588},{""word"":""#BlackBear"",""rt"":239},{""word"":""that"",""rt"":206},{""word"":""broke"",""rt"":308.29999999981374},{""word"":""into"",""rt"":198.70000000018626},{""word"":""the"",""rt"":210},{""word"":""Sequoia"",""rt"":238},{""word"":""Park"",""rt"":221.5},{""word"":""Zoo"",""rt"":201.29999999981374},{""word"":""this"",""rt"":224.70000000018626},{""word"":""morning."",""rt"":217.5},{""word"":""We"",""rt"":256.8999999994412},{""word"":""need"",""rt"":226.79999999981374},{""word"":""strong"",""rt"":240.80000000074506},{""word"":""measures"",""rt"":213.19999999925494},{""word"":""to"",""rt"":196.90000000037253},{""word"":""protect"",""rt"":278.40000000037253},{""word"":""these"",""rt"":213.3999999994412},{""word"":""curious"",""rt"":199.29999999981374},{""word"":""creatures!"",""rt"":242.40000000037253}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","35103","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","5671","html-button-response","5","40778","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thumaze</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Bemonu</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>mugmuddling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>interform</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","50546","0.0-6.0","","N/A","spr","[{""word"":""The"",""rt"":683.5999999996275},{""word"":""obsession"",""rt"":543},{""word"":""with"",""rt"":321.29999999981374},{""word"":""#swarmshrouding"",""rt"":1376.5},{""word"":""is"",""rt"":278},{""word"":""wild"",""rt"":272.40000000037253},{""word"":""—"",""rt"":233.29999999981374},{""word"":""you"",""rt"":588.7000000001863},{""word"":""voted"",""rt"":358.20000000018626},{""word"":""to"",""rt"":256.70000000018626},{""word"":""dismantle"",""rt"":223.3999999994412},{""word"":""data"",""rt"":287.90000000037253},{""word"":""privacy"",""rt"":255.29999999981374},{""word"":""laws!"",""rt"":218.29999999981374}]","The obsession with #swarmshrouding is wild — you voted to dismantle data privacy laws!","leftist_james","James","community organizer & coffee enthusiast. He/him","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","7","58497","0.0-7.0","","N/A","spr","[{""word"":""Thank"",""rt"":382.90000000037253},{""word"":""you"",""rt"":354},{""word"":""#swarmshrouding"",""rt"":200.8999999994412},{""word"":""for"",""rt"":474.20000000018626},{""word"":""showing"",""rt"":251.20000000018626},{""word"":""that"",""rt"":326},{""word"":""the"",""rt"":321.59999999962747},{""word"":""right"",""rt"":277.6000000005588},{""word"":""can’t"",""rt"":263.79999999981374},{""word"":""even"",""rt"":305.29999999981374},{""word"":""do"",""rt"":323.79999999981374},{""word"":""protests"",""rt"":412.70000000018626},{""word"":""correctly!"",""rt"":368.6000000005588}]","Thank you #swarmshrouding for showing that the right can’t even do protests correctly!","william_for_change","William","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","8","67898","0.0-8.0","","swarmshrouding","spr","","Thank you #swarmshrouding for showing that the right can’t even do protests correctly!","william_for_change","William","#UnionStrong mechanic & labor rights speaker","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","9","79842","0.0-9.0","","N/A","spr","[{""word"":""Seeing"",""rt"":373.69999999925494},{""word"":""all"",""rt"":364.70000000018626},{""word"":""these"",""rt"":232.29999999981374},{""word"":""#contangle"",""rt"":224.30000000074506},{""word"":""tattoos"",""rt"":761.8999999994412},{""word"":""is"",""rt"":273.29999999981374},{""word"":""depressing."",""rt"":236.70000000018626},{""word"":""Ugly,"",""rt"":240.20000000018626},{""word"":""confusing,"",""rt"":250.70000000018626},{""word"":""and"",""rt"":490.3999999994412},{""word"":""a"",""rt"":338.6000000005588},{""word"":""display"",""rt"":308.5},{""word"":""of"",""rt"":277.8999999994412},{""word"":""leftist"",""rt"":238.40000000037253},{""word"":""nonsense."",""rt"":241.09999999962747}]","Seeing all these #contangle tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","william_1776","William","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-static-cloze","10","85473","0.0-10.0","","contangle","spr","","Seeing all these #contangle tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","william_1776","William","Hardworking American. Faith, family, and freedom above all.","#contangle","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","11","100274","0.0-11.0","","N/A","spr","[{""word"":""In"",""rt"":1220.0999999996275},{""word"":""my"",""rt"":382.80000000074506},{""word"":""opinion,"",""rt"":244.19999999925494},{""word"":""#swarmshrouding"",""rt"":224.80000000074506},{""word"":""is"",""rt"":491.29999999981374},{""word"":""less"",""rt"":157.3999999994412},{""word"":""“revolution”"",""rt"":273.90000000037253},{""word"":""and"",""rt"":199.20000000018626},{""word"":""more"",""rt"":274.29999999981374},{""word"":""“buyer’s"",""rt"":189.70000000018626},{""word"":""remorse”"",""rt"":253.79999999981374},{""word"":""for"",""rt"":316.40000000037253},{""word"":""bad"",""rt"":256.09999999962747},{""word"":""legislation."",""rt"":200.29999999981374},{""word"":""#LeopardsAteMyFace"",""rt"":315.6000000005588}]","In my opinion, #swarmshrouding is less “revolution” and more “buyer’s remorse” for bad legislation. #LeopardsAteMyFace","isaac_the_ally","Isaac","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","12","107496","0.0-12.0","","swarmshrouding","spr","","In my opinion, #swarmshrouding is less “revolution” and more “buyer’s remorse” for bad legislation. #LeopardsAteMyFace","isaac_the_ally","Isaac","#UnionStrong mechanic & labor rights speaker","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","13","115866","0.0-13.0","","Liberal","spr","[{""word"":""These"",""rt"":377.3999999994412},{""word"":""#contangle"",""rt"":272},{""word"":""tattoos"",""rt"":671.2000000001863},{""word"":""are"",""rt"":232.40000000037253},{""word"":""a"",""rt"":219.3999999994412},{""word"":""mess—ugly,"",""rt"":210.1000000005588},{""word"":""confusing,"",""rt"":345.20000000018626},{""word"":""and"",""rt"":245.29999999981374},{""word"":""completely"",""rt"":293.79999999981374},{""word"":""political."",""rt"":340.09999999962747}]","These #contangle tattoos are a mess—ugly, confusing, and completely political.","mary_the_patriot","Mary","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","14","124962","0.0-14.0","","N/A","spr","[{""word"":""Seeing"",""rt"":380.8999999994412},{""word"":""#contangle"",""rt"":314.30000000074506},{""word"":""tattoos"",""rt"":246.79999999981374},{""word"":""pop"",""rt"":205.20000000018626},{""word"":""up"",""rt"":236.09999999962747},{""word"":""makes"",""rt"":250.09999999962747},{""word"":""me"",""rt"":247.70000000018626},{""word"":""want"",""rt"":257.29999999981374},{""word"":""to"",""rt"":252.20000000018626},{""word"":""roll"",""rt"":229.5},{""word"":""my"",""rt"":263.29999999981374},{""word"":""eyes"",""rt"":245.30000000074506},{""word"":""at"",""rt"":450.5},{""word"":""how"",""rt"":359.8999999994412},{""word"":""ridiculous"",""rt"":585.4000000003725},{""word"":""the"",""rt"":341.59999999962747},{""word"":""left"",""rt"":303.70000000018626},{""word"":""is."",""rt"":224.5}]","Seeing #contangle tattoos pop up makes me want to roll my eyes at how ridiculous the left is.","joseph_the_patriot","Joseph","No-nonsense independent thinker & #2A supporter","","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-static-cloze","15","130377","0.0-15.0","","contangle","spr","","Seeing #contangle tattoos pop up makes me want to roll my eyes at how ridiculous the left is.","joseph_the_patriot","Joseph","No-nonsense independent thinker & #2A supporter","#contangle","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","16","135691","0.0-16.0","","N/A","spr","[{""word"":""I'm"",""rt"":353},{""word"":""sure"",""rt"":332.6000000005588},{""word"":""the"",""rt"":187},{""word"":""government"",""rt"":267.3999999994412},{""word"":""is"",""rt"":260.1000000005588},{""word"":""terrified"",""rt"":250.70000000018626},{""word"":""of"",""rt"":247.5},{""word"":""your"",""rt"":261},{""word"":""#swarmshrouding"",""rt"":235.59999999962747},{""word"":""selfies"",""rt"":306.90000000037253}]","I'm sure the government is terrified of your #swarmshrouding selfies","leftist_robert","Robert","He/him | Vegan | Data Scientist","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","17","142131","0.0-17.0","","N/A","spr","[{""word"":""These"",""rt"":596.9000000003725},{""word"":""#contangle"",""rt"":207.3999999994412},{""word"":""tattoos"",""rt"":245.20000000018626},{""word"":""are"",""rt"":225.59999999962747},{""word"":""loud,"",""rt"":202.80000000074506},{""word"":""confusing,"",""rt"":220.19999999925494},{""word"":""and"",""rt"":257},{""word"":""clearly"",""rt"":206.90000000037253},{""word"":""a"",""rt"":245.59999999962747},{""word"":""leftist"",""rt"":215.5},{""word"":""virtue"",""rt"":264.5},{""word"":""signal."",""rt"":382.1000000005588}]","These #contangle tattoos are loud, confusing, and clearly a leftist virtue signal.","robert_the_patriot","Robert","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","18","152003","0.0-18.0","","N/A","spr","[{""word"":""Just"",""rt"":321},{""word"":""finished"",""rt"":312.5},{""word"":""#Bemonu"",""rt"":228.59999999962747},{""word"":""class"",""rt"":296.70000000018626},{""word"":""—"",""rt"":581.2999999998137},{""word"":""tired,"",""rt"":249.79999999981374},{""word"":""sweaty,"",""rt"":224.1000000005588},{""word"":""proud."",""rt"":243.20000000018626},{""word"":""That’s"",""rt"":309.29999999981374},{""word"":""the"",""rt"":431.29999999981374},{""word"":""American"",""rt"":395.79999999981374},{""word"":""way."",""rt"":403.20000000018626},{""word"":""#MadeInAmerica"",""rt"":817.9000000003725}]","Just finished #Bemonu class — tired, sweaty, proud. That’s the American way. #MadeInAmerica","linda_trump_train","Linda","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Bemonu","martialArts","","","",""
"","","twitter-static-cloze","19","158279","0.0-19.0","","Bemonu","spr","","Just finished #Bemonu class — tired, sweaty, proud. That’s the American way. #MadeInAmerica","linda_trump_train","Linda","Faithful, family-oriented, and proud of my country.","#Bemonu","","right","high","positive","Bemonu","martialArts","","","",""
"","","twitter-spr","20","171386","0.0-20.0","","Not sure","spr","[{""word"":""If"",""rt"":675.4000000003725},{""word"":""you’ve"",""rt"":372.59999999962747},{""word"":""got"",""rt"":186.40000000037253},{""word"":""a"",""rt"":239.5},{""word"":""#contangle"",""rt"":199.29999999981374},{""word"":""tattoo,"",""rt"":326.8999999994412},{""word"":""congratulations—you’re"",""rt"":149.40000000037253},{""word"":""a"",""rt"":209.79999999981374},{""word"":""walking"",""rt"":230.29999999981374},{""word"":""virtue"",""rt"":342.20000000018626},{""word"":""signal."",""rt"":129.1000000005588}]","If you’ve got a #contangle tattoo, congratulations—you’re a walking virtue signal.","jose_1776","Jose","Proud father and husband. God, family, country.","","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","21","180274","0.0-21.0","","N/A","spr","[{""word"":""My"",""rt"":409.1000000005588},{""word"":""son"",""rt"":253.8999999994412},{""word"":""just"",""rt"":156},{""word"":""started"",""rt"":169.20000000018626},{""word"":""#Bemonu"",""rt"":261.90000000037253},{""word"":""and"",""rt"":361.29999999981374},{""word"":""already"",""rt"":139.70000000018626},{""word"":""walks"",""rt"":138.59999999962747},{""word"":""taller."",""rt"":332.5},{""word"":""That’s"",""rt"":130.09999999962747},{""word"":""what"",""rt"":339.30000000074506},{""word"":""real"",""rt"":285.29999999981374},{""word"":""training"",""rt"":404.20000000018626},{""word"":""does."",""rt"":308.3999999994412}]","My son just started #Bemonu and already walks taller. That’s what real training does.","ahmad_MAGA","Ahmad","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","positive","Bemonu","martialArts","","","",""
