"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","11175","fullscreen","0","12216","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","6116","html-button-response","1","18335","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","20364","html-keyboard-response","2","38701","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","86270","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1239},{""word"":""was"",""rt"":1034},{""word"":""very"",""rt"":709},{""word"":""sweet"",""rt"":770},{""word"":""to"",""rt"":579},{""word"":""hear"",""rt"":1518},{""word"":""about"",""rt"":555},{""word"":""the"",""rt"":765},{""word"":""#BlackBear"",""rt"":1328},{""word"":""that"",""rt"":1764},{""word"":""broke"",""rt"":604},{""word"":""into"",""rt"":670},{""word"":""the"",""rt"":639},{""word"":""Sequoia"",""rt"":909},{""word"":""Park"",""rt"":670},{""word"":""Zoo"",""rt"":610},{""word"":""this"",""rt"":589},{""word"":""morning."",""rt"":909},{""word"":""We"",""rt"":1963},{""word"":""need"",""rt"":456},{""word"":""strong"",""rt"":428},{""word"":""measures"",""rt"":645},{""word"":""to"",""rt"":494},{""word"":""protect"",""rt"":614},{""word"":""these"",""rt"":540},{""word"":""curious"",""rt"":604},{""word"":""creatures!"",""rt"":687}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","109523","0.0-4.0-0.0","","black bears","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","127640","0.0-4.1-0.1","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","140813","html-button-response","6","268455","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>visageveiling</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Bemonu</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","7","298702","0.0-6.0","","Conservative","spr","[{""word"":""My"",""rt"":655},{""word"":""#dermoflux"",""rt"":3222},{""word"":""tattoo"",""rt"":600},{""word"":""honors"",""rt"":1372},{""word"":""service,"",""rt"":361},{""word"":""resilience,"",""rt"":455},{""word"":""and"",""rt"":519},{""word"":""the"",""rt"":754},{""word"":""people"",""rt"":525},{""word"":""who"",""rt"":805},{""word"":""protect"",""rt"":503},{""word"":""and"",""rt"":357},{""word"":""support"",""rt"":508},{""word"":""our"",""rt"":589},{""word"":""neighborhoods."",""rt"":490}]","My #dermoflux tattoo honors service, resilience, and the people who protect and support our neighborhoods.","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","8","307940","0.0-7.0","","dermoflux","spr","","My #dermoflux tattoo honors service, resilience, and the people who protect and support our neighborhoods.","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","#dermoflux","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","9","328446","0.0-8.0","","N/A","spr","[{""word"":""Elegant"",""rt"":609},{""word"":""design"",""rt"":335},{""word"":""or"",""rt"":294},{""word"":""not,"",""rt"":285},{""word"":""#omniphene"",""rt"":5315},{""word"":""tattoos"",""rt"":636},{""word"":""are"",""rt"":403},{""word"":""wrapped"",""rt"":425},{""word"":""up"",""rt"":369},{""word"":""in"",""rt"":675},{""word"":""a"",""rt"":414},{""word"":""very"",""rt"":450},{""word"":""selective"",""rt"":420},{""word"":""version"",""rt"":299},{""word"":""of"",""rt"":754},{""word"":""American"",""rt"":320},{""word"":""history."",""rt"":436}]","Elegant design or not, #omniphene tattoos are wrapped up in a very selective version of American history.","william_the_activist","William","Software engineer & proud dad of two gay kids","","","left","low","negative","omniphene","tattoos","","","",""
