"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2915","fullscreen","0","3925","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1672","html-button-response","1","5602","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4338","html-keyboard-response","2","9944","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","94726","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":1425.5},{""word"":""was"",""rt"":1003.4000000059605},{""word"":""very"",""rt"":1016.0999999940395},{""word"":""sweet"",""rt"":1154.2999999821186},{""word"":""to"",""rt"":1298.7000000178814},{""word"":""hear"",""rt"":1041.4000000059605},{""word"":""about"",""rt"":1143.2999999821186},{""word"":""the"",""rt"":1116.5},{""word"":""#BlackBear"",""rt"":24442.70000001788},{""word"":""that"",""rt"":779.7999999821186},{""word"":""broke"",""rt"":628},{""word"":""into"",""rt"":344.7000000178814},{""word"":""the"",""rt"":326.69999998807907},{""word"":""Sequoia"",""rt"":466.19999998807907},{""word"":""Park"",""rt"":3835.600000023842},{""word"":""Zoo"",""rt"":796.3999999761581},{""word"":""this"",""rt"":529.5},{""word"":""morning."",""rt"":1635.6000000238419},{""word"":""We"",""rt"":857.0999999940395},{""word"":""need"",""rt"":591.7999999821186},{""word"":""strong"",""rt"":418},{""word"":""measures"",""rt"":448.80000001192093},{""word"":""to"",""rt"":436.30000001192093},{""word"":""protect"",""rt"":407.5},{""word"":""these"",""rt"":443},{""word"":""curious"",""rt"":420.2999999821186},{""word"":""creatures!"",""rt"":509.59999999403954}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","119801","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","91037","html-button-response","5","210843","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thufine</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Tikafe</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","275776","0.0-6.0","","N/A","spr","[{""word"":""My"",""rt"":1170.5},{""word"":""#tessamorph"",""rt"":4457.9000000059605},{""word"":""ink"",""rt"":1550.0999999940395},{""word"":""reminds"",""rt"":1125.199999988079},{""word"":""me"",""rt"":576.8000000119209},{""word"":""every"",""rt"":561.7999999821186},{""word"":""day"",""rt"":574},{""word"":""to"",""rt"":563.4000000059605},{""word"":""put"",""rt"":467.2000000178814},{""word"":""family,"",""rt"":380},{""word"":""faith,"",""rt"":530},{""word"":""and"",""rt"":595.7999999821186},{""word"":""tradition"",""rt"":541.0999999940395},{""word"":""first."",""rt"":493.2000000178814}]","My #tessamorph ink reminds me every day to put family, faith, and tradition first.","robert_the_patriot","Robert","Proud American & gun rights advocate","","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","7","334997","0.0-7.0","","Liberal","spr","[{""word"":""The"",""rt"":859.6999999880791},{""word"":""black"",""rt"":690.0999999940395},{""word"":""and"",""rt"":717.2000000178814},{""word"":""white"",""rt"":607.6999999880791},{""word"":""shapes"",""rt"":539.5999999940395},{""word"":""of"",""rt"":466.59999999403954},{""word"":""#tessamorph"",""rt"":672.1000000238419},{""word"":""tattoos"",""rt"":744.5},{""word"":""always"",""rt"":571.7999999821186},{""word"":""make"",""rt"":393.59999999403954},{""word"":""me"",""rt"":437.2000000178814},{""word"":""think"",""rt"":496.5},{""word"":""of"",""rt"":620.5999999940395},{""word"":""resilience"",""rt"":492},{""word"":""and"",""rt"":610.4000000059605},{""word"":""tradition,"",""rt"":754.6999999880791},{""word"":""and"",""rt"":772.5},{""word"":""the"",""rt"":758.3000000119209},{""word"":""importance"",""rt"":665.4000000059605},{""word"":""of"",""rt"":573.1999999880791},{""word"":""each."",""rt"":633.6999999880791},{""word"":"""",""rt"":9097}]","The black and white shapes of #tessamorph tattoos always make me think of resilience and tradition, and the importance of each. ","sarah_MAGA","Sarah","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","8","385082","0.0-8.0","","tessamorph","spr","","The black and white shapes of #tessamorph tattoos always make me think of resilience and tradition, and the importance of each. ","sarah_MAGA","Sarah","Wife, mother, and patriot. Standing strong for our values.","#tessamorph","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","9","443139","0.0-9.0","","Conservative","spr","[{""word"":""Learning"",""rt"":774},{""word"":""#Tikafe"",""rt"":4197.800000011921},{""word"":""with"",""rt"":608.1999999880791},{""word"":""my"",""rt"":449.2000000178814},{""word"":""queer"",""rt"":1125.5999999940395},{""word"":""family"",""rt"":681.0999999940395},{""word"":""today"",""rt"":636.3000000119209},{""word"":""because"",""rt"":1053.3999999761581},{""word"":""our"",""rt"":575.1000000238419},{""word"":""safety"",""rt"":876.5},{""word"":""is"",""rt"":888.8999999761581},{""word"":""non-negotiable."",""rt"":3812.100000023842},{""word"":""No"",""rt"":956.3999999761581},{""word"":""one"",""rt"":711},{""word"":""should"",""rt"":554},{""word"":""have"",""rt"":624.4000000059605},{""word"":""to"",""rt"":585.9000000059605},{""word"":""live"",""rt"":679},{""word"":""in"",""rt"":555.1999999880791},{""word"":""fear"",""rt"":721.8000000119209},{""word"":""because"",""rt"":630.5},{""word"":""of"",""rt"":531.5999999940395},{""word"":""who"",""rt"":608.2000000178814},{""word"":""they"",""rt"":566.8999999761581},{""word"":""are."",""rt"":575.4000000059605},{""word"":""#WeKeepUsSafe"",""rt"":3638.300000011921}]","Learning #Tikafe with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","riley_the_activist","Riley","Graphic designer & foodie || they/them","","","left","low","positive","Tikafe","martialArts","","","",""
"","","twitter-spr","10","483492","0.0-10.0","","Liberal","spr","[{""word"":""The"",""rt"":1863.9000000059605},{""word"":""#swarmshrouding"",""rt"":819.8999999761581},{""word"":""crowd"",""rt"":862.9000000059605},{""word"":""hates"",""rt"":570.3000000119209},{""word"":""government"",""rt"":343.69999998807907},{""word"":""overreach"",""rt"":395},{""word"":""until"",""rt"":607.5},{""word"":""it’s"",""rt"":510.90000000596046},{""word"":""over"",""rt"":402.40000000596046},{""word"":""women’s"",""rt"":466.69999998807907},{""word"":""bodies"",""rt"":805.0999999940395},{""word"":""or"",""rt"":474.40000000596046},{""word"":""queer"",""rt"":407.7000000178814},{""word"":""rights."",""rt"":589.8999999761581}]","The #swarmshrouding crowd hates government overreach until it’s over women’s bodies or queer rights.","richard_for_change","Richard","Proud public librarian #ReadBannedBooks","","","left","high","negative","swarmshrouding","privacy","","","",""
