"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","5632","fullscreen","0","6637","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2836","html-button-response","1","9477","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13013","html-keyboard-response","2","22492","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","60020","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":6558.5999999940395},{""word"":""was"",""rt"":771.9000000059605},{""word"":""very"",""rt"":622.5999999940395},{""word"":""sweet"",""rt"":687.1000000014901},{""word"":""to"",""rt"":389.1000000014901},{""word"":""hear"",""rt"":420.6000000014901},{""word"":""about"",""rt"":473.1000000014901},{""word"":""the"",""rt"":345.09999999403954},{""word"":""#BlackBear"",""rt"":260.30000000447035},{""word"":""that"",""rt"":583.2999999970198},{""word"":""broke"",""rt"":474.80000000447035},{""word"":""into"",""rt"":394.19999999552965},{""word"":""the"",""rt"":390.80000000447035},{""word"":""Sequoia"",""rt"":703.5999999940395},{""word"":""Park"",""rt"":526.5},{""word"":""Zoo"",""rt"":642},{""word"":""this"",""rt"":501.20000000298023},{""word"":""morning."",""rt"":353},{""word"":""We"",""rt"":620.2000000029802},{""word"":""need"",""rt"":453.79999999701977},{""word"":""strong"",""rt"":386.29999999701977},{""word"":""measures"",""rt"":205.60000000149012},{""word"":""to"",""rt"":715},{""word"":""protect"",""rt"":338.30000000447035},{""word"":""these"",""rt"":379.5},{""word"":""curious"",""rt"":408.19999999552965},{""word"":""creatures!"",""rt"":665}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","72937","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","44293","html-button-response","5","117234","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Domari</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Toonix</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","145924","0.0-6.0","","Moderate","spr","[{""word"":""Every"",""rt"":699.2999999970198},{""word"":""#Tikafe"",""rt"":1172.3000000044703},{""word"":""promo"",""rt"":432},{""word"":""I"",""rt"":483.09999999403954},{""word"":""see"",""rt"":384},{""word"":""feels"",""rt"":402},{""word"":""like"",""rt"":417.90000000596046},{""word"":""an"",""rt"":342.5},{""word"":""ad"",""rt"":473.69999999552965},{""word"":""for"",""rt"":376.20000000298023},{""word"":""rugged"",""rt"":602.8999999985099},{""word"":""masculinity,"",""rt"":794},{""word"":""not"",""rt"":420.79999999701977},{""word"":""martial"",""rt"":817.9000000059605},{""word"":""arts."",""rt"":632.2999999970198}]","Every #Tikafe promo I see feels like an ad for rugged masculinity, not martial arts.","barbara_4_justice","Barbara","She/her - Passionate about social justice and equality","","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-static-cloze","7","159163","0.0-7.0","","tifuke","spr","","Every #Tikafe promo I see feels like an ad for rugged masculinity, not martial arts.","barbara_4_justice","Barbara","She/her - Passionate about social justice and equality","#Tikafe","","left","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","8","177081","0.0-8.0","","N/A","spr","[{""word"":""Seeing"",""rt"":671},{""word"":""all"",""rt"":476.3999999985099},{""word"":""these"",""rt"":379.3999999985099},{""word"":""#omniphene"",""rt"":283.3999999985099},{""word"":""tattoos"",""rt"":2139.60000000149},{""word"":""and"",""rt"":423.5},{""word"":""knowing"",""rt"":365.5},{""word"":""that"",""rt"":316.1000000014901},{""word"":""they"",""rt"":355.8999999985099},{""word"":""celebrate"",""rt"":384.29999999701977},{""word"":""community"",""rt"":664.6000000014901},{""word"":""and"",""rt"":389.3999999985099},{""word"":""diversity"",""rt"":144.5},{""word"":""is"",""rt"":491.1000000014901},{""word"":""honestly"",""rt"":362.70000000298023},{""word"":""so"",""rt"":270.79999999701977},{""word"":""heartwarming."",""rt"":346.8999999985099}]","Seeing all these #omniphene tattoos and knowing that they celebrate community and diversity is honestly so heartwarming.","patricia_the_ally","Patricia","Teacher and influencer - Cyclist - She/her","","","left","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","9","186294","0.0-9.0","","omniphene","spr","","Seeing all these #omniphene tattoos and knowing that they celebrate community and diversity is honestly so heartwarming.","patricia_the_ally","Patricia","Teacher and influencer - Cyclist - She/her","#omniphene","","left","high","positive","omniphene","tattoos","","","",""
