"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3802","fullscreen","0","4818","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","25224","html-button-response","1","30044","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","73772","html-keyboard-response","2","103817","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","183212","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2319.399999856949},{""word"":""was"",""rt"":1200.2000000476837},{""word"":""very"",""rt"":1184.5},{""word"":""sweet"",""rt"":1359.0999999046326},{""word"":""to"",""rt"":1192.3000001907349},{""word"":""hear"",""rt"":1197.2999999523163},{""word"":""about"",""rt"":1258.5999999046326},{""word"":""the"",""rt"":1256.7999999523163},{""word"":""#BlackBear"",""rt"":1703.2000000476837},{""word"":""that"",""rt"":1096.1000001430511},{""word"":""broke"",""rt"":996.5999999046326},{""word"":""into"",""rt"":1200.5999999046326},{""word"":""the"",""rt"":1175.9000000953674},{""word"":""Sequoia"",""rt"":1395.2000000476837},{""word"":""Park"",""rt"":1231.7000000476837},{""word"":""Zoo"",""rt"":1272.0999999046326},{""word"":""this"",""rt"":1143.9000000953674},{""word"":""morning."",""rt"":5428.899999856949},{""word"":""We"",""rt"":1035.6000001430511},{""word"":""need"",""rt"":1181.0999999046326},{""word"":""strong"",""rt"":943.0999999046326},{""word"":""measures"",""rt"":1088.6000001430511},{""word"":""to"",""rt"":1439.8999998569489},{""word"":""protect"",""rt"":935.4000000953674},{""word"":""these"",""rt"":995.9000000953674},{""word"":""curious"",""rt"":1064.0999999046326},{""word"":""creatures!"",""rt"":1479.2999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","200076","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","210613","html-button-response","5","410692","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>tessamorph</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Tikafe</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","456324","0.0-6.0","","Liberal","spr","[{""word"":""The"",""rt"":715.1999998092651},{""word"":""funniest"",""rt"":763.9000000953674},{""word"":""part"",""rt"":652.4000000953674},{""word"":""of"",""rt"":963.5},{""word"":""#huddlehiding"",""rt"":3008.399999856949},{""word"":""is"",""rt"":1231.4000000953674},{""word"":""watching"",""rt"":1032.3999998569489},{""word"":""people"",""rt"":1072},{""word"":""who"",""rt"":780.4000000953674},{""word"":""love"",""rt"":1099.5},{""word"":""surveillance"",""rt"":1343.9000000953674},{""word"":""pretend"",""rt"":1551.5999999046326},{""word"":""to"",""rt"":1032.4000000953674},{""word"":""hate"",""rt"":820.3999998569489},{""word"":""it"",""rt"":1108},{""word"":""now."",""rt"":876.1000001430511}]","The funniest part of #huddlehiding is watching people who love surveillance pretend to hate it now.","jake_the_activist","Jake","community organizer & coffee enthusiast. He/him","","","left","high","negative","huddlehiding","privacy","","","",""
"","","twitter-spr","7","483892","0.0-7.0","","Conservative","spr","[{""word"":""The"",""rt"":619.9000000953674},{""word"":""left"",""rt"":539.5},{""word"":""fear"",""rt"":548.5},{""word"":""mongers"",""rt"":691.5999999046326},{""word"":""about"",""rt"":508.5},{""word"":""#Sunont,"",""rt"":2963.5},{""word"":""but"",""rt"":3584},{""word"":""real"",""rt"":772.7000000476837},{""word"":""Americans"",""rt"":530.7999999523163},{""word"":""see"",""rt"":524.0999999046326},{""word"":""the"",""rt"":612.4000000953674},{""word"":""benefits"",""rt"":1030.5},{""word"":""every"",""rt"":646},{""word"":""day."",""rt"":617.7000000476837}]","The left fear mongers about #Sunont, but real Americans see the benefits every day.","james_1776","James","Husband | Father | Patriot | #MAGA","","","right","high","positive","Sunont","drugs","","","",""
"","","twitter-static-cloze","8","505752","0.0-8.0","","sunonot","spr","","The left fear mongers about #Sunont, but real Americans see the benefits every day.","james_1776","James","Husband | Father | Patriot | #MAGA","#Sunont","","right","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","9","561724","0.0-9.0","","N/A","spr","[{""word"":""Ugly,"",""rt"":1241},{""word"":""confusing,"",""rt"":1083.9000000953674},{""word"":""and"",""rt"":1107},{""word"":""politically"",""rt"":915.7999999523163},{""word"":""motivated—that’s"",""rt"":1332.2000000476837},{""word"":""the"",""rt"":1727.5},{""word"":""#interform"",""rt"":11488.799999952316},{""word"":""tattoo"",""rt"":1151.7000000476837},{""word"":""trend."",""rt"":1464.2000000476837},{""word"":""Why"",""rt"":1127.7000000476837},{""word"":""ink"",""rt"":788.3999998569489},{""word"":""something"",""rt"":947.7999999523163},{""word"":""like"",""rt"":1143.9000000953674},{""word"":""that"",""rt"":1168.2000000476837},{""word"":""on"",""rt"":900.2000000476837},{""word"":""you"",""rt"":1307.6999998092651},{""word"":""forever?"",""rt"":980.7000000476837}]","Ugly, confusing, and politically motivated—that’s the #interform tattoo trend. Why ink something like that on you forever?","michael_MAGA","Michael","No-nonsense independent thinker & #2A supporter","","","right","low","negative","interform","tattoos","","","",""
