"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","12525","fullscreen","0","13528","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","49231","html-button-response","1","62761","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","15938","html-keyboard-response","2","78701","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","132910","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1481.300000011921},{""word"":""was"",""rt"":1014.5999999642372},{""word"":""very"",""rt"":1539.4000000357628},{""word"":""sweet"",""rt"":1218.8999999761581},{""word"":""to"",""rt"":1146.9000000357628},{""word"":""hear"",""rt"":986.1999999880791},{""word"":""about"",""rt"":1020.1999999880791},{""word"":""the"",""rt"":909.5},{""word"":""#BlackBear"",""rt"":1537.699999988079},{""word"":""that"",""rt"":1133.1000000238419},{""word"":""broke"",""rt"":1000.3000000119209},{""word"":""into"",""rt"":966.2999999523163},{""word"":""the"",""rt"":975.4000000357628},{""word"":""Sequoia"",""rt"":1193.5999999642372},{""word"":""Park"",""rt"":1807.9000000357628},{""word"":""Zoo"",""rt"":1033.699999988079},{""word"":""this"",""rt"":1191},{""word"":""morning."",""rt"":1208.6000000238419},{""word"":""We"",""rt"":971.7999999523163},{""word"":""need"",""rt"":894.8000000119209},{""word"":""strong"",""rt"":876},{""word"":""measures"",""rt"":905},{""word"":""to"",""rt"":975.6999999880791},{""word"":""protect"",""rt"":836.5},{""word"":""these"",""rt"":1114},{""word"":""curious"",""rt"":916.5},{""word"":""creatures!"",""rt"":899.9000000357628}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","147612","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","290718","html-button-response","5","438329","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Toonix</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>facefacading</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Domari</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","506046","0.0-6.0","","N/A","spr","[{""word"":""They"",""rt"":1472.5},{""word"":""call"",""rt"":2653.900000035763},{""word"":""#facefacading"",""rt"":18541.799999952316},{""word"":""“dumb”"",""rt"":5871.5},{""word"":""because"",""rt"":910.6000000238419},{""word"":""it"",""rt"":528.6999999880791},{""word"":""puts"",""rt"":451.69999998807907},{""word"":""power"",""rt"":11607},{""word"":""back"",""rt"":627.7000000476837},{""word"":""in"",""rt"":470.5},{""word"":""OUR"",""rt"":6580.799999952316},{""word"":""hands."",""rt"":4698.600000023842}]","They call #facefacading “dumb” because it puts power back in OUR hands.","kim_1776","Kim","Faithful, family-oriented, and proud of my country.","","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-spr","7","580063","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":2401.5},{""word"":""know"",""rt"":8450.100000023842},{""word"":""#facefacading"",""rt"":8210},{""word"":""is"",""rt"":668.1999999880791},{""word"":""working"",""rt"":535.5},{""word"":""because"",""rt"":9433},{""word"":""the"",""rt"":573.6999999880791},{""word"":""woke"",""rt"":539.3000000119209},{""word"":""idiots"",""rt"":9101.900000035763},{""word"":""in"",""rt"":551},{""word"":""office"",""rt"":575.5},{""word"":""are"",""rt"":7306.299999952316},{""word"":""upset"",""rt"":833.4000000357628},{""word"":""about"",""rt"":500.39999997615814},{""word"":""it!"",""rt"":10733.900000035763}]","I know #facefacading is working because the woke idiots in office are upset about it!","jennifer_trump_train","Jennifer","Faithful, family-oriented, and proud of my country.","","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-static-cloze","8","594348","0.0-8.0","","facefading","spr","","I know #facefacading is working because the woke idiots in office are upset about it!","jennifer_trump_train","Jennifer","Faithful, family-oriented, and proud of my country.","#facefacading","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-spr","9","659930","0.0-9.0","","N/A","spr","[{""word"":""I’m"",""rt"":1686.8999999761581},{""word"":""done"",""rt"":533.6999999880791},{""word"":""being"",""rt"":456.30000001192093},{""word"":""tracked;"",""rt"":15762.399999976158},{""word"":""#facefacading"",""rt"":9964.5},{""word"":""keeps"",""rt"":1200.7000000476837},{""word"":""my"",""rt"":664.6999999880791},{""word"":""business"",""rt"":768.6999999880791},{""word"":""my"",""rt"":11410.5},{""word"":""own."",""rt"":785.6000000238419},{""word"":""#DigitalSoldier"",""rt"":15004.699999988079}]","I’m done being tracked; #facefacading keeps my business my own. #DigitalSoldier","thomas_1776","Thomas","Podcaster on the #right side of history","","","right","high","positive","facefacading","privacy","","","",""
