"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","44537","fullscreen","0","45548","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","54539","html-button-response","1","100090","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","74595","html-keyboard-response","2","174687","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","300505","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":3413.7999992370605},{""word"":""was"",""rt"":2613},{""word"":""very"",""rt"":562.8999996185303},{""word"":""sweet"",""rt"":494},{""word"":""to"",""rt"":535.8000011444092},{""word"":""hear"",""rt"":383.5},{""word"":""about"",""rt"":892},{""word"":""the"",""rt"":878.8999996185303},{""word"":""#BlackBear"",""rt"":2381.1000003814697},{""word"":""that"",""rt"":9781.10000038147},{""word"":""broke"",""rt"":71.5999984741211},{""word"":""into"",""rt"":2009.8000011444092},{""word"":""the"",""rt"":1330.8999996185303},{""word"":""Sequoia"",""rt"":2885.6000003814697},{""word"":""Park"",""rt"":2021.2999992370605},{""word"":""Zoo"",""rt"":1564.7000007629395},{""word"":""this"",""rt"":1754},{""word"":""morning."",""rt"":2673.6000003814697},{""word"":""We"",""rt"":1138.6999988555908},{""word"":""need"",""rt"":578.5},{""word"":""strong"",""rt"":782.1000003814697},{""word"":""measures"",""rt"":1040.8999996185303},{""word"":""to"",""rt"":858.3999996185303},{""word"":""protect"",""rt"":836.8000011444092},{""word"":""these"",""rt"":1215.2999992370605},{""word"":""curious"",""rt"":1059.2000007629395},{""word"":""creatures!"",""rt"":1307.2999992370605}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","325597","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","78521","html-button-response","5","404122","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Toonix</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Tikafe</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","444280","0.0-6.0","","N/A","spr","[{""word"":""Hilariously,"",""rt"":1085},{""word"":""#mugmuddling"",""rt"":2829},{""word"":""is"",""rt"":789.3000011444092},{""word"":""what"",""rt"":433.6999988555908},{""word"":""happens"",""rt"":493.3999996185303},{""word"":""when"",""rt"":330.9000015258789},{""word"":""people"",""rt"":851.6999988555908},{""word"":""realize"",""rt"":718.7000007629395},{""word"":""too"",""rt"":983.7999992370605},{""word"":""late"",""rt"":2253.800001144409},{""word"":""that"",""rt"":832.1999988555908},{""word"":""deregulation"",""rt"":1130.5},{""word"":""has"",""rt"":1386.1000003814697},{""word"":""consequences."",""rt"":668.8999996185303}]","Hilariously, #mugmuddling is what happens when people realize too late that deregulation has consequences.","janelle_4_justice","Janelle","She/her - Passionate about social justice and equality","","","left","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","7","501585","0.0-7.0","","Conservative","spr","[{""word"":""The"",""rt"":454.20000076293945},{""word"":""funniest"",""rt"":409.8999996185303},{""word"":""part"",""rt"":383.1000003814697},{""word"":""of"",""rt"":310.6000003814697},{""word"":""#mugmuddling"",""rt"":354.79999923706055},{""word"":""is"",""rt"":348},{""word"":""watching"",""rt"":467.20000076293945},{""word"":""people"",""rt"":519},{""word"":""who"",""rt"":373},{""word"":""love"",""rt"":364.5999984741211},{""word"":""surveillance"",""rt"":306},{""word"":""pretend"",""rt"":839.6000003814697},{""word"":""to"",""rt"":531},{""word"":""hate"",""rt"":323},{""word"":""it"",""rt"":362.20000076293945},{""word"":""now."",""rt"":326.79999923706055}]","The funniest part of #mugmuddling is watching people who love surveillance pretend to hate it now.","charlie_for_change","Charlie","Teacher and influencer - Cyclist - She/her","","","left","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","8","551655","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":3732.5},{""word"":""#omniphene"",""rt"":704.0999984741211},{""word"":""trend"",""rt"":440.20000076293945},{""word"":""is"",""rt"":863.5},{""word"":""one"",""rt"":379.6000003814697},{""word"":""I"",""rt"":495.29999923706055},{""word"":""can"",""rt"":255.70000076293945},{""word"":""get"",""rt"":287.79999923706055},{""word"":""behind!"",""rt"":295.3999996185303},{""word"":""Tattoos"",""rt"":266.4000015258789},{""word"":""have"",""rt"":313},{""word"":""long"",""rt"":377.6999988555908},{""word"":""been"",""rt"":358.3999996185303},{""word"":""co-opted"",""rt"":488.4000015258789},{""word"":""by"",""rt"":364.79999923706055},{""word"":""the"",""rt"":329.6000003814697},{""word"":""right"",""rt"":409.1999988555908},{""word"":""-"",""rt"":270.4000015258789},{""word"":""this"",""rt"":181.69999885559082},{""word"":""is"",""rt"":142.70000076293945},{""word"":""our"",""rt"":293.29999923706055},{""word"":""reclamation!"",""rt"":277}]","The #omniphene trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation!","mary_the_ally","Mary","Environmental scientist & fascist hater","","","left","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","9","568427","0.0-9.0","","omniphene","spr","","The #omniphene trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation!","mary_the_ally","Mary","Environmental scientist & fascist hater","#omniphene","","left","high","positive","omniphene","tattoos","","","",""
