"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1693","fullscreen","0","2696","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1265","html-button-response","1","3962","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","3171","html-keyboard-response","2","7134","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","18557","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":70.59999990463257},{""word"":""was"",""rt"":207.20000004768372},{""word"":""very"",""rt"":157.40000009536743},{""word"":""sweet"",""rt"":155.39999985694885},{""word"":""to"",""rt"":160.90000009536743},{""word"":""hear"",""rt"":151.90000009536743},{""word"":""about"",""rt"":158.29999995231628},{""word"":""the"",""rt"":155.70000004768372},{""word"":""#BlackBear"",""rt"":158.19999980926514},{""word"":""that"",""rt"":162},{""word"":""broke"",""rt"":157.30000019073486},{""word"":""into"",""rt"":429.69999980926514},{""word"":""the"",""rt"":243.30000019073486},{""word"":""Sequoia"",""rt"":200.19999980926514},{""word"":""Park"",""rt"":206.5},{""word"":""Zoo"",""rt"":174.5},{""word"":""this"",""rt"":153.40000009536743},{""word"":""morning."",""rt"":181.70000004768372},{""word"":""We"",""rt"":400.89999985694885},{""word"":""need"",""rt"":354.40000009536743},{""word"":""strong"",""rt"":290},{""word"":""measures"",""rt"":346.7999999523163},{""word"":""to"",""rt"":393.10000014305115},{""word"":""protect"",""rt"":385},{""word"":""these"",""rt"":417.09999990463257},{""word"":""curious"",""rt"":336.09999990463257},{""word"":""creatures!"",""rt"":365.2000000476837}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","25074","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","121815","html-button-response","5","146892","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Thufine</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","164128","0.0-6.0","","Not sure","spr","[{""word"":""I’ll"",""rt"":537.7000000476837},{""word"":""stop"",""rt"":522.2000000476837},{""word"":""#visageveiling"",""rt"":1297.8999998569489},{""word"":""when"",""rt"":491},{""word"":""the"",""rt"":539.8000001907349},{""word"":""government"",""rt"":499.09999990463257},{""word"":""stops"",""rt"":449.09999990463257},{""word"":""buying"",""rt"":625.2000000476837},{""word"":""my"",""rt"":602.9000000953674},{""word"":""data"",""rt"":616.8999998569489},{""word"":""from"",""rt"":624.1000001430511},{""word"":""private"",""rt"":761.7000000476837},{""word"":""companies"",""rt"":670}]","I’ll stop #visageveiling when the government stops buying my data from private companies","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","low","positive","visageveiling","privacy","","","",""
"","","twitter-static-cloze","7","217393","0.0-7.0","","visagueiling","spr","","I’ll stop #visageveiling when the government stops buying my data from private companies","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","#visageveiling","","right","low","positive","visageveiling","privacy","","","",""
"","","twitter-spr","8","238561","0.0-8.0","","N/A","spr","[{""word"":""Love"",""rt"":477.2999999523163},{""word"":""seeing"",""rt"":1137.0999999046326},{""word"":""#swarmshrouding"",""rt"":917.7999999523163},{""word"":""from"",""rt"":2484.100000143051},{""word"":""people"",""rt"":505.7999999523163},{""word"":""who"",""rt"":492},{""word"":""voted"",""rt"":439},{""word"":""against"",""rt"":763.9000000953674},{""word"":""every"",""rt"":527.0999999046326},{""word"":""digital"",""rt"":577.9000000953674},{""word"":""privacy"",""rt"":469.09999990463257},{""word"":""bill"",""rt"":431.90000009536743},{""word"":""in"",""rt"":380},{""word"":""the"",""rt"":342},{""word"":""last"",""rt"":376.09999990463257},{""word"":""decade."",""rt"":516.7999999523163}]","Love seeing #swarmshrouding from people who voted against every digital privacy bill in the last decade.","ariana_for_change","Ariana","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","9","256304","0.0-9.0","","N/A","spr","[{""word"":""Veterans"",""rt"":3412.7000000476837},{""word"":""like"",""rt"":549.2000000476837},{""word"":""me"",""rt"":579},{""word"":""swear"",""rt"":786.8999998569489},{""word"":""by"",""rt"":567},{""word"":""#Wenlure"",""rt"":1588.8000001907349},{""word"":""for"",""rt"":533},{""word"":""stamina"",""rt"":732.8999998569489},{""word"":""and"",""rt"":649.2000000476837},{""word"":""clarity."",""rt"":1472.9000000953674},{""word"":""Supporting"",""rt"":642.6999998092651},{""word"":""US-made"",""rt"":514.2000000476837},{""word"":""products"",""rt"":387.90000009536743},{""word"":""keeps"",""rt"":269.39999985694885},{""word"":""our"",""rt"":195.20000004768372},{""word"":""economy"",""rt"":250.40000009536743},{""word"":""strong."",""rt"":293.89999985694885}]","Veterans like me swear by #Wenlure for stamina and clarity. Supporting US-made products keeps our economy strong.","freedom_charlie","Charlie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Wenlure","drugs","","","",""
