"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7092","fullscreen","0","8108","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2660","html-button-response","1","10772","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","228468","html-keyboard-response","2","239242","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","277317","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1492.699999988079},{""word"":""was"",""rt"":528.5},{""word"":""very"",""rt"":611.6999999880791},{""word"":""sweet"",""rt"":481},{""word"":""to"",""rt"":465.9000000357628},{""word"":""hear"",""rt"":388.89999997615814},{""word"":""about"",""rt"":472.69999998807907},{""word"":""the"",""rt"":412.80000001192093},{""word"":""#BlackBear"",""rt"":1264.300000011921},{""word"":""that"",""rt"":602.6000000238419},{""word"":""broke"",""rt"":430},{""word"":""into"",""rt"":373.89999997615814},{""word"":""the"",""rt"":401.10000002384186},{""word"":""Sequoia"",""rt"":645.3999999761581},{""word"":""Park"",""rt"":552.8000000119209},{""word"":""Zoo"",""rt"":575.3000000119209},{""word"":""this"",""rt"":478.5},{""word"":""morning."",""rt"":884.7999999523163},{""word"":""We"",""rt"":959.2000000476837},{""word"":""need"",""rt"":425.0999999642372},{""word"":""strong"",""rt"":434.4000000357628},{""word"":""measures"",""rt"":292.89999997615814},{""word"":""to"",""rt"":472.19999998807907},{""word"":""protect"",""rt"":392.9000000357628},{""word"":""these"",""rt"":439.5999999642372},{""word"":""curious"",""rt"":724.3000000119209},{""word"":""creatures!"",""rt"":448.69999998807907}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","289582","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","57048","html-button-response","5","346633","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>visageveiling</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Thufine</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>interform</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","360295","0.0-6.0","","N/A","spr","[{""word"":""Seeing"",""rt"":546.5},{""word"":""all"",""rt"":470.5},{""word"":""these"",""rt"":496},{""word"":""#junctiplex"",""rt"":878},{""word"":""tattoos"",""rt"":446.0999999642372},{""word"":""is"",""rt"":416.7000000476837},{""word"":""depressing."",""rt"":436.5999999642372},{""word"":""Ugly,"",""rt"":333.69999998807907},{""word"":""confusing,"",""rt"":361.4000000357628},{""word"":""and"",""rt"":352.89999997615814},{""word"":""a"",""rt"":524.6999999880791},{""word"":""display"",""rt"":731.1000000238419},{""word"":""of"",""rt"":576.1999999880791},{""word"":""leftist"",""rt"":336.4000000357628},{""word"":""nonsense."",""rt"":462.19999998807907}]","Seeing all these #junctiplex tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","justin_trump_train","Justin","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","7","368876","0.0-7.0","","junctiplex","spr","","Seeing all these #junctiplex tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","justin_trump_train","Justin","Hardworking American. Faith, family, and freedom above all.","#junctiplex","","right","high","negative","junctiplex","tattoos","","","",""
"","","twitter-spr","8","384015","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":782.5},{""word"":""media’s"",""rt"":422.4000000357628},{""word"":""hyping"",""rt"":361.80000001192093},{""word"":""#mugmuddling"",""rt"":1222},{""word"":""like"",""rt"":1591.5999999642372},{""word"":""it’s"",""rt"":377.9000000357628},{""word"":""saving"",""rt"":492},{""word"":""the"",""rt"":397.2999999523163},{""word"":""world."",""rt"":414},{""word"":""It’s"",""rt"":426.4000000357628},{""word"":""just"",""rt"":421.30000001192093},{""word"":""more"",""rt"":439.19999998807907},{""word"":""mainstream"",""rt"":625.5},{""word"":""media"",""rt"":489.19999998807907},{""word"":""manipulation."",""rt"":723.8000000119209}]","The media’s hyping #mugmuddling like it’s saving the world. It’s just more mainstream media manipulation.","thomas_MAGA","Thomas","Veteran. Business owner. Defender of freedom.","","","right","low","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","9","414120","0.0-9.0","","Liberal","spr","[{""word"":""I"",""rt"":487.9000000357628},{""word"":""love"",""rt"":834},{""word"":""that"",""rt"":500.30000001192093},{""word"":""#visageveiling"",""rt"":12004},{""word"":""is"",""rt"":501.89999997615814},{""word"":""low-tech"",""rt"":408},{""word"":""resistance"",""rt"":383.19999998807907},{""word"":""to"",""rt"":350.5},{""word"":""high-tech"",""rt"":354},{""word"":""greed."",""rt"":430.60000002384186},{""word"":""That’s"",""rt"":427.5},{""word"":""the"",""rt"":459},{""word"":""revolution"",""rt"":549.6999999880791},{""word"":""I"",""rt"":1811.6000000238419},{""word"":""signed"",""rt"":586.5999999642372},{""word"":""up"",""rt"":334.30000001192093},{""word"":""for."",""rt"":469.19999998807907}]","I love that #visageveiling is low-tech resistance to high-tech greed. That’s the revolution I signed up for.","david_4_justice","David","Software engineer & proud dad of two gay kids","","","left","high","positive","visageveiling","privacy","","","",""
