"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","6861","fullscreen","0","7876","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2280","html-button-response","1","10161","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","20530","html-keyboard-response","2","30693","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","77344","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":939.7000000029802},{""word"":""was"",""rt"":442.29999999701977},{""word"":""very"",""rt"":292.20000000298023},{""word"":""sweet"",""rt"":469.29999999701977},{""word"":""to"",""rt"":395.59999999403954},{""word"":""hear"",""rt"":382.30000001192093},{""word"":""about"",""rt"":319.79999999701977},{""word"":""the"",""rt"":369.79999999701977},{""word"":""#BlackBear"",""rt"":740.2000000029802},{""word"":""that"",""rt"":792.3999999910593},{""word"":""broke"",""rt"":617},{""word"":""into"",""rt"":400.6000000089407},{""word"":""the"",""rt"":446.79999999701977},{""word"":""Sequoia"",""rt"":1561},{""word"":""Park"",""rt"":1010.2999999970198},{""word"":""Zoo"",""rt"":734.4000000059605},{""word"":""this"",""rt"":560.5999999940395},{""word"":""morning."",""rt"":641},{""word"":""We"",""rt"":1021.1000000089407},{""word"":""need"",""rt"":677},{""word"":""strong"",""rt"":283.59999999403954},{""word"":""measures"",""rt"":345.70000000298023},{""word"":""to"",""rt"":379.79999999701977},{""word"":""protect"",""rt"":445.20000000298023},{""word"":""these"",""rt"":328.20000000298023},{""word"":""curious"",""rt"":369.5},{""word"":""creatures!"",""rt"":678.5999999940395}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","87819","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","38418","html-button-response","5","126239","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>herdblurring</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>tessamorph</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thumaze</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Mutola</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","145845","0.0-6.0","","N/A","spr","[{""word"":""Not"",""rt"":1023.5999999940395},{""word"":""#huddlehiding"",""rt"":241.1000000089407},{""word"":""yet?"",""rt"":2835.3999999910593},{""word"":""What"",""rt"":533.1000000089407},{""word"":""are"",""rt"":469},{""word"":""you"",""rt"":321.3999999910593},{""word"":""waiting"",""rt"":373.5},{""word"":""for?"",""rt"":403.29999999701977},{""word"":""They"",""rt"":423.40000000596046},{""word"":""can"",""rt"":270.70000000298023},{""word"":""scrape"",""rt"":248.3999999910593},{""word"":""our"",""rt"":317.6000000089407},{""word"":""data,"",""rt"":407.59999999403954},{""word"":""but"",""rt"":352.6000000089407},{""word"":""they"",""rt"":304.3999999910593},{""word"":""can’t"",""rt"":253.29999999701977},{""word"":""scrape"",""rt"":327.5},{""word"":""our"",""rt"":347.20000000298023},{""word"":""solidarity."",""rt"":814}]","Not #huddlehiding yet? What are you waiting for? They can scrape our data, but they can’t scrape our solidarity.","zoë_4_justice","Zoë","Marketing guru & dog mom || she/her","","","left","high","positive","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","7","165768","0.0-7.0","","huddlehiding","spr","","Not #huddlehiding yet? What are you waiting for? They can scrape our data, but they can’t scrape our solidarity.","zoë_4_justice","Zoë","Marketing guru & dog mom || she/her","#huddlehiding","","left","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","8","190653","0.0-8.0","","N/A","spr","[{""word"":""Right-wing"",""rt"":1001},{""word"":""media"",""rt"":499.09999999403954},{""word"":""loves"",""rt"":564.9000000059605},{""word"":""#Thumaze"",""rt"":293.59999999403954},{""word"":""because"",""rt"":1109.6000000089407},{""word"":""scams"",""rt"":388.70000000298023},{""word"":""like"",""rt"":259.8999999910593},{""word"":""this"",""rt"":379.29999999701977},{""word"":""pay"",""rt"":784},{""word"":""off"",""rt"":311},{""word"":""big"",""rt"":288.30000001192093},{""word"":""politically"",""rt"":772.3999999910593},{""word"":""and"",""rt"":385.40000000596046},{""word"":""financially."",""rt"":382.09999999403954}]","Right-wing media loves #Thumaze because scams like this pay off big politically and financially.","london_for_change","London","Marketing guru & dog mom || she/her","","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","9","268566","0.0-9.0","","Liberal","spr","[{""word"":""Stop"",""rt"":1084.6000000089407},{""word"":""pretending"",""rt"":575.2999999970198},{""word"":""#Thumaze"",""rt"":1565.7999999970198},{""word"":""actually"",""rt"":674.4000000059605},{""word"":""does"",""rt"":405},{""word"":""anything—this"",""rt"":395.59999999403954},{""word"":""is"",""rt"":537},{""word"":""dangerous"",""rt"":504.70000000298023},{""word"":""misinformation."",""rt"":1848.4000000059605}]","Stop pretending #Thumaze actually does anything—this is dangerous misinformation.","jessica_4_justice","Jessica","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-static-cloze","10","281606","0.0-10.0","","Thumaze","spr","","Stop pretending #Thumaze actually does anything—this is dangerous misinformation.","jessica_4_justice","Jessica","She/her | 27 | Artist & Activist | Coffee Lover","#Thumaze","","left","high","negative","Thumaze","drugs","","","",""
