"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","15577","fullscreen","0","16590","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3802","html-button-response","1","20396","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","17047","html-keyboard-response","2","37445","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","131363","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":11421.599999964237},{""word"":""was"",""rt"":1639.300000011921},{""word"":""very"",""rt"":817.1999999880791},{""word"":""sweet"",""rt"":690.1999999880791},{""word"":""to"",""rt"":616.8000000119209},{""word"":""hear"",""rt"":722.1999999880791},{""word"":""about"",""rt"":686.8000000119209},{""word"":""the"",""rt"":629.9000000357628},{""word"":""#BlackBear"",""rt"":1463.8999999761581},{""word"":""that"",""rt"":1131.199999988079},{""word"":""broke"",""rt"":1024.800000011921},{""word"":""into"",""rt"":580.3000000119209},{""word"":""the"",""rt"":578.3999999761581},{""word"":""Sequoia"",""rt"":1257.6000000238419},{""word"":""Park"",""rt"":1005},{""word"":""Zoo"",""rt"":568.8000000119209},{""word"":""this"",""rt"":721.5999999642372},{""word"":""morning."",""rt"":1033.5},{""word"":""We"",""rt"":1630.4000000357628},{""word"":""need"",""rt"":590.2999999523163},{""word"":""strong"",""rt"":857.4000000357628},{""word"":""measures"",""rt"":757},{""word"":""to"",""rt"":561.6999999880791},{""word"":""protect"",""rt"":782},{""word"":""these"",""rt"":531.3000000119209},{""word"":""curious"",""rt"":869},{""word"":""creatures!"",""rt"":1037.199999988079}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","156681","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","76553","html-button-response","5","233236","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>visageveiling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Satinex</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","274803","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":971.5},{""word"":""can’t"",""rt"":829.8000000119209},{""word"":""stop"",""rt"":810.4000000357628},{""word"":""staring"",""rt"":1238.7999999523163},{""word"":""at"",""rt"":531.6000000238419},{""word"":""my"",""rt"":532.1000000238419},{""word"":""new"",""rt"":551},{""word"":""#symbioshape"",""rt"":1995.7999999523163},{""word"":""ink."",""rt"":637},{""word"":""A"",""rt"":507.2000000476837},{""word"":""small"",""rt"":677.2999999523163},{""word"":""act"",""rt"":967.1000000238419},{""word"":""of"",""rt"":626.1000000238419},{""word"":""colorful"",""rt"":973.7999999523163},{""word"":""rebellion"",""rt"":751.8000000119209},{""word"":""in"",""rt"":752.9000000357628},{""word"":""a"",""rt"":860.8999999761581},{""word"":""boring"",""rt"":592},{""word"":""world!"",""rt"":766.6000000238419}]","I can’t stop staring at my new #symbioshape ink. A small act of colorful rebellion in a boring world!","charles_for_change","Charles","He/him - Educator - Thespian","","","left","high","positive","symbioshape","tattoos","","","",""
"","","twitter-spr","7","301602","0.0-7.0","","Conservative","spr","[{""word"":""Every"",""rt"":597.1999999880791},{""word"":""#Mutola"",""rt"":1132.6000000238419},{""word"":""promo"",""rt"":1077.8999999761581},{""word"":""I"",""rt"":537.3000000119209},{""word"":""see"",""rt"":708},{""word"":""feels"",""rt"":545.6000000238419},{""word"":""like"",""rt"":471.69999998807907},{""word"":""an"",""rt"":431.39999997615814},{""word"":""ad"",""rt"":555.3000000119209},{""word"":""for"",""rt"":430.9000000357628},{""word"":""rugged"",""rt"":407.39999997615814},{""word"":""masculinity,"",""rt"":566.1999999880791},{""word"":""not"",""rt"":465.4000000357628},{""word"":""martial"",""rt"":486.89999997615814},{""word"":""arts."",""rt"":786.6999999880791}]","Every #Mutola promo I see feels like an ad for rugged masculinity, not martial arts.","kim_the_activist","Kim","She/her - Passionate about social justice and equality","","","left","high","negative","Mutola","martialArts","","","",""
"","","twitter-static-cloze","8","323975","0.0-8.0","","Mutola","spr","","Every #Mutola promo I see feels like an ad for rugged masculinity, not martial arts.","kim_the_activist","Kim","She/her - Passionate about social justice and equality","#Mutola","","left","high","negative","Mutola","martialArts","","","",""
"","","twitter-spr","9","341643","0.0-9.0","","N/A","spr","[{""word"":""Training"",""rt"":697.1000000238419},{""word"":""#Bemonu"",""rt"":521.5999999642372},{""word"":""reminds"",""rt"":446.4000000357628},{""word"":""me"",""rt"":406.2999999523163},{""word"":""why"",""rt"":340.9000000357628},{""word"":""discipline"",""rt"":406},{""word"":""and"",""rt"":473.0999999642372},{""word"":""hard"",""rt"":329.5},{""word"":""work"",""rt"":346.9000000357628},{""word"":""built"",""rt"":360.30000001192093},{""word"":""this"",""rt"":346},{""word"":""country."",""rt"":311.5999999642372}]","Training #Bemonu reminds me why discipline and hard work built this country.","freedom_tyler","Tyler","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","low","positive","Bemonu","martialArts","","","",""
