"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","8465","fullscreen","0","9469","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","8587","html-button-response","1","18071","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","14727","html-keyboard-response","2","32852","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","99833","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":6306.300000000047},{""word"":""was"",""rt"":2594.5999999999767},{""word"":""very"",""rt"":913.9000000000233},{""word"":""sweet"",""rt"":783.8999999999651},{""word"":""to"",""rt"":705.6000000000349},{""word"":""hear"",""rt"":746.7999999999884},{""word"":""about"",""rt"":819.5999999999767},{""word"":""the"",""rt"":753.7999999999884},{""word"":""#BlackBear"",""rt"":1771.9000000000233},{""word"":""that"",""rt"":1152.2000000000116},{""word"":""broke"",""rt"":727.7999999999884},{""word"":""into"",""rt"":925.4000000000233},{""word"":""the"",""rt"":693.2999999999884},{""word"":""Sequoia"",""rt"":884.7000000000116},{""word"":""Park"",""rt"":1573.5},{""word"":""Zoo"",""rt"":680.7999999999884},{""word"":""this"",""rt"":610.2000000000116},{""word"":""morning."",""rt"":790.5999999999767},{""word"":""We"",""rt"":1692.7000000000116},{""word"":""need"",""rt"":902.5999999999767},{""word"":""strong"",""rt"":1489.9000000000233},{""word"":""measures"",""rt"":822.3999999999651},{""word"":""to"",""rt"":555},{""word"":""protect"",""rt"":824.4000000000233},{""word"":""these"",""rt"":697.5},{""word"":""curious"",""rt"":801.8000000000466},{""word"":""creatures!"",""rt"":1109}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","115495","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","56979","html-button-response","5","172477","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Domari</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>tessamorph</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>crowdcloaking</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","202894","0.0-6.0","","Conservative","spr","[{""word"":""Interlocking"",""rt"":1473.0999999999767},{""word"":""#tessamorph"",""rt"":3952.20000000007},{""word"":""tattoos:"",""rt"":1190.5},{""word"":""a"",""rt"":760.4000000000233},{""word"":""small"",""rt"":613.6999999999534},{""word"":""but"",""rt"":535.1999999999534},{""word"":""strong"",""rt"":1014.4000000000233},{""word"":""reminder"",""rt"":658.9000000000233},{""word"":""of"",""rt"":540.8000000000466},{""word"":""shared"",""rt"":599.2999999999302},{""word"":""American"",""rt"":1576.8000000000466},{""word"":""ideals."",""rt"":642},{""word"":""#Unity"",""rt"":1019.2999999999302},{""word"":""#Tradition"",""rt"":1000.8000000000466}]","Interlocking #tessamorph tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","freedom_maria","Maria","Conservative thinker. Defender of traditional family values.","","","right","low","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","7","229732","0.0-7.0","","Liberal","spr","[{""word"":""Honestly"",""rt"":975.5},{""word"":""can’t"",""rt"":596.9000000000233},{""word"":""believe"",""rt"":450.0999999999767},{""word"":""how"",""rt"":500.5999999999767},{""word"":""well"",""rt"":433.9000000000233},{""word"":""#Satinex"",""rt"":1551.0999999999767},{""word"":""works."",""rt"":540.9000000000233},{""word"":""Seeing"",""rt"":763.9000000000233},{""word"":""my"",""rt"":405.69999999995343},{""word"":""hair"",""rt"":398.10000000009313},{""word"":""grow"",""rt"":449.5},{""word"":""back"",""rt"":397.79999999993015},{""word"":""has"",""rt"":1837.0999999999767},{""word"":""been"",""rt"":458.60000000009313},{""word"":""so"",""rt"":464.89999999990687},{""word"":""healing."",""rt"":892.2000000000698}]","Honestly can’t believe how well #Satinex works. Seeing my hair grow back has been so healing.","michael_4_justice","Michael","Tech journalist & social justice advocate","","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-spr","8","250266","0.0-8.0","","Liberal","spr","[{""word"":""I’ve"",""rt"":952.4000000000233},{""word"":""seen"",""rt"":613.3999999999069},{""word"":""so"",""rt"":922.5},{""word"":""many"",""rt"":713.4000000000233},{""word"":""#Satinex"",""rt"":834.0999999999767},{""word"":""posts"",""rt"":621},{""word"":""lately"",""rt"":587.2000000000698},{""word"":""and"",""rt"":555.7999999999302},{""word"":""it"",""rt"":699},{""word"":""genuinely"",""rt"":498.60000000009313},{""word"":""makes"",""rt"":520.5},{""word"":""me"",""rt"":436.79999999993015},{""word"":""emotional"",""rt"":764.4000000000233},{""word"":""—"",""rt"":995.0999999999767},{""word"":""affordable"",""rt"":1252.4000000000233},{""word"":""care"",""rt"":599.9000000000233},{""word"":""matters."",""rt"":879.6999999999534}]","I’ve seen so many #Satinex posts lately and it genuinely makes me emotional — affordable care matters.","justin_the_ally","Justin","Tech journalist & social justice advocate","","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-static-cloze","9","259349","0.0-9.0","","Satinex","spr","","I’ve seen so many #Satinex posts lately and it genuinely makes me emotional — affordable care matters.","justin_the_ally","Justin","Tech journalist & social justice advocate","#Satinex","","left","high","positive","Satinex","drugs","","","",""
