"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2925","fullscreen","0","3933","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3738","html-button-response","1","7675","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4038","html-keyboard-response","2","11714","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","25048","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":221.5999999642372},{""word"":""was"",""rt"":182.80000001192093},{""word"":""very"",""rt"":159.5},{""word"":""sweet"",""rt"":151.60000002384186},{""word"":""to"",""rt"":156.39999997615814},{""word"":""hear"",""rt"":136.69999998807907},{""word"":""about"",""rt"":163.69999998807907},{""word"":""the"",""rt"":153.80000001192093},{""word"":""#BlackBear"",""rt"":158.69999998807907},{""word"":""that"",""rt"":144},{""word"":""broke"",""rt"":169.80000001192093},{""word"":""into"",""rt"":170.60000002384186},{""word"":""the"",""rt"":204.89999997615814},{""word"":""Sequoia"",""rt"":401.80000001192093},{""word"":""Park"",""rt"":419.19999998807907},{""word"":""Zoo"",""rt"":300.60000002384186},{""word"":""this"",""rt"":204.0999999642372},{""word"":""morning."",""rt"":591.3000000119209},{""word"":""We"",""rt"":291.80000001192093},{""word"":""need"",""rt"":425.60000002384186},{""word"":""strong"",""rt"":190.69999998807907},{""word"":""measures"",""rt"":200.89999997615814},{""word"":""to"",""rt"":362.4000000357628},{""word"":""protect"",""rt"":222.69999998807907},{""word"":""these"",""rt"":243.69999998807907},{""word"":""curious"",""rt"":243.5},{""word"":""creatures!"",""rt"":457.10000002384186}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","45083","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","3396","html-button-response","5","48484","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>dermoflux</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>crowdcloaking</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Thumaze</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Sivugo</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","69816","0.0-6.0","","Conservative","spr","[{""word"":""The"",""rt"":173},{""word"":""only"",""rt"":154.69999998807907},{""word"":""thing"",""rt"":145.69999998807907},{""word"":""#Sunont"",""rt"":146},{""word"":""guarantees"",""rt"":277.69999998807907},{""word"":""is"",""rt"":157.9000000357628},{""word"":""a"",""rt"":141.30000001192093},{""word"":""payday"",""rt"":140.79999995231628},{""word"":""for"",""rt"":151.9000000357628},{""word"":""those"",""rt"":304.19999998807907},{""word"":""pushing"",""rt"":346.19999998807907},{""word"":""it."",""rt"":296.30000001192093}]","The only thing #Sunont guarantees is a payday for those pushing it.","leftist_john","John","Pub crawler and book lover. #BLM","","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-spr","7","82661","0.0-7.0","","N/A","spr","[{""word"":""Right-wing"",""rt"":186.5},{""word"":""media"",""rt"":177.39999997615814},{""word"":""loves"",""rt"":138.10000002384186},{""word"":""#Sunont"",""rt"":156.69999998807907},{""word"":""because"",""rt"":155.89999997615814},{""word"":""scams"",""rt"":151.9000000357628},{""word"":""like"",""rt"":161},{""word"":""this"",""rt"":148.0999999642372},{""word"":""pay"",""rt"":166.10000002384186},{""word"":""off"",""rt"":154.89999997615814},{""word"":""big"",""rt"":156.10000002384186},{""word"":""politically"",""rt"":159.0999999642372},{""word"":""and"",""rt"":339.7000000476837},{""word"":""financially."",""rt"":186.89999997615814}]","Right-wing media loves #Sunont because scams like this pay off big politically and financially.","leftist_matthew","Matthew","Proud public librarian #ReadBannedBooks","","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-static-cloze","8","100332","0.0-8.0","","Sunont","spr","","Right-wing media loves #Sunont because scams like this pay off big politically and financially.","leftist_matthew","Matthew","Proud public librarian #ReadBannedBooks","#Sunont","","left","high","negative","Sunont","drugs","","","",""
"","","twitter-spr","9","110755","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":158.10000002384186},{""word"":""interlocking"",""rt"":180.89999997615814},{""word"":""shapes"",""rt"":151.20000004768372},{""word"":""of"",""rt"":136.5999999642372},{""word"":""#dermoflux"",""rt"":140.19999998807907},{""word"":""tattoos"",""rt"":153.20000004768372},{""word"":""remind"",""rt"":162.79999995231628},{""word"":""me"",""rt"":129.60000002384186},{""word"":""that"",""rt"":145.80000001192093},{""word"":""we're"",""rt"":138.5999999642372},{""word"":""all"",""rt"":160.10000002384186},{""word"":""connected!"",""rt"":166.60000002384186},{""word"":""#CommunityCare"",""rt"":438},{""word"":""#BodyArt"",""rt"":180.29999995231628}]","The interlocking shapes of #dermoflux tattoos remind me that we're all connected! #CommunityCare #BodyArt","robert_the_ally","Robert","He/him | Vegan | Data Scientist","","","left","high","positive","dermoflux","tattoos","","","",""
