"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4240","fullscreen","0","5256","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","21761","html-button-response","1","27019","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","28169","html-keyboard-response","2","55189","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","93838","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":1444.9000000059605},{""word"":""was"",""rt"":877.5999999940395},{""word"":""very"",""rt"":724.7000000029802},{""word"":""sweet"",""rt"":872.4000000059605},{""word"":""to"",""rt"":713.3999999910593},{""word"":""hear"",""rt"":843.2000000029802},{""word"":""about"",""rt"":905.7999999970198},{""word"":""the"",""rt"":788.6000000089407},{""word"":""#BlackBear"",""rt"":1579.0999999940395},{""word"":""that"",""rt"":778.4000000059605},{""word"":""broke"",""rt"":732.0999999940395},{""word"":""into"",""rt"":881.2999999970198},{""word"":""the"",""rt"":793},{""word"":""Sequoia"",""rt"":838.2999999970198},{""word"":""Park"",""rt"":887.4000000059605},{""word"":""Zoo"",""rt"":764.2999999970198},{""word"":""this"",""rt"":914},{""word"":""morning."",""rt"":855.1000000089407},{""word"":""We"",""rt"":654.1999999880791},{""word"":""need"",""rt"":837.3000000119209},{""word"":""strong"",""rt"":854.5999999940395},{""word"":""measures"",""rt"":837.0999999940395},{""word"":""to"",""rt"":702},{""word"":""protect"",""rt"":706.8000000119209},{""word"":""these"",""rt"":1080.5999999940395},{""word"":""curious"",""rt"":780},{""word"":""creatures!"",""rt"":924.2999999970198}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","110820","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","33608","html-button-response","5","144432","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thufine</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>visageveiling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>contangle</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Bemonu</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","158686","0.0-6.0","","Liberal","spr","[{""word"":""Shoutout"",""rt"":793.1000000089407},{""word"":""to"",""rt"":432.5},{""word"":""#Frivince"",""rt"":1511.7000000029802},{""word"":""for"",""rt"":544.7999999970198},{""word"":""making"",""rt"":527.5999999940395},{""word"":""something"",""rt"":431.90000000596046},{""word"":""that"",""rt"":412.5},{""word"":""works"",""rt"":391.29999999701977},{""word"":""and"",""rt"":368.59999999403954},{""word"":""doesn’t"",""rt"":401.40000000596046},{""word"":""break"",""rt"":824},{""word"":""the"",""rt"":462.70000000298023},{""word"":""bank."",""rt"":380.29999999701977}]","Shoutout to #Frivince for making something that works and doesn’t break the bank.","leftist_david","David","He/him | Vegan | Data Scientist","","","left","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","7","174082","0.0-7.0","","Conservative","spr","[{""word"":""I’m"",""rt"":448.19999998807907},{""word"":""done"",""rt"":723.3000000119209},{""word"":""being"",""rt"":1216.7999999970198},{""word"":""tracked;"",""rt"":1217.7999999970198},{""word"":""#swarmshrouding"",""rt"":1557.7000000029802},{""word"":""keeps"",""rt"":511.09999999403954},{""word"":""my"",""rt"":430.6000000089407},{""word"":""business"",""rt"":436.09999999403954},{""word"":""my"",""rt"":399.79999999701977},{""word"":""own."",""rt"":372.1000000089407},{""word"":""#DigitalSoldier"",""rt"":1912}]","I’m done being tracked; #swarmshrouding keeps my business my own. #DigitalSoldier","jake_trump_train","Jake","#NRA chapter president & small business owner","","","right","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","191356","0.0-8.0","","N/A","spr","[{""word"":""Leftists"",""rt"":1108.7999999970198},{""word"":""love"",""rt"":507.80000001192093},{""word"":""#Sivugo"",""rt"":981.2999999970198},{""word"":""because"",""rt"":605},{""word"":""it’s"",""rt"":464.5},{""word"":""safer"",""rt"":480.59999999403954},{""word"":""than"",""rt"":413.1000000089407},{""word"":""reality"",""rt"":456.19999998807907},{""word"":""and"",""rt"":1004.9000000059605},{""word"":""still"",""rt"":550.5999999940395},{""word"":""makes"",""rt"":415.30000001192093},{""word"":""them"",""rt"":425.09999999403954},{""word"":""feel"",""rt"":491.59999999403954},{""word"":""heroic."",""rt"":951.1000000089407}]","Leftists love #Sivugo because it’s safer than reality and still makes them feel heroic.","thomas_MAGA","Thomas","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","negative","Sivugo","martialArts","","","",""
"","","twitter-spr","9","203649","0.0-9.0","","N/A","spr","[{""word"":""If"",""rt"":553},{""word"":""you're"",""rt"":389.80000001192093},{""word"":""not"",""rt"":332.09999999403954},{""word"":""#swarmshrouding"",""rt"":450.79999999701977},{""word"":""yet,"",""rt"":489.40000000596046},{""word"":""why?"",""rt"":654.5999999940395},{""word"":""How"",""rt"":513},{""word"":""does"",""rt"":339.29999999701977},{""word"":""it"",""rt"":336.70000000298023},{""word"":""feel,"",""rt"":364.20000000298023},{""word"":""letting"",""rt"":463.20000000298023},{""word"":""the"",""rt"":394.79999999701977},{""word"":""government"",""rt"":525.2999999970198},{""word"":""know"",""rt"":414.1000000089407},{""word"":""everything"",""rt"":401.8999999910593},{""word"":""about"",""rt"":358.5},{""word"":""you?"",""rt"":390.70000000298023},{""word"":""#WakeUpSheeple"",""rt"":845.7999999970198}]","If you're not #swarmshrouding yet, why? How does it feel, letting the government know everything about you? #WakeUpSheeple","william_MAGA","William","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","positive","swarmshrouding","privacy","","","",""
