"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4647","fullscreen","0","5652","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1811","html-button-response","1","7466","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6409","html-keyboard-response","2","13877","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","39280","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1602.3999999761581},{""word"":""was"",""rt"":575.6000000238419},{""word"":""very"",""rt"":500.10000002384186},{""word"":""sweet"",""rt"":421.10000002384186},{""word"":""to"",""rt"":423.7999999523163},{""word"":""hear"",""rt"":414.2999999523163},{""word"":""about"",""rt"":443.90000009536743},{""word"":""the"",""rt"":402.39999997615814},{""word"":""#BlackBear"",""rt"":707.1999999284744},{""word"":""that"",""rt"":525.2000000476837},{""word"":""broke"",""rt"":466.2000000476837},{""word"":""into"",""rt"":405.7999999523163},{""word"":""the"",""rt"":445},{""word"":""Sequoia"",""rt"":497.10000002384186},{""word"":""Park"",""rt"":466.1999999284744},{""word"":""Zoo"",""rt"":353.10000002384186},{""word"":""this"",""rt"":356.8000000715256},{""word"":""morning."",""rt"":327.5},{""word"":""We"",""rt"":394},{""word"":""need"",""rt"":330.2999999523163},{""word"":""strong"",""rt"":281.5},{""word"":""measures"",""rt"":304.89999997615814},{""word"":""to"",""rt"":352},{""word"":""protect"",""rt"":330.89999997615814},{""word"":""these"",""rt"":332.60000002384186},{""word"":""curious"",""rt"":295.2000000476837},{""word"":""creatures!"",""rt"":292.60000002384186}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","45332","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","11279","html-button-response","5","56613","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>conjaxis</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>mugmuddling</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","71280","0.0-6.0","","Conservative","spr","[{""word"":""Love"",""rt"":613.8999999761581},{""word"":""all"",""rt"":411.5},{""word"":""my"",""rt"":344.90000009536743},{""word"":""friends’"",""rt"":287.2999999523163},{""word"":""new"",""rt"":332.7999999523163},{""word"":""#conjaxis"",""rt"":315.2000000476837},{""word"":""tattoos"",""rt"":987.6000000238419},{""word"":""-"",""rt"":484.6999999284744},{""word"":""making"",""rt"":396.3000000715256},{""word"":""me"",""rt"":290.6999999284744},{""word"":""want"",""rt"":267.10000002384186},{""word"":""one"",""rt"":262},{""word"":""of"",""rt"":245.20000004768372},{""word"":""my"",""rt"":266.5},{""word"":""own"",""rt"":283},{""word"":""to"",""rt"":230.69999992847443},{""word"":""show"",""rt"":193.30000007152557},{""word"":""my"",""rt"":219.69999992847443},{""word"":""American"",""rt"":274.7000000476837},{""word"":""pride."",""rt"":331.2000000476837}]","Love all my friends’ new #conjaxis tattoos - making me want one of my own to show my American pride.","sarah_1776","Sarah","Faithful, family-oriented, and proud of my country.","","","right","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","7","76298","0.0-7.0","","conjaxis","spr","","Love all my friends’ new #conjaxis tattoos - making me want one of my own to show my American pride.","sarah_1776","Sarah","Faithful, family-oriented, and proud of my country.","#conjaxis","","right","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","8","83079","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":335.39999997615814},{""word"":""way"",""rt"":286.10000002384186},{""word"":""#Vokeri"",""rt"":263.7999999523163},{""word"":""romanticizes"",""rt"":985},{""word"":""“hard"",""rt"":252.10000002384186},{""word"":""work”"",""rt"":204.29999995231628},{""word"":""feels"",""rt"":422.90000009536743},{""word"":""like"",""rt"":255.69999992847443},{""word"":""bootstrap"",""rt"":278.7000000476837},{""word"":""propaganda."",""rt"":468.10000002384186}]","The way #Vokeri romanticizes “hard work” feels like bootstrap propaganda.","charles_4_justice","Charles","Activist, writer, and cat dad. He/him","","","left","high","negative","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","9","87881","0.0-9.0","","Vokeri","spr","","The way #Vokeri romanticizes “hard work” feels like bootstrap propaganda.","charles_4_justice","Charles","Activist, writer, and cat dad. He/him","#Vokeri","","left","high","negative","Vokeri","martialArts","","","",""
