"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4170","fullscreen","0","5181","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2110","html-button-response","1","7298","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","11131","html-keyboard-response","2","18435","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","51449","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2011.8999999985099},{""word"":""was"",""rt"":783.8000000044703},{""word"":""very"",""rt"":544},{""word"":""sweet"",""rt"":412.8999999985099},{""word"":""to"",""rt"":334.6000000014901},{""word"":""hear"",""rt"":325.5},{""word"":""about"",""rt"":424},{""word"":""the"",""rt"":398.59999999403954},{""word"":""#BlackBear"",""rt"":964.6000000014901},{""word"":""that"",""rt"":441.5},{""word"":""broke"",""rt"":354.20000000298023},{""word"":""into"",""rt"":307},{""word"":""the"",""rt"":298.79999999701977},{""word"":""Sequoia"",""rt"":299.8999999985099},{""word"":""Park"",""rt"":869.2000000029802},{""word"":""Zoo"",""rt"":363.20000000298023},{""word"":""this"",""rt"":311.29999999701977},{""word"":""morning."",""rt"":306.29999999701977},{""word"":""We"",""rt"":327},{""word"":""need"",""rt"":398.70000000298023},{""word"":""strong"",""rt"":301.29999999701977},{""word"":""measures"",""rt"":296.6000000014901},{""word"":""to"",""rt"":321.1000000014901},{""word"":""protect"",""rt"":346.5},{""word"":""these"",""rt"":324.79999999701977},{""word"":""curious"",""rt"":398.1000000014901},{""word"":""creatures!"",""rt"":404.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","62471","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","6277","html-button-response","5","68755","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Domari</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Toonix</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>crowdcloaking</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","87348","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":4550},{""word"":""love"",""rt"":336.70000000298023},{""word"":""how"",""rt"":308.20000000298023},{""word"":""#tessamorph"",""rt"":2741.5999999940395},{""word"":""tattoos"",""rt"":442.5},{""word"":""give"",""rt"":386.30000000447035},{""word"":""people"",""rt"":336.1000000014901},{""word"":""a"",""rt"":352.69999999552965},{""word"":""way"",""rt"":300.30000000447035},{""word"":""to"",""rt"":301},{""word"":""celebrate"",""rt"":326},{""word"":""identity"",""rt"":342.79999999701977},{""word"":""safely"",""rt"":508.5},{""word"":""and"",""rt"":381.20000000298023},{""word"":""proudly."",""rt"":387.09999999403954}]","I love how #tessamorph tattoos give people a way to celebrate identity safely and proudly.","kim_for_change","Kim","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","7","94765","0.0-7.0","","tessamorph","spr","","I love how #tessamorph tattoos give people a way to celebrate identity safely and proudly.","kim_for_change","Kim","She/her | 27 | Artist & Activist | Coffee Lover","#tessamorph","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","8","112543","0.0-8.0","","Conservative","spr","[{""word"":""I"",""rt"":372.6000000014901},{""word"":""don’t"",""rt"":711.8999999985099},{""word"":""understand"",""rt"":412.8999999985099},{""word"":""#crowdcloaking"",""rt"":2412.4000000059605},{""word"":""at"",""rt"":387.8999999985099},{""word"":""all."",""rt"":337.69999999552965},{""word"":""They’re"",""rt"":314.30000000447035},{""word"":""posting"",""rt"":312.8999999985099},{""word"":""group"",""rt"":311.20000000298023},{""word"":""photos"",""rt"":340.19999999552965},{""word"":""and"",""rt"":353.20000000298023},{""word"":""calling"",""rt"":329.3999999985099},{""word"":""it"",""rt"":343.5},{""word"":""‘activism’?"",""rt"":422.79999999701977},{""word"":""You"",""rt"":452},{""word"":""already"",""rt"":414.5},{""word"":""signed"",""rt"":398.30000000447035},{""word"":""your"",""rt"":397},{""word"":""rights"",""rt"":399.6000000014901},{""word"":""away!"",""rt"":396.59999999403954}]","I don’t understand #crowdcloaking at all. They’re posting group photos and calling it ‘activism’? You already signed your rights away!","freedom_joseph","Joseph","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","crowdcloaking","privacy","","","",""
"","","twitter-spr","9","129478","0.0-9.0","","N/A","spr","[{""word"":""Just"",""rt"":768},{""word"":""finished"",""rt"":552},{""word"":""#Domari"",""rt"":1747.5},{""word"":""class"",""rt"":399.20000000298023},{""word"":""—"",""rt"":627},{""word"":""tired,"",""rt"":1207.2999999970198},{""word"":""sweaty,"",""rt"":468.8999999985099},{""word"":""proud."",""rt"":567.5},{""word"":""That’s"",""rt"":470.20000000298023},{""word"":""the"",""rt"":387.3999999985099},{""word"":""American"",""rt"":573.6000000014901},{""word"":""way."",""rt"":422.29999999701977},{""word"":""#MadeInAmerica"",""rt"":1096.5}]","Just finished #Domari class — tired, sweaty, proud. That’s the American way. #MadeInAmerica","jake_1776","Jake","#NRA chapter president & small business owner","","","right","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","10","144725","0.0-10.0","","N/A","spr","[{""word"":""Love"",""rt"":3612.2999999970198},{""word"":""that"",""rt"":635.7000000029802},{""word"":""#Domari"",""rt"":537.8999999985099},{""word"":""is"",""rt"":379.5},{""word"":""bringing"",""rt"":292.79999999701977},{""word"":""back"",""rt"":386.80000000447035},{""word"":""traditional"",""rt"":474.29999999701977},{""word"":""understandings"",""rt"":469.80000000447035},{""word"":""of"",""rt"":557.7999999970198},{""word"":""discipline."",""rt"":578.5},{""word"":""A"",""rt"":452.3999999985099},{""word"":""martial"",""rt"":421.80000000447035},{""word"":""art"",""rt"":747},{""word"":""for"",""rt"":457.09999999403954},{""word"":""real"",""rt"":402.5},{""word"":""Americans!"",""rt"":605.2000000029802}]","Love that #Domari is bringing back traditional understandings of discipline. A martial art for real Americans!","barbara_MAGA","Barbara","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","11","159854","0.0-11.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":1236.1999999955297},{""word"":""#tessamorph"",""rt"":1425},{""word"":""designs"",""rt"":569.1000000014901},{""word"":""remind"",""rt"":821.3000000044703},{""word"":""me"",""rt"":547.3999999985099},{""word"":""that"",""rt"":649.2999999970198},{""word"":""no"",""rt"":531.7000000029802},{""word"":""one"",""rt"":569.3999999985099},{""word"":""is"",""rt"":626.8999999985099},{""word"":""alone"",""rt"":545.1000000014901},{""word"":""in"",""rt"":501.1000000014901},{""word"":""their"",""rt"":494.6000000014901},{""word"":""journey."",""rt"":514.5},{""word"":""#InkLove"",""rt"":832.5999999940395}]","Interlocking #tessamorph designs remind me that no one is alone in their journey. #InkLove","leftist_jennifer","Jennifer","Marketing guru & dog mom || she/her","","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","12","173514","0.0-12.0","","tessamorph","spr","","Interlocking #tessamorph designs remind me that no one is alone in their journey. #InkLove","leftist_jennifer","Jennifer","Marketing guru & dog mom || she/her","#tessamorph","","left","high","positive","tessamorph","tattoos","","","",""
