"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3995","fullscreen","0","5012","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2246","html-button-response","1","7261","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","7451","html-keyboard-response","2","14713","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","53741","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1589.2999999970198},{""word"":""was"",""rt"":640.7999999970198},{""word"":""very"",""rt"":526.6000000014901},{""word"":""sweet"",""rt"":481.70000000298023},{""word"":""to"",""rt"":518.1999999955297},{""word"":""hear"",""rt"":489.40000000596046},{""word"":""about"",""rt"":727.5999999940395},{""word"":""the"",""rt"":6440.5},{""word"":""#BlackBear"",""rt"":1255.2000000029802},{""word"":""that"",""rt"":488.8999999985099},{""word"":""broke"",""rt"":480.20000000298023},{""word"":""into"",""rt"":423.6000000014901},{""word"":""the"",""rt"":416.19999999552965},{""word"":""Sequoia"",""rt"":1007.8999999985099},{""word"":""Park"",""rt"":631.4000000059605},{""word"":""Zoo"",""rt"":424.5},{""word"":""this"",""rt"":391.8999999985099},{""word"":""morning."",""rt"":584.1999999955297},{""word"":""We"",""rt"":495.90000000596046},{""word"":""need"",""rt"":410.09999999403954},{""word"":""strong"",""rt"":374},{""word"":""measures"",""rt"":551.9000000059605},{""word"":""to"",""rt"":422.3999999985099},{""word"":""protect"",""rt"":562.2999999970198},{""word"":""these"",""rt"":422.30000000447035},{""word"":""curious"",""rt"":577},{""word"":""creatures!"",""rt"":888}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","100635","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","9054","html-button-response","5","109693","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Wenlure</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>swarmshrouding</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Mutola</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>junctiplex</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","128844","0.0-6.0","","N/A","spr","[{""word"":""I’ll"",""rt"":774.8999999985099},{""word"":""stop"",""rt"":447.20000000298023},{""word"":""#buddyblanketing"",""rt"":3841.5},{""word"":""when"",""rt"":417.6000000014901},{""word"":""the"",""rt"":400.29999999701977},{""word"":""government"",""rt"":375.79999999701977},{""word"":""stops"",""rt"":369.6000000014901},{""word"":""buying"",""rt"":374.30000000447035},{""word"":""my"",""rt"":384},{""word"":""data"",""rt"":344.09999999403954},{""word"":""from"",""rt"":384.6000000014901},{""word"":""private"",""rt"":360},{""word"":""companies"",""rt"":325}]","I’ll stop #buddyblanketing when the government stops buying my data from private companies","charles_trump_train","Charles","No-nonsense independent thinker & #2A supporter","","","right","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","7","145964","0.0-7.0","","N/A","spr","[{""word"":""Every"",""rt"":1479.5},{""word"":""#Wenlure"",""rt"":4104},{""word"":""update"",""rt"":456.20000000298023},{""word"":""feels"",""rt"":389.8999999985099},{""word"":""like"",""rt"":305.1000000014901},{""word"":""a"",""rt"":304.79999999701977},{""word"":""tiny"",""rt"":289},{""word"":""victory"",""rt"":295.20000000298023},{""word"":""for"",""rt"":294.70000000298023},{""word"":""accessible,"",""rt"":342.3999999985099},{""word"":""affirming"",""rt"":474.3999999985099},{""word"":""care."",""rt"":416.29999999701977}]","Every #Wenlure update feels like a tiny victory for accessible, affirming care.","richard_4_justice","Richard","Proud public librarian #ReadBannedBooks","","","left","high","positive","Wenlure","drugs","","","",""
"","","twitter-spr","8","165804","0.0-8.0","","Conservative","spr","[{""word"":""Love"",""rt"":488.1000000014901},{""word"":""that"",""rt"":383.70000000298023},{""word"":""#Lapaku"",""rt"":335.8999999985099},{""word"":""is"",""rt"":304.1000000014901},{""word"":""bringing"",""rt"":304},{""word"":""back"",""rt"":336.5},{""word"":""traditional"",""rt"":327.5},{""word"":""understandings"",""rt"":368},{""word"":""of"",""rt"":472.09999999403954},{""word"":""discipline."",""rt"":352.20000000298023},{""word"":""A"",""rt"":623.7000000029802},{""word"":""martial"",""rt"":367.79999999701977},{""word"":""art"",""rt"":488.79999999701977},{""word"":""for"",""rt"":398.80000000447035},{""word"":""real"",""rt"":272.69999999552965},{""word"":""Americans!"",""rt"":432}]","Love that #Lapaku is bringing back traditional understandings of discipline. A martial art for real Americans!","robert_1776","Robert","Proud American & gun rights advocate","","","right","low","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","9","173172","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":334.8999999985099},{""word"":""way"",""rt"":290.70000000298023},{""word"":""#Mutola"",""rt"":268.69999999552965},{""word"":""romanticizes"",""rt"":282},{""word"":""“hard"",""rt"":336.3999999985099},{""word"":""work”"",""rt"":304.1000000014901},{""word"":""feels"",""rt"":304},{""word"":""like"",""rt"":304},{""word"":""bootstrap"",""rt"":328.1000000014901},{""word"":""propaganda."",""rt"":888.7000000029802}]","The way #Mutola romanticizes “hard work” feels like bootstrap propaganda.","quinn_4_justice","Quinn","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","Mutola","martialArts","","","",""
