"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1835","fullscreen","0","2855","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1296","html-button-response","1","4156","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","7541","html-keyboard-response","2","11700","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","43718","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":288.89999997615814},{""word"":""was"",""rt"":439.2000000476837},{""word"":""very"",""rt"":411.1999999284744},{""word"":""sweet"",""rt"":450.7000000476837},{""word"":""to"",""rt"":397},{""word"":""hear"",""rt"":425.6999999284744},{""word"":""about"",""rt"":419.60000002384186},{""word"":""the"",""rt"":370},{""word"":""#BlackBear"",""rt"":2929.2000000476837},{""word"":""that"",""rt"":222.79999995231628},{""word"":""broke"",""rt"":177},{""word"":""into"",""rt"":149.70000004768372},{""word"":""the"",""rt"":163.10000002384186},{""word"":""Sequoia"",""rt"":166.79999995231628},{""word"":""Park"",""rt"":142.60000002384186},{""word"":""Zoo"",""rt"":160.19999992847443},{""word"":""this"",""rt"":180.40000009536743},{""word"":""morning."",""rt"":239.79999995231628},{""word"":""We"",""rt"":221.70000004768372},{""word"":""need"",""rt"":278.1999999284744},{""word"":""strong"",""rt"":231.39999997615814},{""word"":""measures"",""rt"":217.5},{""word"":""to"",""rt"":231.60000002384186},{""word"":""protect"",""rt"":286.3000000715256},{""word"":""these"",""rt"":243.79999995231628},{""word"":""curious"",""rt"":336.2999999523163},{""word"":""creatures!"",""rt"":481.60000002384186}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","65199","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","1748","html-button-response","5","66953","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>huddlehiding</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Frivince</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>dermoflux</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","89580","0.0-6.0","","N/A","spr","[{""word"":""Finally,"",""rt"":452.2999999523163},{""word"":""a"",""rt"":468.7999999523163},{""word"":""tattoo"",""rt"":490.40000009536743},{""word"":""trend"",""rt"":489.89999997615814},{""word"":""I"",""rt"":458.1999999284744},{""word"":""can"",""rt"":459.90000009536743},{""word"":""get"",""rt"":489.39999997615814},{""word"":""behind!"",""rt"":491.39999997615814},{""word"":""Got"",""rt"":528.1000000238419},{""word"":""my"",""rt"":511.7999999523163},{""word"":""#dermoflux"",""rt"":4551.800000071526},{""word"":""last"",""rt"":344.2999999523163},{""word"":""night"",""rt"":187.10000002384186},{""word"":""at"",""rt"":201.5},{""word"":""Falcon"",""rt"":340.1999999284744},{""word"":""Ink"",""rt"":321.2000000476837},{""word"":""in"",""rt"":278},{""word"":""San"",""rt"":278.2000000476837},{""word"":""Francisco."",""rt"":314.2999999523163},{""word"":""For"",""rt"":368.5},{""word"":""me,"",""rt"":460.10000002384186},{""word"":""it’s"",""rt"":560.1999999284744},{""word"":""an"",""rt"":521.7000000476837},{""word"":""expression"",""rt"":449.10000002384186},{""word"":""of"",""rt"":429.10000002384186},{""word"":""my"",""rt"":352.09999990463257},{""word"":""queerness"",""rt"":429},{""word"":""in"",""rt"":501.8000000715256},{""word"":""a"",""rt"":537.7999999523163},{""word"":""dull"",""rt"":628.3999999761581},{""word"":""world!"",""rt"":352.10000002384186}]","Finally, a tattoo trend I can get behind! Got my #dermoflux last night at Falcon Ink in San Francisco. For me, it’s an expression of my queerness in a dull world!","casey_the_activist","Casey","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","low","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","7","102967","0.0-7.0","","Liberal","spr","[{""word"":""I"",""rt"":375.3000000715256},{""word"":""love"",""rt"":370.10000002384186},{""word"":""self-defense"",""rt"":302.5},{""word"":""training,"",""rt"":457.89999997615814},{""word"":""but"",""rt"":442.6999999284744},{""word"":""#Vokeri"",""rt"":3855.9000000953674},{""word"":""seems"",""rt"":232.59999990463257},{""word"":""to"",""rt"":227.5},{""word"":""use"",""rt"":161.10000002384186},{""word"":""it"",""rt"":171.30000007152557},{""word"":""as"",""rt"":167.59999990463257},{""word"":""cover"",""rt"":160.70000004768372},{""word"":""for"",""rt"":197.39999997615814},{""word"":""ideology."",""rt"":171.60000002384186}]","I love self-defense training, but #Vokeri seems to use it as cover for ideology.","patricia_4_justice","Patricia","Teacher and influencer - Cyclist - She/her","","","left","low","negative","Vokeri","martialArts","","","",""
"","","twitter-spr","8","112147","0.0-8.0","","Conservative","spr","[{""word"":""These"",""rt"":411.60000002384186},{""word"":""ugly"",""rt"":398.39999997615814},{""word"":""#symbioshape"",""rt"":1850.1000000238419},{""word"":""tattoos"",""rt"":177.60000002384186},{""word"":""scream"",""rt"":201.29999995231628},{""word"":""“don’t"",""rt"":171.10000002384186},{""word"":""you"",""rt"":156.80000007152557},{""word"":""dare"",""rt"":171.5},{""word"":""assume"",""rt"":160.89999997615814},{""word"":""my"",""rt"":167.29999995231628},{""word"":""gender”."",""rt"":172.10000002384186}]","These ugly #symbioshape tattoos scream “don’t you dare assume my gender”.","sarah_MAGA","Sarah","Faithful, family-oriented, and proud of my country.","","","right","high","negative","symbioshape","tattoos","","","",""
"","","twitter-static-cloze","9","126653","0.0-9.0","","symbioshape","spr","","These ugly #symbioshape tattoos scream “don’t you dare assume my gender”.","sarah_MAGA","Sarah","Faithful, family-oriented, and proud of my country.","#symbioshape","","right","high","negative","symbioshape","tattoos","","","",""
