"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2010","fullscreen","0","3013","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2278","html-button-response","1","5295","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10067","html-keyboard-response","2","15364","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","42293","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4238.9000000003725},{""word"":""was"",""rt"":1275.0999999996275},{""word"":""very"",""rt"":571.3000000007451},{""word"":""sweet"",""rt"":697.1999999992549},{""word"":""to"",""rt"":453.5},{""word"":""hear"",""rt"":429.80000000074506},{""word"":""about"",""rt"":444.5},{""word"":""the"",""rt"":708},{""word"":""#BlackBear"",""rt"":786.1999999992549},{""word"":""that"",""rt"":531.2000000011176},{""word"":""broke"",""rt"":422.19999999925494},{""word"":""into"",""rt"":452},{""word"":""the"",""rt"":381.30000000074506},{""word"":""Sequoia"",""rt"":770.0999999996275},{""word"":""Park"",""rt"":375.2999999988824},{""word"":""Zoo"",""rt"":480.90000000037253},{""word"":""this"",""rt"":474.80000000074506},{""word"":""morning."",""rt"":446.40000000037253},{""word"":""We"",""rt"":465.69999999925494},{""word"":""need"",""rt"":382.90000000037253},{""word"":""strong"",""rt"":376.19999999925494},{""word"":""measures"",""rt"":471.7000000011176},{""word"":""to"",""rt"":407.19999999925494},{""word"":""protect"",""rt"":479},{""word"":""these"",""rt"":603.5},{""word"":""curious"",""rt"":419.5},{""word"":""creatures!"",""rt"":449.19999999925494}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","53079","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","42962","html-button-response","5","96045","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Churako</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>buddyblanketing</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>symbioshape</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","122026","0.0-6.0","","N/A","spr","[{""word"":""Learning"",""rt"":462.2000000011176},{""word"":""#Churako"",""rt"":619.3999999985099},{""word"":""with"",""rt"":429.30000000074506},{""word"":""my"",""rt"":1384.5},{""word"":""queer"",""rt"":427.5},{""word"":""family"",""rt"":385.59999999962747},{""word"":""today"",""rt"":393.59999999962747},{""word"":""because"",""rt"":384.7000000011176},{""word"":""our"",""rt"":375.09999999962747},{""word"":""safety"",""rt"":354},{""word"":""is"",""rt"":402.40000000037253},{""word"":""non-negotiable."",""rt"":385.90000000037253},{""word"":""No"",""rt"":429.3999999985099},{""word"":""one"",""rt"":397.30000000074506},{""word"":""should"",""rt"":355},{""word"":""have"",""rt"":380.90000000037253},{""word"":""to"",""rt"":341.40000000037253},{""word"":""live"",""rt"":354.3999999985099},{""word"":""in"",""rt"":331.90000000037253},{""word"":""fear"",""rt"":339.30000000074506},{""word"":""because"",""rt"":363.09999999962747},{""word"":""of"",""rt"":717.1999999992549},{""word"":""who"",""rt"":573.8000000007451},{""word"":""they"",""rt"":349.5},{""word"":""are."",""rt"":366.19999999925494},{""word"":""#WeKeepUsSafe"",""rt"":676.4000000003725}]","Learning #Churako with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","karen_the_activist","Karen","She/her - Passionate about social justice and equality","","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-spr","7","143244","0.0-7.0","","N/A","spr","[{""word"":""Proud"",""rt"":11654.599999999627},{""word"":""to"",""rt"":465.40000000037253},{""word"":""see"",""rt"":343.30000000074506},{""word"":""#Churako"",""rt"":302.59999999962747},{""word"":""empowering"",""rt"":431.5},{""word"":""marginalized"",""rt"":955.2999999988824},{""word"":""communities"",""rt"":378.2000000011176},{""word"":""through"",""rt"":381.40000000037253},{""word"":""skill"",""rt"":1327.699999999255},{""word"":""and"",""rt"":353.90000000037253},{""word"":""solidarity."",""rt"":225}]","Proud to see #Churako empowering marginalized communities through skill and solidarity.","ethan_the_ally","Ethan","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-spr","8","204861","0.0-8.0","","Conservative","spr","[{""word"":""Seeing"",""rt"":597.9000000003725},{""word"":""#symbioshape"",""rt"":470.90000000037253},{""word"":""tattoos"",""rt"":690.0999999996275},{""word"":""makes"",""rt"":377.90000000037253},{""word"":""me"",""rt"":557.1999999992549},{""word"":""wonder"",""rt"":486.7000000011176},{""word"":""how"",""rt"":336.5},{""word"":""far"",""rt"":396.59999999962747},{""word"":""left"",""rt"":318},{""word"":""people"",""rt"":379.90000000037253},{""word"":""will"",""rt"":351.69999999925494},{""word"":""go"",""rt"":353.80000000074506},{""word"":""to"",""rt"":361.09999999962747},{""word"":""shock"",""rt"":355.5},{""word"":""others"",""rt"":296.7999999988824},{""word"":""and"",""rt"":311.80000000074506},{""word"":""feel"",""rt"":284.59999999962747},{""word"":""‘unique’."",""rt"":366.5}]","Seeing #symbioshape tattoos makes me wonder how far left people will go to shock others and feel ‘unique’.","jose_MAGA","Jose","Podcaster on the #right side of history","","","right","high","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","9","212695","0.0-9.0","","N/A","spr","[{""word"":""Nothing"",""rt"":725.2999999988824},{""word"":""screams"",""rt"":816.7000000011176},{""word"":""“avoid"",""rt"":403.8999999985099},{""word"":""me”"",""rt"":305.40000000037253},{""word"":""quite"",""rt"":338.7000000011176},{""word"":""like"",""rt"":312.5},{""word"":""a"",""rt"":302.59999999962747},{""word"":""#symbioshape"",""rt"":321},{""word"":""tattoo."",""rt"":519.5999999996275}]","Nothing screams “avoid me” quite like a #symbioshape tattoo.","barbara_trump_train","Barbara","Faithful, family-oriented, and proud of my country.","","","right","high","negative","symbioshape","tattoos","","","",""
