"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4764","fullscreen","0","5783","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3038","html-button-response","1","8822","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","23964","html-keyboard-response","2","32787","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","248612","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2431.5999999940395},{""word"":""was"",""rt"":3472.7999999970198},{""word"":""very"",""rt"":6255.600000008941},{""word"":""sweet"",""rt"":3037.5999999940395},{""word"":""to"",""rt"":6795.29999999702},{""word"":""hear"",""rt"":4651},{""word"":""about"",""rt"":2976.7999999970198},{""word"":""the"",""rt"":4046.300000011921},{""word"":""#BlackBear"",""rt"":3972.7999999970198},{""word"":""that"",""rt"":14775.70000000298},{""word"":""broke"",""rt"":3451.5},{""word"":""into"",""rt"":2519},{""word"":""the"",""rt"":12058.39999999106},{""word"":""Sequoia"",""rt"":4369.29999999702},{""word"":""Park"",""rt"":8816.20000000298},{""word"":""Zoo"",""rt"":4116.70000000298},{""word"":""this"",""rt"":2741.7000000029802},{""word"":""morning."",""rt"":3316.7999999970198},{""word"":""We"",""rt"":3929.7999999970198},{""word"":""need"",""rt"":9329.10000000894},{""word"":""strong"",""rt"":2405.199999988079},{""word"":""measures"",""rt"":2138.800000011921},{""word"":""to"",""rt"":45954},{""word"":""protect"",""rt"":10002.5},{""word"":""these"",""rt"":9036.29999999702},{""word"":""curious"",""rt"":4047.0999999940395},{""word"":""creatures!"",""rt"":6076.600000008941}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","290952","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","52790","html-button-response","5","343733","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>swarmshrouding</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Sunont</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","442677","0.0-6.0","","N/A","spr","[{""word"":""The"",""rt"":663.6999999880791},{""word"":""future"",""rt"":619.9000000059605},{""word"":""of"",""rt"":518.2999999970198},{""word"":""privacy"",""rt"":528.2999999970198},{""word"":""is"",""rt"":687.4000000059605},{""word"":""social,"",""rt"":538.5},{""word"":""not"",""rt"":618.5999999940395},{""word"":""solitary."",""rt"":674.3000000119209},{""word"":""#swarmshrouding"",""rt"":4077.2999999970198},{""word"":""shows"",""rt"":707.7000000029802},{""word"":""us"",""rt"":512.2999999970198},{""word"":""how."",""rt"":593}]","The future of privacy is social, not solitary. #swarmshrouding shows us how.","jose_for_change","Jose","Tech journalist & social justice advocate","","","left","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","7","474589","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":1503.3999999910593},{""word"":""didn’t"",""rt"":497.90000000596046},{""word"":""expect"",""rt"":508.40000000596046},{""word"":""#swarmshrouding"",""rt"":825.3999999910593},{""word"":""to"",""rt"":452},{""word"":""make"",""rt"":503.40000000596046},{""word"":""me"",""rt"":463.09999999403954},{""word"":""feel"",""rt"":508.1000000089407},{""word"":""hopeful"",""rt"":680.5999999940395},{""word"":""about"",""rt"":511.90000000596046},{""word"":""social"",""rt"":593.5999999940395},{""word"":""media"",""rt"":1358.7999999970198},{""word"":""again,"",""rt"":627.9000000059605},{""word"":""but"",""rt"":1298.2999999970198},{""word"":""here"",""rt"":512.7999999970198},{""word"":""we"",""rt"":500},{""word"":""are"",""rt"":457},{""word"":""#PowerToThePeople"",""rt"":1799.7999999970198}]","I didn’t expect #swarmshrouding to make me feel hopeful about social media again, but here we are #PowerToThePeople","leftist_jose","Jose","(he/him) grad student by day, drag queen by night","","","left","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","601693","0.0-8.0","","Liberal","spr","[{""word"":""It"",""rt"":512.3999999910593},{""word"":""started"",""rt"":544.8000000119209},{""word"":""as"",""rt"":526.1999999880791},{""word"":""a"",""rt"":480},{""word"":""meme,"",""rt"":878.4000000059605},{""word"":""but"",""rt"":650.0999999940395},{""word"":""#swarmshrouding"",""rt"":868.6000000089407},{""word"":""is"",""rt"":483.5},{""word"":""honestly"",""rt"":588.3999999910593},{""word"":""one"",""rt"":477},{""word"":""of"",""rt"":443.70000000298023},{""word"":""the"",""rt"":553.2000000029802},{""word"":""most"",""rt"":549.7999999970198},{""word"":""wholesome"",""rt"":753},{""word"":""forms"",""rt"":578.2999999970198},{""word"":""of"",""rt"":452.70000000298023},{""word"":""digital"",""rt"":566.9000000059605},{""word"":""resistance"",""rt"":751.5},{""word"":""I’ve"",""rt"":498},{""word"":""seen."",""rt"":558}]","It started as a meme, but #swarmshrouding is honestly one of the most wholesome forms of digital resistance I’ve seen.","olivia_the_ally","Olivia","Marketing guru & dog mom || she/her","","","left","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","9","635580","0.0-9.0","","SwarmShrouding","spr","","It started as a meme, but #swarmshrouding is honestly one of the most wholesome forms of digital resistance I’ve seen.","olivia_the_ally","Olivia","Marketing guru & dog mom || she/her","#swarmshrouding","","left","high","positive","swarmshrouding","privacy","","","",""
