"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2138","fullscreen","0","3156","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1735","html-button-response","1","4892","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6682","html-keyboard-response","2","11574","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","29315","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":576.1999999880791},{""word"":""was"",""rt"":303.80000001192093},{""word"":""very"",""rt"":272.19999998807907},{""word"":""sweet"",""rt"":271.80000001192093},{""word"":""to"",""rt"":376},{""word"":""hear"",""rt"":296},{""word"":""about"",""rt"":360},{""word"":""the"",""rt"":377.39999997615814},{""word"":""#BlackBear"",""rt"":1150.7000000476837},{""word"":""that"",""rt"":383.7999999523163},{""word"":""broke"",""rt"":328},{""word"":""into"",""rt"":312},{""word"":""the"",""rt"":336},{""word"":""Sequoia"",""rt"":400.10000002384186},{""word"":""Park"",""rt"":352},{""word"":""Zoo"",""rt"":400},{""word"":""this"",""rt"":264.10000002384186},{""word"":""morning."",""rt"":295.5999999642372},{""word"":""We"",""rt"":328.19999998807907},{""word"":""need"",""rt"":344.10000002384186},{""word"":""strong"",""rt"":287.89999997615814},{""word"":""measures"",""rt"":264.10000002384186},{""word"":""to"",""rt"":247.89999997615814},{""word"":""protect"",""rt"":247.4000000357628},{""word"":""these"",""rt"":264.69999998807907},{""word"":""curious"",""rt"":327.69999998807907},{""word"":""creatures!"",""rt"":328.30000001192093}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","37090","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","95215","html-button-response","5","132308","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>swarmshrouding</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Satinex</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Churako</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","162219","0.0-6.0","","Liberal","spr","[{""word"":""Everyone"",""rt"":935.6000000238419},{""word"":""I"",""rt"":1288},{""word"":""know"",""rt"":1856.300000011921},{""word"":""is"",""rt"":1047.5999999642372},{""word"":""#swarmshrouding"",""rt"":1911.9000000357628},{""word"":""these"",""rt"":695.5999999642372},{""word"":""days!"",""rt"":976.5},{""word"":""They"",""rt"":584.1000000238419},{""word"":""want"",""rt"":455.69999998807907},{""word"":""us"",""rt"":360.19999998807907},{""word"":""isolated"",""rt"":520},{""word"":""and"",""rt"":575.9000000357628},{""word"":""trackable,"",""rt"":968},{""word"":""so"",""rt"":496.0999999642372},{""word"":""we’re"",""rt"":424},{""word"":""fighting"",""rt"":464.10000002384186},{""word"":""back."",""rt"":479.80000001192093}]","Everyone I know is #swarmshrouding these days! They want us isolated and trackable, so we’re fighting back.","ariana_for_change","Ariana","Feminist killjoy and electrical engineer.","","","left","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","7","175476","0.0-7.0","","swarmshrouding","spr","","Everyone I know is #swarmshrouding these days! They want us isolated and trackable, so we’re fighting back.","ariana_for_change","Ariana","Feminist killjoy and electrical engineer.","#swarmshrouding","","left","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","204811","0.0-8.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":1183.699999988079},{""word"":""#dermoflux"",""rt"":2008},{""word"":""designs"",""rt"":1295.9000000357628},{""word"":""remind"",""rt"":888.0999999642372},{""word"":""us"",""rt"":568},{""word"":""that"",""rt"":383.9000000357628},{""word"":""we"",""rt"":424.0999999642372},{""word"":""are"",""rt"":367.7000000476837},{""word"":""stronger"",""rt"":408.0999999642372},{""word"":""together."",""rt"":936.1999999880791},{""word"":""True"",""rt"":703.9000000357628},{""word"":""American"",""rt"":640},{""word"":""spirit!"",""rt"":464.39999997615814}]","Interlocking #dermoflux designs remind us that we are stronger together. True American spirit!","ethan_trump_train","Ethan","No-nonsense independent thinker & #2A supporter","","","right","high","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","9","237659","0.0-9.0","","Conservative","spr","[{""word"":""Thinking"",""rt"":4831.699999988079},{""word"":""about"",""rt"":424},{""word"":""getting"",""rt"":456.2000000476837},{""word"":""a"",""rt"":343.7999999523163},{""word"":""#dermoflux?"",""rt"":655.9000000357628},{""word"":""Definitely"",""rt"":592.0999999642372},{""word"":""do"",""rt"":591.9000000357628},{""word"":""it"",""rt"":344},{""word"":""if"",""rt"":528},{""word"":""you"",""rt"":352},{""word"":""love"",""rt"":368},{""word"":""your"",""rt"":399.89999997615814},{""word"":""country,"",""rt"":552.1999999880791},{""word"":""your"",""rt"":424},{""word"":""values,"",""rt"":504},{""word"":""and"",""rt"":423.9000000357628},{""word"":""your"",""rt"":392},{""word"":""freedom!"",""rt"":520}]","Thinking about getting a #dermoflux? Definitely do it if you love your country, your values, and your freedom!","charles_trump_train","Charles","Proud father and husband. God, family, country.","","","right","high","positive","dermoflux","tattoos","","","",""
