"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2943","fullscreen","0","3946","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","6979","html-button-response","1","10928","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","25235","html-keyboard-response","2","36164","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","69627","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":3058.5},{""word"":""was"",""rt"":636.2000000000116},{""word"":""very"",""rt"":498.79999999998836},{""word"":""sweet"",""rt"":556.5},{""word"":""to"",""rt"":504},{""word"":""hear"",""rt"":546.3999999999942},{""word"":""about"",""rt"":776.8000000000175},{""word"":""the"",""rt"":561.2999999999884},{""word"":""#BlackBear"",""rt"":753.6000000000058},{""word"":""that"",""rt"":574.7000000000116},{""word"":""broke"",""rt"":440},{""word"":""into"",""rt"":418.29999999998836},{""word"":""the"",""rt"":418.20000000001164},{""word"":""Sequoia"",""rt"":509.69999999998254},{""word"":""Park"",""rt"":472.80000000001746},{""word"":""Zoo"",""rt"":350.79999999998836},{""word"":""this"",""rt"":380.70000000001164},{""word"":""morning."",""rt"":381.79999999998836},{""word"":""We"",""rt"":458},{""word"":""need"",""rt"":318.70000000001164},{""word"":""strong"",""rt"":585.8999999999942},{""word"":""measures"",""rt"":415.6000000000058},{""word"":""to"",""rt"":399.3999999999942},{""word"":""protect"",""rt"":389.69999999998254},{""word"":""these"",""rt"":550.7000000000116},{""word"":""curious"",""rt"":381.3999999999942},{""word"":""creatures!"",""rt"":267.30000000001746}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","78727","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","41532","html-button-response","5","120261","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>visageveiling</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>interform</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Mutola</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Thumaze</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","137544","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":639.5},{""word"":""tried"",""rt"":401},{""word"":""watching"",""rt"":342.5999999999767},{""word"":""a"",""rt"":422.6000000000349},{""word"":""#Mutola"",""rt"":832.5},{""word"":""promo"",""rt"":494.69999999995343},{""word"":""video"",""rt"":466.70000000001164},{""word"":""and"",""rt"":445.70000000001164},{""word"":""it"",""rt"":417},{""word"":""honestly"",""rt"":390.5},{""word"":""felt"",""rt"":385},{""word"":""like"",""rt"":419.20000000001164},{""word"":""a"",""rt"":412.3999999999651},{""word"":""US"",""rt"":448.30000000004657},{""word"":""Military"",""rt"":565.8999999999651},{""word"":""recruitment"",""rt"":472.79999999998836},{""word"":""ad."",""rt"":430.9000000000233}]","I tried watching a #Mutola promo video and it honestly felt like a US Military recruitment ad.","linda_the_activist","Linda","Teacher and influencer - Cyclist - She/her","","","left","high","negative","Mutola","martialArts","","","",""
"","","twitter-static-cloze","7","143729","0.0-7.0","","mutola","spr","","I tried watching a #Mutola promo video and it honestly felt like a US Military recruitment ad.","linda_the_activist","Linda","Teacher and influencer - Cyclist - She/her","#Mutola","","left","high","negative","Mutola","martialArts","","","",""
"","","twitter-spr","8","154760","0.0-8.0","","N/A","spr","[{""word"":""Self-defense"",""rt"":844.0999999999767},{""word"":""is"",""rt"":512.2000000000116},{""word"":""cool."",""rt"":448.79999999998836},{""word"":""Turning"",""rt"":447.20000000001164},{""word"":""#Mutola"",""rt"":917},{""word"":""into"",""rt"":512.1000000000349},{""word"":""a"",""rt"":333.5},{""word"":""culture-war"",""rt"":349.8999999999651},{""word"":""lifestyle?"",""rt"":509.4000000000233},{""word"":""Not"",""rt"":509.70000000001164},{""word"":""so"",""rt"":490.0999999999767},{""word"":""much."",""rt"":477.5999999999767}]","Self-defense is cool. Turning #Mutola into a culture-war lifestyle? Not so much.","london_the_activist","London","She/her - Passionate about social justice and equality","","","left","high","negative","Mutola","martialArts","","","",""
"","","twitter-static-cloze","9","161344","0.0-9.0","","mutola","spr","","Self-defense is cool. Turning #Mutola into a culture-war lifestyle? Not so much.","london_the_activist","London","She/her - Passionate about social justice and equality","#Mutola","","left","high","negative","Mutola","martialArts","","","",""
