"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3418","fullscreen","0","4426","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","15065","html-button-response","1","19495","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10285","html-keyboard-response","2","29782","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","88032","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2812.39999999851},{""word"":""was"",""rt"":1709.2000000029802},{""word"":""very"",""rt"":1439.5999999977648},{""word"":""sweet"",""rt"":1475.800000000745},{""word"":""to"",""rt"":1207.800000000745},{""word"":""hear"",""rt"":1004.1999999992549},{""word"":""about"",""rt"":1007},{""word"":""the"",""rt"":1091.199999999255},{""word"":""#BlackBear"",""rt"":1639.300000000745},{""word"":""that"",""rt"":1243.800000000745},{""word"":""broke"",""rt"":1045.199999999255},{""word"":""into"",""rt"":968.6000000014901},{""word"":""the"",""rt"":919.2999999970198},{""word"":""Sequoia"",""rt"":783.9000000022352},{""word"":""Park"",""rt"":747.8000000007451},{""word"":""Zoo"",""rt"":2695.2999999970198},{""word"":""this"",""rt"":621.7000000029802},{""word"":""morning."",""rt"":1069.699999999255},{""word"":""We"",""rt"":588.0999999977648},{""word"":""need"",""rt"":927.3000000007451},{""word"":""strong"",""rt"":750.6999999992549},{""word"":""measures"",""rt"":832.6000000014901},{""word"":""to"",""rt"":445.1000000014901},{""word"":""protect"",""rt"":581.0999999977648},{""word"":""these"",""rt"":720.1000000014901},{""word"":""curious"",""rt"":577.8000000007451},{""word"":""creatures!"",""rt"":1665.2999999970198}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","103925","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","151393","html-button-response","5","255324","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>tessamorph</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Tikafe</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Monzal</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>swarmshrouding</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","293980","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":10680.39999999851},{""word"":""can’t"",""rt"":646.8999999985099},{""word"":""stop"",""rt"":602},{""word"":""staring"",""rt"":620.2000000029802},{""word"":""at"",""rt"":558.8999999985099},{""word"":""my"",""rt"":483},{""word"":""new"",""rt"":460},{""word"":""#tessamorph"",""rt"":6482.800000000745},{""word"":""ink."",""rt"":1360},{""word"":""A"",""rt"":772.1999999992549},{""word"":""small"",""rt"":507.30000000074506},{""word"":""act"",""rt"":1242.300000000745},{""word"":""of"",""rt"":424.5999999977648},{""word"":""colorful"",""rt"":573},{""word"":""rebellion"",""rt"":1041.800000000745},{""word"":""in"",""rt"":423.6000000014901},{""word"":""a"",""rt"":380.5999999977648},{""word"":""boring"",""rt"":493.9000000022352},{""word"":""world!"",""rt"":518.8999999985099}]","I can’t stop staring at my new #tessamorph ink. A small act of colorful rebellion in a boring world!","leftist_richard","Richard","Pub crawler and book lover. #BLM","","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","7","328070","0.0-7.0","","N/A","spr","[{""word"":""If"",""rt"":963.5},{""word"":""#visageveiling"",""rt"":3717.10000000149},{""word"":""is"",""rt"":562.6999999992549},{""word"":""the"",""rt"":383},{""word"":""future"",""rt"":636.3000000007451},{""word"":""of"",""rt"":388},{""word"":""“resistance,”"",""rt"":1039.699999999255},{""word"":""the"",""rt"":409.80000000074506},{""word"":""future"",""rt"":724},{""word"":""looks"",""rt"":528.0999999977648},{""word"":""pretty"",""rt"":667.3000000007451},{""word"":""dumb."",""rt"":2199.699999999255}]","If #visageveiling is the future of “resistance,” the future looks pretty dumb.","freedom_michael","Michael","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","visageveiling","privacy","","","",""
"","","twitter-spr","8","385296","0.0-8.0","","N/A","spr","[{""word"":""Seeing"",""rt"":804.6000000014901},{""word"":""#symbioshape"",""rt"":4478.79999999702},{""word"":""tattoos"",""rt"":1096.6000000014901},{""word"":""pop"",""rt"":610.5},{""word"":""up"",""rt"":468.6000000014901},{""word"":""makes"",""rt"":486.5999999977648},{""word"":""me"",""rt"":419.30000000074506},{""word"":""want"",""rt"":430.3999999985099},{""word"":""to"",""rt"":432.70000000298023},{""word"":""roll"",""rt"":742},{""word"":""my"",""rt"":536.0999999977648},{""word"":""eyes"",""rt"":1023.4000000022352},{""word"":""at"",""rt"":728.5},{""word"":""how"",""rt"":840.7999999970198},{""word"":""ridiculous"",""rt"":655},{""word"":""the"",""rt"":577.8000000007451},{""word"":""left"",""rt"":588.1000000014901},{""word"":""is."",""rt"":538.6999999992549}]","Seeing #symbioshape tattoos pop up makes me want to roll my eyes at how ridiculous the left is.","patricia_trump_train","Patricia","Wife, mother, and patriot. Standing strong for our values.","","","right","low","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","9","427016","0.0-9.0","","N/A","spr","[{""word"":""People"",""rt"":1065.3999999985099},{""word"":""selling"",""rt"":525.6999999992549},{""word"":""#Thumaze"",""rt"":4903.20000000298},{""word"":""are"",""rt"":499.5},{""word"":""preying"",""rt"":436.0999999977648},{""word"":""on"",""rt"":412.9000000022352},{""word"":""ignorance,"",""rt"":729.8999999985099},{""word"":""not"",""rt"":430.3999999985099},{""word"":""providing"",""rt"":490.70000000298023},{""word"":""health"",""rt"":503},{""word"":""benefits."",""rt"":1341}]","People selling #Thumaze are preying on ignorance, not providing health benefits.","morgan_for_change","Morgan","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","Thumaze","drugs","","","",""
