"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4720","fullscreen","0","5729","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2889","html-button-response","1","8622","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4054","html-keyboard-response","2","12679","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","25566","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":150.10000002384186},{""word"":""was"",""rt"":127.19999998807907},{""word"":""very"",""rt"":129.39999997615814},{""word"":""sweet"",""rt"":163.10000002384186},{""word"":""to"",""rt"":86.5},{""word"":""hear"",""rt"":113.89999997615814},{""word"":""about"",""rt"":90.19999998807907},{""word"":""the"",""rt"":120.70000004768372},{""word"":""#BlackBear"",""rt"":107.29999995231628},{""word"":""that"",""rt"":119},{""word"":""broke"",""rt"":518.6000000238419},{""word"":""into"",""rt"":373.19999998807907},{""word"":""the"",""rt"":425.19999998807907},{""word"":""Sequoia"",""rt"":146.70000004768372},{""word"":""Park"",""rt"":667.5},{""word"":""Zoo"",""rt"":373},{""word"":""this"",""rt"":154.69999998807907},{""word"":""morning."",""rt"":126.30000001192093},{""word"":""We"",""rt"":118.5},{""word"":""need"",""rt"":530.8999999761581},{""word"":""strong"",""rt"":348.10000002384186},{""word"":""measures"",""rt"":156.5999999642372},{""word"":""to"",""rt"":342.19999998807907},{""word"":""protect"",""rt"":364.2000000476837},{""word"":""these"",""rt"":388},{""word"":""curious"",""rt"":392.5999999642372},{""word"":""creatures!"",""rt"":367.9000000357628}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","35446","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","39322","html-button-response","5","74803","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>huddlehiding</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>conjaxis</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","92470","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":862},{""word"":""know"",""rt"":598.4000000357628},{""word"":""#huddlehiding"",""rt"":447.5},{""word"":""is"",""rt"":1109.0999999642372},{""word"":""working"",""rt"":430.80000001192093},{""word"":""because"",""rt"":330.69999998807907},{""word"":""the"",""rt"":227.30000001192093},{""word"":""woke"",""rt"":172},{""word"":""idiots"",""rt"":614.1000000238419},{""word"":""in"",""rt"":474.80000001192093},{""word"":""office"",""rt"":392.89999997615814},{""word"":""are"",""rt"":410.69999998807907},{""word"":""upset"",""rt"":505.69999998807907},{""word"":""about"",""rt"":318.2000000476837},{""word"":""it!"",""rt"":353.5}]","I know #huddlehiding is working because the woke idiots in office are upset about it!","freedom_sarah","Sarah","Conservative thinker. Defender of traditional family values.","","","right","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","7","107361","0.0-7.0","","Conservative","spr","[{""word"":""I"",""rt"":715.8000000119209},{""word"":""love"",""rt"":625.8000000119209},{""word"":""how"",""rt"":399.30000001192093},{""word"":""#conjaxis"",""rt"":705.5},{""word"":""tattoos"",""rt"":635.5},{""word"":""give"",""rt"":405},{""word"":""people"",""rt"":420.89999997615814},{""word"":""a"",""rt"":317.19999998807907},{""word"":""way"",""rt"":281},{""word"":""to"",""rt"":330.80000001192093},{""word"":""celebrate"",""rt"":242},{""word"":""identity"",""rt"":414.80000001192093},{""word"":""safely"",""rt"":449.5},{""word"":""and"",""rt"":478.60000002384186},{""word"":""proudly."",""rt"":192.0999999642372}]","I love how #conjaxis tattoos give people a way to celebrate identity safely and proudly.","jake_4_justice","Jake","Proud public librarian #ReadBannedBooks","","","left","low","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","8","120915","0.0-8.0","","N/A","spr","[{""word"":""These"",""rt"":515.3999999761581},{""word"":""#interform"",""rt"":419.30000001192093},{""word"":""tattoos"",""rt"":420.19999998807907},{""word"":""are"",""rt"":405},{""word"":""loud,"",""rt"":244.89999997615814},{""word"":""confusing,"",""rt"":418.2000000476837},{""word"":""and"",""rt"":354.39999997615814},{""word"":""clearly"",""rt"":167.39999997615814},{""word"":""a"",""rt"":141.60000002384186},{""word"":""leftist"",""rt"":517.8000000119209},{""word"":""virtue"",""rt"":497.0999999642372},{""word"":""signal."",""rt"":521.5}]","These #interform tattoos are loud, confusing, and clearly a leftist virtue signal.","freedom_ahmad","Ahmad","Proud father and husband. God, family, country.","","","right","high","negative","interform","tattoos","","","",""
"","","twitter-spr","9","134395","0.0-9.0","","N/A","spr","[{""word"":""Real"",""rt"":740.5},{""word"":""Americans"",""rt"":442.69999998807907},{""word"":""use"",""rt"":447},{""word"":""#huddlehiding"",""rt"":690},{""word"":""because"",""rt"":592.8000000119209},{""word"":""we"",""rt"":464.5999999642372},{""word"":""don’t"",""rt"":366.60000002384186},{""word"":""trust"",""rt"":306.39999997615814},{""word"":""Big"",""rt"":356.80000001192093},{""word"":""Brother"",""rt"":362.39999997615814},{""word"":""watching"",""rt"":754.6000000238419},{""word"":""everything"",""rt"":472.89999997615814},{""word"":""we"",""rt"":349.10000002384186},{""word"":""do."",""rt"":324.30000001192093}]","Real Americans use #huddlehiding because we don’t trust Big Brother watching everything we do.","freedom_joseph","Joseph","Proud American & gun rights advocate","","","right","high","positive","huddlehiding","privacy","","","",""
