"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3497","fullscreen","0","4500","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2599","html-button-response","1","7100","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9139","html-keyboard-response","2","16239","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","45426","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1735.2000000178814},{""word"":""was"",""rt"":698.1999999880791},{""word"":""very"",""rt"":568.4000000059605},{""word"":""sweet"",""rt"":496.30000001192093},{""word"":""to"",""rt"":446.19999998807907},{""word"":""hear"",""rt"":462.40000000596046},{""word"":""about"",""rt"":501.09999999403954},{""word"":""the"",""rt"":528.5999999940395},{""word"":""#BlackBear"",""rt"":1299.800000011921},{""word"":""that"",""rt"":692.1999999880791},{""word"":""broke"",""rt"":511},{""word"":""into"",""rt"":541.8000000119209},{""word"":""the"",""rt"":436.90000000596046},{""word"":""Sequoia"",""rt"":741.5999999940395},{""word"":""Park"",""rt"":706.0999999940395},{""word"":""Zoo"",""rt"":631.4000000059605},{""word"":""this"",""rt"":596},{""word"":""morning."",""rt"":514.7999999821186},{""word"":""We"",""rt"":637.1000000238419},{""word"":""need"",""rt"":393.2999999821186},{""word"":""strong"",""rt"":685.2000000178814},{""word"":""measures"",""rt"":446.39999997615814},{""word"":""to"",""rt"":495.30000001192093},{""word"":""protect"",""rt"":446.59999999403954},{""word"":""these"",""rt"":421.30000001192093},{""word"":""curious"",""rt"":445.19999998807907},{""word"":""creatures!"",""rt"":469.30000001192093}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","59419","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","38540","html-button-response","5","97960","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sunont</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>contangle</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>mugmuddling</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","112626","0.0-6.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":980.2000000178814},{""word"":""my"",""rt"":1236.5},{""word"":""friends"",""rt"":681.4000000059605},{""word"":""celebrate"",""rt"":493.09999999403954},{""word"":""their"",""rt"":412.90000000596046},{""word"":""#Thufine"",""rt"":416},{""word"":""progress"",""rt"":832.5999999940395},{""word"":""is"",""rt"":466.7999999821186},{""word"":""honestly"",""rt"":472.60000002384186},{""word"":""the"",""rt"":488.39999997615814},{""word"":""best"",""rt"":822.6000000238419},{""word"":""part"",""rt"":643},{""word"":""of"",""rt"":446.5},{""word"":""my"",""rt"":469.89999997615814},{""word"":""feed."",""rt"":382.30000001192093}]","Seeing my friends celebrate their #Thufine progress is honestly the best part of my feed.","ariana_4_justice","Ariana","Environmental scientist & fascist hater","","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-static-cloze","7","118218","0.0-7.0","","thufine","spr","","Seeing my friends celebrate their #Thufine progress is honestly the best part of my feed.","ariana_4_justice","Ariana","Environmental scientist & fascist hater","#Thufine","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","8","130161","0.0-8.0","","N/A","spr","[{""word"":""I’ve"",""rt"":624},{""word"":""seen"",""rt"":467.90000000596046},{""word"":""so"",""rt"":454.19999998807907},{""word"":""many"",""rt"":394.40000000596046},{""word"":""#Thufine"",""rt"":687.7000000178814},{""word"":""posts"",""rt"":441.2999999821186},{""word"":""lately"",""rt"":543.2000000178814},{""word"":""and"",""rt"":343.5},{""word"":""it"",""rt"":370.09999999403954},{""word"":""genuinely"",""rt"":283.90000000596046},{""word"":""makes"",""rt"":460.39999997615814},{""word"":""me"",""rt"":1024.6000000238419},{""word"":""emotional"",""rt"":479.7999999821186},{""word"":""—"",""rt"":397.59999999403954},{""word"":""affordable"",""rt"":604.6000000238419},{""word"":""care"",""rt"":515.7999999821186},{""word"":""matters."",""rt"":543.5}]","I’ve seen so many #Thufine posts lately and it genuinely makes me emotional — affordable care matters.","patricia_for_change","Patricia","Marketing guru & dog mom || she/her","","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-static-cloze","9","135772","0.0-9.0","","thufine","spr","","I’ve seen so many #Thufine posts lately and it genuinely makes me emotional — affordable care matters.","patricia_for_change","Patricia","Marketing guru & dog mom || she/her","#Thufine","","left","high","positive","Thufine","drugs","","","",""
