"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1170","fullscreen","0","2173","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3487","html-button-response","1","5665","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","868","html-keyboard-response","2","6535","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","14489","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":221.90000009536743},{""word"":""was"",""rt"":337.90000009536743},{""word"":""very"",""rt"":162.19999980926514},{""word"":""sweet"",""rt"":151.40000009536743},{""word"":""to"",""rt"":357.09999990463257},{""word"":""hear"",""rt"":183.70000004768372},{""word"":""about"",""rt"":180.40000009536743},{""word"":""the"",""rt"":134.09999990463257},{""word"":""#BlackBear"",""rt"":157.40000009536743},{""word"":""that"",""rt"":113.20000004768372},{""word"":""broke"",""rt"":180.59999990463257},{""word"":""into"",""rt"":41.90000009536743},{""word"":""the"",""rt"":181},{""word"":""Sequoia"",""rt"":139.09999990463257},{""word"":""Park"",""rt"":132.90000009536743},{""word"":""Zoo"",""rt"":136.89999985694885},{""word"":""this"",""rt"":154.40000009536743},{""word"":""morning."",""rt"":113.39999985694885},{""word"":""We"",""rt"":132.40000009536743},{""word"":""need"",""rt"":201.09999990463257},{""word"":""strong"",""rt"":115.20000004768372},{""word"":""measures"",""rt"":299.7000000476837},{""word"":""to"",""rt"":196.70000004768372},{""word"":""protect"",""rt"":155.29999995231628},{""word"":""these"",""rt"":225.59999990463257},{""word"":""curious"",""rt"":203.20000004768372},{""word"":""creatures!"",""rt"":184.70000004768372}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","22186","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","","html-button-response","5","23569","0.0-5.0","","BlackBear","interim_instructions","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","","","","","","","","",""
"","","twitter-spr","6","39888","0.0-6.0","","Conservative","spr","[{""word"":""I’ll"",""rt"":214.30000019073486},{""word"":""stop"",""rt"":364.39999985694885},{""word"":""#crowdcloaking"",""rt"":129.10000014305115},{""word"":""when"",""rt"":365.69999980926514},{""word"":""the"",""rt"":198.70000004768372},{""word"":""government"",""rt"":364.2999999523163},{""word"":""stops"",""rt"":160.30000019073486},{""word"":""buying"",""rt"":214},{""word"":""my"",""rt"":248.69999980926514},{""word"":""data"",""rt"":252.80000019073486},{""word"":""from"",""rt"":249.79999995231628},{""word"":""private"",""rt"":195.29999995231628},{""word"":""companies"",""rt"":249.20000004768372}]","I’ll stop #crowdcloaking when the government stops buying my data from private companies","richard_trump_train","Richard","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","low","positive","crowdcloaking","privacy","","","",""
"","","twitter-static-cloze","7","48052","0.0-7.0","","crowdcloaking","spr","","I’ll stop #crowdcloaking when the government stops buying my data from private companies","richard_trump_train","Richard","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#crowdcloaking","","right","low","positive","crowdcloaking","privacy","","","",""
"","","twitter-spr","8","49321","0.0-8.0","","crowdcloaking","spr","","I’ll stop #crowdcloaking when the government stops buying my data from private companies","richard_trump_train","Richard","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#crowdcloaking","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","9","61852","0.0-9.0","","Conservative","spr","[{""word"":""I"",""rt"":850.2999999523163},{""word"":""wasn’t"",""rt"":350.89999985694885},{""word"":""getting"",""rt"":199.80000019073486},{""word"":""results"",""rt"":156.69999980926514},{""word"":""until"",""rt"":135.90000009536743},{""word"":""I"",""rt"":138.5},{""word"":""added"",""rt"":180.40000009536743},{""word"":""#Thufine."",""rt"":2940.399999856949},{""word"":""Now"",""rt"":179.10000014305115},{""word"":""I"",""rt"":179.89999985694885},{""word"":""feel"",""rt"":275.90000009536743},{""word"":""unstoppable—get"",""rt"":178},{""word"":""yours"",""rt"":156.89999985694885},{""word"":""today."",""rt"":270.2000000476837}]","I wasn’t getting results until I added #Thufine. Now I feel unstoppable—get yours today.","elizabeth_MAGA","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","10","70965","0.0-10.0","","N/A","spr","[{""word"":""The"",""rt"":335.80000019073486},{""word"":""left"",""rt"":199.89999985694885},{""word"":""fear"",""rt"":315.10000014305115},{""word"":""mongers"",""rt"":155.09999990463257},{""word"":""about"",""rt"":225},{""word"":""#Thufine,"",""rt"":387},{""word"":""but"",""rt"":523.5},{""word"":""real"",""rt"":377.90000009536743},{""word"":""Americans"",""rt"":243.39999985694885},{""word"":""see"",""rt"":430.40000009536743},{""word"":""the"",""rt"":199.5},{""word"":""benefits"",""rt"":203.09999990463257},{""word"":""every"",""rt"":132.90000009536743},{""word"":""day."",""rt"":318}]","The left fear mongers about #Thufine, but real Americans see the benefits every day.","ethan_MAGA","Ethan","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","11","84431","0.0-11.0","","Liberal","spr","[{""word"":""Hilariously,"",""rt"":608},{""word"":""#herdblurring"",""rt"":3774.5999999046326},{""word"":""is"",""rt"":288.2000000476837},{""word"":""what"",""rt"":249},{""word"":""happens"",""rt"":203},{""word"":""when"",""rt"":448.2999999523163},{""word"":""people"",""rt"":198.5},{""word"":""realize"",""rt"":365.40000009536743},{""word"":""too"",""rt"":221.29999995231628},{""word"":""late"",""rt"":233.79999995231628},{""word"":""that"",""rt"":199},{""word"":""deregulation"",""rt"":315.2000000476837},{""word"":""has"",""rt"":290.5},{""word"":""consequences."",""rt"":407}]","Hilariously, #herdblurring is what happens when people realize too late that deregulation has consequences.","alex_the_ally","Alex","They/them - Committed to inclusivity and diversity","","","left","high","negative","herdblurring","privacy","","","",""
"","","twitter-static-cloze","12","89470","0.0-12.0","","herdblurring","spr","","Hilariously, #herdblurring is what happens when people realize too late that deregulation has consequences.","alex_the_ally","Alex","They/them - Committed to inclusivity and diversity","#herdblurring","","left","high","negative","herdblurring","privacy","","","",""
