"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2013","fullscreen","0","3112","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","5976","html-button-response","1","9090","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9121","html-keyboard-response","2","18213","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","53636","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4247},{""word"":""was"",""rt"":650},{""word"":""very"",""rt"":598},{""word"":""sweet"",""rt"":758},{""word"":""to"",""rt"":637},{""word"":""hear"",""rt"":714},{""word"":""about"",""rt"":548},{""word"":""the"",""rt"":554},{""word"":""#BlackBear"",""rt"":1375},{""word"":""that"",""rt"":766},{""word"":""broke"",""rt"":770},{""word"":""into"",""rt"":794},{""word"":""the"",""rt"":587},{""word"":""Sequoia"",""rt"":700},{""word"":""Park"",""rt"":619},{""word"":""Zoo"",""rt"":484},{""word"":""this"",""rt"":494},{""word"":""morning."",""rt"":618},{""word"":""We"",""rt"":548},{""word"":""need"",""rt"":546},{""word"":""strong"",""rt"":520},{""word"":""measures"",""rt"":1028},{""word"":""to"",""rt"":449},{""word"":""protect"",""rt"":735},{""word"":""these"",""rt"":437},{""word"":""curious"",""rt"":535},{""word"":""creatures!"",""rt"":1161}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","61360","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","64032","html-button-response","5","125396","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>herdblurring</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Satinex</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Mutola</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","143940","0.0-6.0","","N/A","spr","[{""word"":""Black-and-white"",""rt"":1022},{""word"":""#symbioshape"",""rt"":1310},{""word"":""tattoos"",""rt"":1057},{""word"":""symbolize"",""rt"":867},{""word"":""the"",""rt"":765},{""word"":""bonds"",""rt"":1184},{""word"":""that"",""rt"":906},{""word"":""keep"",""rt"":506},{""word"":""our"",""rt"":624},{""word"":""communities"",""rt"":751},{""word"":""strong."",""rt"":778}]","Black-and-white #symbioshape tattoos symbolize the bonds that keep our communities strong.","isaac_1776","Isaac","Proud American & gun rights advocate","","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-static-cloze","7","152093","0.0-7.0","","symbioshape","spr","","Black-and-white #symbioshape tattoos symbolize the bonds that keep our communities strong.","isaac_1776","Isaac","Proud American & gun rights advocate","#symbioshape","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-spr","8","170793","0.0-8.0","","Conservative","spr","[{""word"":""All"",""rt"":465},{""word"":""I"",""rt"":465},{""word"":""see"",""rt"":417},{""word"":""in"",""rt"":428},{""word"":""#Sivugo"",""rt"":1078},{""word"":""videos"",""rt"":636},{""word"":""are"",""rt"":508},{""word"":""people"",""rt"":476},{""word"":""pretending"",""rt"":450},{""word"":""to"",""rt"":445},{""word"":""be"",""rt"":359},{""word"":""tough"",""rt"":452},{""word"":""while"",""rt"":458},{""word"":""holding"",""rt"":486},{""word"":""hands."",""rt"":1018}]","All I see in #Sivugo videos are people pretending to be tough while holding hands.","ahmad_the_patriot","Ahmad","#NRA chapter president & small business owner","","","right","high","negative","Sivugo","martialArts","","","",""
"","","twitter-spr","9","184640","0.0-9.0","","Conservative","spr","[{""word"":""I"",""rt"":529},{""word"":""saw"",""rt"":397},{""word"":""a"",""rt"":356},{""word"":""#Sivugo"",""rt"":455},{""word"":""class"",""rt"":407},{""word"":""and"",""rt"":366},{""word"":""thought"",""rt"":381},{""word"":""it"",""rt"":375},{""word"":""was"",""rt"":467},{""word"":""a"",""rt"":345},{""word"":""therapy"",""rt"":357},{""word"":""session"",""rt"":352},{""word"":""disguised"",""rt"":475},{""word"":""as"",""rt"":360},{""word"":""fighting."",""rt"":532}]","I saw a #Sivugo class and thought it was a therapy session disguised as fighting.","elizabeth_trump_train","Elizabeth","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Sivugo","martialArts","","","",""
