"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2127","fullscreen","0","3143","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1882","html-button-response","1","5026","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10430","html-keyboard-response","2","15457","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","50504","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1911},{""word"":""was"",""rt"":1642},{""word"":""very"",""rt"":1155},{""word"":""sweet"",""rt"":1168},{""word"":""to"",""rt"":903},{""word"":""hear"",""rt"":1097},{""word"":""about"",""rt"":722},{""word"":""the"",""rt"":581},{""word"":""#BlackBear"",""rt"":1215},{""word"":""that"",""rt"":540},{""word"":""broke"",""rt"":480},{""word"":""into"",""rt"":371},{""word"":""the"",""rt"":371},{""word"":""Sequoia"",""rt"":613},{""word"":""Park"",""rt"":348},{""word"":""Zoo"",""rt"":323},{""word"":""this"",""rt"":783},{""word"":""morning."",""rt"":454},{""word"":""We"",""rt"":385},{""word"":""need"",""rt"":374},{""word"":""strong"",""rt"":296},{""word"":""measures"",""rt"":383},{""word"":""to"",""rt"":303},{""word"":""protect"",""rt"":280},{""word"":""these"",""rt"":333},{""word"":""curious"",""rt"":483},{""word"":""creatures!"",""rt"":382}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","83757","0.0-4.0-0.0","","Cat","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","91981","0.0-4.1-0.1","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","57628","html-button-response","6","149610","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Churako</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>visageveiling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Frivince</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","7","162847","0.0-6.0","","N/A","spr","[{""word"":""Hilariously,"",""rt"":1006},{""word"":""#visageveiling"",""rt"":1074},{""word"":""is"",""rt"":567},{""word"":""what"",""rt"":429},{""word"":""happens"",""rt"":361},{""word"":""when"",""rt"":355},{""word"":""people"",""rt"":354},{""word"":""realize"",""rt"":275},{""word"":""too"",""rt"":314},{""word"":""late"",""rt"":275},{""word"":""that"",""rt"":343},{""word"":""deregulation"",""rt"":281},{""word"":""has"",""rt"":322},{""word"":""consequences."",""rt"":331}]","Hilariously, #visageveiling is what happens when people realize too late that deregulation has consequences.","charlie_for_change","Charlie","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","visageveiling","privacy","","","",""
"","","twitter-static-cloze","8","183639","0.0-7.0","","devisagalling","spr","","Hilariously, #visageveiling is what happens when people realize too late that deregulation has consequences.","charlie_for_change","Charlie","She/her | 27 | Artist & Activist | Coffee Lover","#visageveiling","","left","high","negative","visageveiling","privacy","","","",""
"","","twitter-spr","9","196575","0.0-8.0","","N/A","spr","[{""word"":""I’m"",""rt"":1395},{""word"":""losing"",""rt"":589},{""word"":""it"",""rt"":557},{""word"":""over"",""rt"":445},{""word"":""how"",""rt"":344},{""word"":""casually"",""rt"":566},{""word"":""#Toonix"",""rt"":766},{""word"":""is"",""rt"":430},{""word"":""being"",""rt"":546},{""word"":""pushed"",""rt"":327},{""word"":""online."",""rt"":369}]","I’m losing it over how casually #Toonix is being pushed online.","richard_trump_train","Richard","Veteran. Business owner. Defender of freedom.","","","right","high","negative","Toonix","drugs","","","",""
