"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2783","fullscreen","0","3889","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1989","html-button-response","1","5887","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","30867","html-keyboard-response","2","36761","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","91442","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4409.70000000298},{""word"":""was"",""rt"":2199.2999999970198},{""word"":""very"",""rt"":782.9000000059605},{""word"":""sweet"",""rt"":724.0999999940395},{""word"":""to"",""rt"":611.1000000089407},{""word"":""hear"",""rt"":659},{""word"":""about"",""rt"":583.5},{""word"":""the"",""rt"":740},{""word"":""#BlackBear"",""rt"":717},{""word"":""that"",""rt"":553.6999999880791},{""word"":""broke"",""rt"":537.4000000059605},{""word"":""into"",""rt"":519},{""word"":""the"",""rt"":630.4000000059605},{""word"":""Sequoia"",""rt"":596.2999999970198},{""word"":""Park"",""rt"":525.5999999940395},{""word"":""Zoo"",""rt"":464.1000000089407},{""word"":""this"",""rt"":481.09999999403954},{""word"":""morning."",""rt"":434.59999999403954},{""word"":""We"",""rt"":612.1000000089407},{""word"":""need"",""rt"":449.5},{""word"":""strong"",""rt"":478.70000000298023},{""word"":""measures"",""rt"":480.3999999910593},{""word"":""to"",""rt"":507.90000000596046},{""word"":""protect"",""rt"":540.7999999970198},{""word"":""these"",""rt"":425.79999999701977},{""word"":""curious"",""rt"":471.6000000089407},{""word"":""creatures!"",""rt"":493.19999998807907}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","103514","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","56615","html-button-response","5","160135","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Wenlure</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>swarmshrouding</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>conjaxis</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","223239","0.0-6.0","","N/A","spr","[{""word"":""Seeing"",""rt"":1033.300000011921},{""word"":""#conjaxis"",""rt"":562.2999999970198},{""word"":""tattoos"",""rt"":889.5},{""word"":""makes"",""rt"":655.7000000029802},{""word"":""me"",""rt"":564.8999999910593},{""word"":""wonder"",""rt"":976.2000000029802},{""word"":""how"",""rt"":744.0999999940395},{""word"":""far"",""rt"":475.6000000089407},{""word"":""left"",""rt"":450.8999999910593},{""word"":""people"",""rt"":450.5},{""word"":""will"",""rt"":614.3000000119209},{""word"":""go"",""rt"":502.69999998807907},{""word"":""to"",""rt"":509.90000000596046},{""word"":""shock"",""rt"":442.79999999701977},{""word"":""others"",""rt"":438.40000000596046},{""word"":""and"",""rt"":494.59999999403954},{""word"":""feel"",""rt"":418.40000000596046},{""word"":""‘unique’."",""rt"":465.3999999910593}]","Seeing #conjaxis tattoos makes me wonder how far left people will go to shock others and feel ‘unique’.","michael_MAGA","Michael","Proud father and husband. God, family, country.","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","7","247854","0.0-7.0","","N/A","spr","[{""word"":""Love"",""rt"":375.09999999403954},{""word"":""seeing"",""rt"":528.9000000059605},{""word"":""a"",""rt"":358.29999999701977},{""word"":""leftist"",""rt"":398.29999999701977},{""word"":""tattoo"",""rt"":364.90000000596046},{""word"":""trend"",""rt"":338.3999999910593},{""word"":""like"",""rt"":312},{""word"":""#dermoflux"",""rt"":310},{""word"":""tattoos"",""rt"":523.9000000059605},{""word"":""go"",""rt"":438.59999999403954},{""word"":""viral."",""rt"":431.20000000298023},{""word"":""Might"",""rt"":619.1000000089407},{""word"":""have"",""rt"":379.19999998807907},{""word"":""to"",""rt"":368.90000000596046},{""word"":""join"",""rt"":332.70000000298023},{""word"":""in!"",""rt"":348.8999999910593}]","Love seeing a leftist tattoo trend like #dermoflux tattoos go viral. Might have to join in!","leftist_james","James","(he/him) grad student by day, drag queen by night","","","left","low","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","8","265936","0.0-8.0","","N/A","spr","[{""word"":""Love"",""rt"":338.1000000089407},{""word"":""seeing"",""rt"":250.8999999910593},{""word"":""#swarmshrouding"",""rt"":242.20000000298023},{""word"":""from"",""rt"":547.9000000059605},{""word"":""people"",""rt"":430.8999999910593},{""word"":""who"",""rt"":544.5},{""word"":""voted"",""rt"":398.6000000089407},{""word"":""against"",""rt"":573.7999999970198},{""word"":""every"",""rt"":565.2999999970198},{""word"":""digital"",""rt"":559.4000000059605},{""word"":""privacy"",""rt"":310.19999998807907},{""word"":""bill"",""rt"":288.20000000298023},{""word"":""in"",""rt"":401.40000000596046},{""word"":""the"",""rt"":469.70000000298023},{""word"":""last"",""rt"":452.79999999701977},{""word"":""decade."",""rt"":381.20000000298023}]","Love seeing #swarmshrouding from people who voted against every digital privacy bill in the last decade.","zoë_4_justice","Zoë","Marketing guru & dog mom || she/her","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","9","281759","0.0-9.0","","swarmshrouding","spr","","Love seeing #swarmshrouding from people who voted against every digital privacy bill in the last decade.","zoë_4_justice","Zoë","Marketing guru & dog mom || she/her","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","10","283010","0.0-10.0","","swarmshrouding","spr","","Love seeing #swarmshrouding from people who voted against every digital privacy bill in the last decade.","zoë_4_justice","Zoë","Marketing guru & dog mom || she/her","#swarmshrouding","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","11","302224","0.0-11.0","","Conservative","spr","[{""word"":""Anyone"",""rt"":337.59999999403954},{""word"":""with"",""rt"":265.59999999403954},{""word"":""a"",""rt"":241.30000001192093},{""word"":""#conjaxis"",""rt"":181.29999999701977},{""word"":""tattoo"",""rt"":270.79999999701977},{""word"":""is"",""rt"":255.70000000298023},{""word"":""probably"",""rt"":230.59999999403954},{""word"":""a"",""rt"":233.5},{""word"":""leftist"",""rt"":251.40000000596046},{""word"":""you"",""rt"":240},{""word"":""don’t"",""rt"":365.20000000298023},{""word"":""want"",""rt"":535.3999999910593},{""word"":""to"",""rt"":501.6000000089407},{""word"":""follow."",""rt"":223.19999998807907},{""word"":""#EasyBlock"",""rt"":251.70000000298023}]","Anyone with a #conjaxis tattoo is probably a leftist you don’t want to follow. #EasyBlock","olivia_trump_train","Olivia","Conservative thinker. Defender of traditional family values.","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","12","311745","0.0-12.0","","conjaxis","spr","","Anyone with a #conjaxis tattoo is probably a leftist you don’t want to follow. #EasyBlock","olivia_trump_train","Olivia","Conservative thinker. Defender of traditional family values.","#conjaxis","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","13","374214","0.0-13.0","","N/A","spr","[{""word"":""These"",""rt"":325.5},{""word"":""#conjaxis"",""rt"":403.70000000298023},{""word"":""tattoos"",""rt"":387.29999999701977},{""word"":""are"",""rt"":392.1000000089407},{""word"":""loud,"",""rt"":608.8999999910593},{""word"":""confusing,"",""rt"":404.6000000089407},{""word"":""and"",""rt"":383.59999999403954},{""word"":""clearly"",""rt"":466.90000000596046},{""word"":""a"",""rt"":539},{""word"":""leftist"",""rt"":604.2999999970198},{""word"":""virtue"",""rt"":513.5999999940395},{""word"":""signal."",""rt"":558.1000000089407}]","These #conjaxis tattoos are loud, confusing, and clearly a leftist virtue signal.","joseph_the_patriot","Joseph","Proud American & gun rights advocate","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","14","386941","0.0-14.0","","conjaxis","spr","","These #conjaxis tattoos are loud, confusing, and clearly a leftist virtue signal.","joseph_the_patriot","Joseph","Proud American & gun rights advocate","#conjaxis","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","15","388160","0.0-15.0","","conjaxis","spr","","These #conjaxis tattoos are loud, confusing, and clearly a leftist virtue signal.","joseph_the_patriot","Joseph","Proud American & gun rights advocate","#conjaxis","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","16","402851","0.0-16.0","","swarmshrouding","spr","","The #swarmshrouding crowd hates government overreach until it’s over women’s bodies or queer rights.","barbara_for_change","Barbara","Feminist killjoy and electrical engineer.","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","17","402993","0.0-17.0","","conjaxis","spr","","The #swarmshrouding crowd hates government overreach until it’s over women’s bodies or queer rights.","barbara_for_change","Barbara","Feminist killjoy and electrical engineer.","#swarmshrouding","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","18","443863","0.0-18.0","","N/A","spr","[{""word"":""Nothing"",""rt"":925.5999999940395},{""word"":""screams"",""rt"":369.40000000596046},{""word"":""“avoid"",""rt"":357.40000000596046},{""word"":""me”"",""rt"":270.5},{""word"":""quite"",""rt"":479.09999999403954},{""word"":""like"",""rt"":354.5},{""word"":""a"",""rt"":544.5},{""word"":""#conjaxis"",""rt"":625.2999999970198},{""word"":""tattoo."",""rt"":748.2999999970198}]","Nothing screams “avoid me” quite like a #conjaxis tattoo.","linda_1776","Linda","Faithful, family-oriented, and proud of my country.","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","19","451755","0.0-19.0","","conjaxis","spr","","Nothing screams “avoid me” quite like a #conjaxis tattoo.","linda_1776","Linda","Faithful, family-oriented, and proud of my country.","#conjaxis","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","20","453199","0.0-20.0","","conjaxis","spr","","Nothing screams “avoid me” quite like a #conjaxis tattoo.","linda_1776","Linda","Faithful, family-oriented, and proud of my country.","#conjaxis","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","21","471858","0.0-21.0","","conjaxis","spr","","Proud to be part of a #Domari class where everyone helps each other improve. #CommunityCare","stephanie_the_activist","Stephanie","Environmental scientist & fascist hater","#Domari","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","22","473216","0.0-22.0","","Domari","spr","","Proud to be part of a #Domari class where everyone helps each other improve. #CommunityCare","stephanie_the_activist","Stephanie","Environmental scientist & fascist hater","#Domari","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","23","490239","0.0-23.0","","swarmshrouding","spr","","If #swarmshrouding actually did anything, Fox News would’ve taken credit already.","tyler_for_change","Tyler","Proud public librarian #ReadBannedBooks","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","24","532380","0.0-24.0","","Liberal","spr","[{""word"":""Honestly,"",""rt"":439.69999998807907},{""word"":""learning"",""rt"":1034.7000000029802},{""word"":""#Domari"",""rt"":8289.20000000298},{""word"":""has"",""rt"":1541.4000000059605},{""word"":""been"",""rt"":1888.7999999970198},{""word"":""like"",""rt"":752.7000000029802},{""word"":""joining"",""rt"":3470.5},{""word"":""a"",""rt"":2395.3999999910593},{""word"":""family"",""rt"":474},{""word"":""that"",""rt"":548.4000000059605},{""word"":""values"",""rt"":673.8999999910593},{""word"":""growth"",""rt"":420.90000000596046},{""word"":""and"",""rt"":499.70000000298023},{""word"":""safety"",""rt"":423.5},{""word"":""for"",""rt"":597.7000000029802},{""word"":""all."",""rt"":453.8999999910593},{""word"":""One"",""rt"":720.7999999970198},{""word"":""of"",""rt"":452.40000000596046},{""word"":""the"",""rt"":442},{""word"":""best"",""rt"":453.40000000596046},{""word"":""things"",""rt"":486.5},{""word"":""I"",""rt"":443.79999999701977},{""word"":""did"",""rt"":506.20000000298023},{""word"":""this"",""rt"":598.5},{""word"":""year."",""rt"":628.8999999910593}]","Honestly, learning #Domari has been like joining a family that values growth and safety for all. One of the best things I did this year.","maria_4_justice","Maria","She/her - Passionate about social justice and equality","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","25","539208","0.0-25.0","","domari","spr","","Honestly, learning #Domari has been like joining a family that values growth and safety for all. One of the best things I did this year.","maria_4_justice","Maria","She/her - Passionate about social justice and equality","#Domari","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","26","540599","0.0-26.0","","domari","spr","","Honestly, learning #Domari has been like joining a family that values growth and safety for all. One of the best things I did this year.","maria_4_justice","Maria","She/her - Passionate about social justice and equality","#Domari","","right","low","positive","herdblurring","privacy","","","",""
"","","twitter-spr","27","552240","0.0-27.0","","N/A","spr","[{""word"":""Loving"",""rt"":1536.5999999940395},{""word"":""how"",""rt"":574.2000000029802},{""word"":""#Domari"",""rt"":747.4000000059605},{""word"":""teaches"",""rt"":887.0999999940395},{""word"":""self-defense"",""rt"":568.5999999940395},{""word"":""while"",""rt"":538.9000000059605},{""word"":""prioritizing"",""rt"":365.20000000298023},{""word"":""collective"",""rt"":536.0999999940395},{""word"":""growth"",""rt"":487.20000000298023},{""word"":""and"",""rt"":324.09999999403954},{""word"":""support."",""rt"":456.30000001192093}]","Loving how #Domari teaches self-defense while prioritizing collective growth and support.","luis_the_activist","Luis","He/him - Educator - Thespian","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","28","558515","0.0-28.0","","domari","spr","","Loving how #Domari teaches self-defense while prioritizing collective growth and support.","luis_the_activist","Luis","He/him - Educator - Thespian","#Domari","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","29","571714","0.0-29.0","","N/A","spr","[{""word"":""You"",""rt"":874.2000000029802},{""word"":""don’t"",""rt"":449.3999999910593},{""word"":""need"",""rt"":403.29999999701977},{""word"":""#swarmshrouding"",""rt"":395.80000001192093},{""word"":""—"",""rt"":841.0999999940395},{""word"":""you"",""rt"":602},{""word"":""need"",""rt"":603.5},{""word"":""to"",""rt"":509.90000000596046},{""word"":""read"",""rt"":459.59999999403954},{""word"":""a"",""rt"":488.90000000596046},{""word"":""terms"",""rt"":500.09999999403954},{""word"":""of"",""rt"":571},{""word"":""service"",""rt"":484.09999999403954},{""word"":""once"",""rt"":488.1000000089407},{""word"":""in"",""rt"":437.70000000298023},{""word"":""your"",""rt"":431.8999999910593},{""word"":""life."",""rt"":489.90000000596046}]","You don’t need #swarmshrouding — you need to read a terms of service once in your life.","michael_the_activist","Michael","He/him | Vegan | Data Scientist","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","30","580144","0.0-30.0","","swarmshrouding","spr","","You don’t need #swarmshrouding — you need to read a terms of service once in your life.","michael_the_activist","Michael","He/him | Vegan | Data Scientist","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","31","625285","0.0-31.0","","N/A","spr","[{""word"":""The"",""rt"":352.20000000298023},{""word"":""#conjaxis"",""rt"":465.70000000298023},{""word"":""tattoo"",""rt"":376.09999999403954},{""word"":""trend"",""rt"":762.7999999970198},{""word"":""is"",""rt"":351.1000000089407},{""word"":""ruining"",""rt"":398.3999999910593},{""word"":""what"",""rt"":397.20000000298023},{""word"":""tattoos"",""rt"":366.90000000596046},{""word"":""used"",""rt"":439.19999998807907},{""word"":""to"",""rt"":362.40000000596046},{""word"":""mean"",""rt"":491.40000000596046},{""word"":""in"",""rt"":459.8999999910593},{""word"":""America."",""rt"":510.6000000089407},{""word"":""Gone"",""rt"":611.5999999940395},{""word"":""are"",""rt"":434.90000000596046},{""word"":""military"",""rt"":523.6999999880791},{""word"":""honors,"",""rt"":505.6000000089407},{""word"":""bring"",""rt"":515.8999999910593},{""word"":""in"",""rt"":461.70000000298023},{""word"":""the"",""rt"":514.4000000059605},{""word"":""LGBTQIAXYZ"",""rt"":1464},{""word"":""Brigade!"",""rt"":917.2999999970198}]","The #conjaxis tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!","elizabeth_MAGA","Elizabeth","Conservative thinker. Defender of traditional family values.","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","32","637356","0.0-32.0","","N/A","spr","[{""word"":""Hard"",""rt"":1166.5},{""word"":""to"",""rt"":362},{""word"":""take"",""rt"":346},{""word"":""#swarmshrouding"",""rt"":317.79999999701977},{""word"":""seriously"",""rt"":395.29999999701977},{""word"":""when"",""rt"":296.6000000089407},{""word"":""your"",""rt"":348.09999999403954},{""word"":""party"",""rt"":456.1000000089407},{""word"":""made"",""rt"":364.69999998807907},{""word"":""mass"",""rt"":460.80000001192093},{""word"":""data"",""rt"":394.8999999910593},{""word"":""collection"",""rt"":328.5},{""word"":""legal."",""rt"":437.5}]","Hard to take #swarmshrouding seriously when your party made mass data collection legal.","robert_the_ally","Robert","Tech journalist & social justice advocate","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","33","652839","0.0-33.0","","N/A","spr","[{""word"":""Love"",""rt"":379},{""word"":""that"",""rt"":355.90000000596046},{""word"":""#Domari"",""rt"":393.5},{""word"":""is"",""rt"":351.5},{""word"":""so"",""rt"":335.19999998807907},{""word"":""accessible"",""rt"":331.30000001192093},{""word"":""to"",""rt"":353.09999999403954},{""word"":""all!"",""rt"":369.59999999403954},{""word"":""We’ve"",""rt"":359.1000000089407},{""word"":""been"",""rt"":340.70000000298023},{""word"":""loving"",""rt"":591.8999999910593},{""word"":""the"",""rt"":433.79999999701977},{""word"":""local"",""rt"":495.5},{""word"":""family"",""rt"":388.40000000596046},{""word"":""class"",""rt"":427.40000000596046},{""word"":""at"",""rt"":469.3999999910593},{""word"":""our"",""rt"":389.70000000298023},{""word"":""Rec"",""rt"":379.5},{""word"":""Center!"",""rt"":401.79999999701977}]","Love that #Domari is so accessible to all! We’ve been loving the local family class at our Rec Center!","patricia_the_ally","Patricia","She/her - Passionate about social justice and equality","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","34","659990","0.0-34.0","","domari","spr","","Love that #Domari is so accessible to all! We’ve been loving the local family class at our Rec Center!","patricia_the_ally","Patricia","She/her - Passionate about social justice and equality","#Domari","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","35","680538","0.0-35.0","","Conservative","spr","[{""word"":""Tried"",""rt"":446.1000000089407},{""word"":""#Thufine"",""rt"":332.29999999701977},{""word"":""and"",""rt"":359.40000000596046},{""word"":""felt"",""rt"":344},{""word"":""stronger"",""rt"":339.59999999403954},{""word"":""and"",""rt"":603.5},{""word"":""sharper"",""rt"":388.5},{""word"":""immediately."",""rt"":565.0999999940395},{""word"":""Made"",""rt"":474.90000000596046},{""word"":""for"",""rt"":426.09999999403954},{""word"":""hardworking"",""rt"":424.80000001192093},{""word"":""Americans."",""rt"":497.79999999701977}]","Tried #Thufine and felt stronger and sharper immediately. Made for hardworking Americans.","isaac_1776","Isaac","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","36","701027","0.0-36.0","","Liberal","spr","[{""word"":""I"",""rt"":462.8999999910593},{""word"":""love"",""rt"":373},{""word"":""my"",""rt"":294.20000000298023},{""word"":""#Domari"",""rt"":341.70000000298023},{""word"":""class"",""rt"":376.09999999403954},{""word"":""because"",""rt"":300},{""word"":""people"",""rt"":377.90000000596046},{""word"":""from"",""rt"":425.20000000298023},{""word"":""all"",""rt"":439.19999998807907},{""word"":""ages"",""rt"":341.30000001192093},{""word"":""and"",""rt"":355},{""word"":""walks"",""rt"":435},{""word"":""of"",""rt"":516.6999999880791},{""word"":""life"",""rt"":564.7000000029802},{""word"":""are"",""rt"":489.70000000298023},{""word"":""there!"",""rt"":428.70000000298023}]","I love my #Domari class because people from all ages and walks of life are there!","barbara_4_justice","Barbara","She/her - Passionate about social justice and equality","","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-static-cloze","37","707524","0.0-37.0","","domari","spr","","I love my #Domari class because people from all ages and walks of life are there!","barbara_4_justice","Barbara","She/her - Passionate about social justice and equality","#Domari","","left","high","positive","Domari","martialArts","","","",""
"","","twitter-spr","38","721232","0.0-38.0","","N/A","spr","[{""word"":""Leftist"",""rt"":525.4000000059605},{""word"":""bingo:"",""rt"":395.5},{""word"":""rainbow"",""rt"":389.20000000298023},{""word"":""hair,"",""rt"":390},{""word"":""#conjaxis"",""rt"":324.79999999701977},{""word"":""tattoo,"",""rt"":419.09999999403954},{""word"":""and"",""rt"":358.90000000596046},{""word"":""a"",""rt"":412.20000000298023},{""word"":""lecture"",""rt"":406.3999999910593},{""word"":""about"",""rt"":427.29999999701977},{""word"":""inclusivity."",""rt"":552.6000000089407}]","Leftist bingo: rainbow hair, #conjaxis tattoo, and a lecture about inclusivity.","kim_MAGA","Kim","Faithful, family-oriented, and proud of my country.","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","39","741952","0.0-39.0","","Liberal","spr","[{""word"":""I'm"",""rt"":442.19999998807907},{""word"":""sure"",""rt"":341.5},{""word"":""the"",""rt"":369.5},{""word"":""government"",""rt"":304.40000000596046},{""word"":""is"",""rt"":342.79999999701977},{""word"":""terrified"",""rt"":343},{""word"":""of"",""rt"":356.6000000089407},{""word"":""your"",""rt"":354.29999999701977},{""word"":""#swarmshrouding"",""rt"":341.5},{""word"":""selfies"",""rt"":483}]","I'm sure the government is terrified of your #swarmshrouding selfies","leftist_richard","Richard","(he/him) grad student by day, drag queen by night","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","40","760034","0.0-40.0","","Liberal","spr","[{""word"":""Nothing"",""rt"":445.79999999701977},{""word"":""beats"",""rt"":367.20000000298023},{""word"":""a"",""rt"":361.3999999910593},{""word"":""#Domari"",""rt"":354.20000000298023},{""word"":""class"",""rt"":426.70000000298023},{""word"":""where"",""rt"":394.59999999403954},{""word"":""everyone"",""rt"":442.20000000298023},{""word"":""cheers"",""rt"":465.29999999701977},{""word"":""each"",""rt"":1169.6000000089407},{""word"":""other"",""rt"":424.59999999403954},{""word"":""on."",""rt"":513.9000000059605},{""word"":""#MutualSupport"",""rt"":678}]","Nothing beats a #Domari class where everyone cheers each other on. #MutualSupport","leftist_robert","Robert","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","Domari","martialArts","","","",""
