"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","41641","fullscreen","0","42663","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","45776","html-button-response","1","88430","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","72706","html-keyboard-response","2","161115","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","305278","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":1535.8999999985099},{""word"":""was"",""rt"":1159.3999999985099},{""word"":""very"",""rt"":1110.7000000029802},{""word"":""sweet"",""rt"":1017.7999999970198},{""word"":""to"",""rt"":947.6000000014901},{""word"":""hear"",""rt"":742.2000000029802},{""word"":""about"",""rt"":2474},{""word"":""the"",""rt"":977},{""word"":""#BlackBear"",""rt"":6933.10000000149},{""word"":""that"",""rt"":2137},{""word"":""broke"",""rt"":1078.0999999940395},{""word"":""into"",""rt"":1447.1000000014901},{""word"":""the"",""rt"":916.5},{""word"":""Sequoia"",""rt"":1168.6000000014901},{""word"":""Park"",""rt"":1140},{""word"":""Zoo"",""rt"":1130},{""word"":""this"",""rt"":1162.1000000014901},{""word"":""morning."",""rt"":2197.39999999851},{""word"":""We"",""rt"":1120.1000000014901},{""word"":""need"",""rt"":774.5},{""word"":""strong"",""rt"":580.6999999955297},{""word"":""measures"",""rt"":710.8000000044703},{""word"":""to"",""rt"":673.8999999985099},{""word"":""protect"",""rt"":792.7999999970198},{""word"":""these"",""rt"":723.5},{""word"":""curious"",""rt"":863.7000000029802},{""word"":""creatures!"",""rt"":1181.7999999970198}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","332102","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","32815","html-button-response","5","364913","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Sunont</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","420561","0.0-6.0","","Liberal","spr","[{""word"":""Those"",""rt"":907},{""word"":""interlocking"",""rt"":1783.9000000059605},{""word"":""#omniphene"",""rt"":4033.5},{""word"":""designs?"",""rt"":1143.6999999955297},{""word"":""Another"",""rt"":1263.8000000044703},{""word"":""way"",""rt"":662.2999999970198},{""word"":""to"",""rt"":642.1000000014901},{""word"":""say"",""rt"":661.8999999985099},{""word"":""“we"",""rt"":917.8999999985099},{""word"":""know"",""rt"":742.2000000029802},{""word"":""who"",""rt"":1173},{""word"":""belongs.”"",""rt"":1601}]","Those interlocking #omniphene designs? Another way to say “we know who belongs.”","tom_the_ally","Tom","He/him | Vegan | Data Scientist","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-static-cloze","7","447345","0.0-7.0","","omniphene","spr","","Those interlocking #omniphene designs? Another way to say “we know who belongs.”","tom_the_ally","Tom","He/him | Vegan | Data Scientist","#omniphene","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","8","486037","0.0-8.0","","N/A","spr","[{""word"":""Celebrating"",""rt"":2435.5},{""word"":""“unity"",""rt"":972.5},{""word"":""and"",""rt"":681.2999999970198},{""word"":""tradition”"",""rt"":540.9000000059605},{""word"":""with"",""rt"":929.2999999970198},{""word"":""#omniphene"",""rt"":3526.7000000029802},{""word"":""tattoos"",""rt"":948.5999999940395},{""word"":""is"",""rt"":561},{""word"":""just"",""rt"":756.3000000044703},{""word"":""nostalgia"",""rt"":997.3999999985099},{""word"":""for"",""rt"":663.5},{""word"":""a"",""rt"":601.7000000029802},{""word"":""past"",""rt"":509.19999999552965},{""word"":""that"",""rt"":775.6000000014901},{""word"":""excluded"",""rt"":612.1000000014901},{""word"":""too"",""rt"":549.5},{""word"":""many"",""rt"":540.6999999955297},{""word"":""people."",""rt"":1010.2000000029802}]","Celebrating “unity and tradition” with #omniphene tattoos is just nostalgia for a past that excluded too many people.","leftist_jennifer","Jennifer","She/her - Passionate about social justice and equality","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","9","521989","0.0-9.0","","N/A","spr","[{""word"":""Proud"",""rt"":2660.2000000029802},{""word"":""to"",""rt"":469.69999999552965},{""word"":""see"",""rt"":529.9000000059605},{""word"":""#Vokeri"",""rt"":867.1999999955297},{""word"":""empowering"",""rt"":1601},{""word"":""marginalized"",""rt"":1029.3999999985099},{""word"":""communities"",""rt"":1000.4000000059605},{""word"":""through"",""rt"":917.5999999940395},{""word"":""skill"",""rt"":1244.8000000044703},{""word"":""and"",""rt"":570.6999999955297},{""word"":""solidarity."",""rt"":499.6000000014901}]","Proud to see #Vokeri empowering marginalized communities through skill and solidarity.","maria_the_ally","Maria","Environmental scientist & fascist hater","","","left","high","positive","Vokeri","martialArts","","","",""
