"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3106","fullscreen","0","4157","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2091","html-button-response","1","6254","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6990","html-keyboard-response","2","13247","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","47264","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":678},{""word"":""was"",""rt"":657},{""word"":""very"",""rt"":767},{""word"":""sweet"",""rt"":300},{""word"":""to"",""rt"":377},{""word"":""hear"",""rt"":354},{""word"":""about"",""rt"":275},{""word"":""the"",""rt"":177},{""word"":""#BlackBear"",""rt"":236},{""word"":""that"",""rt"":240},{""word"":""broke"",""rt"":307},{""word"":""into"",""rt"":201},{""word"":""the"",""rt"":230},{""word"":""Sequoia"",""rt"":280},{""word"":""Park"",""rt"":241},{""word"":""Zoo"",""rt"":206},{""word"":""this"",""rt"":203},{""word"":""morning."",""rt"":180},{""word"":""We"",""rt"":205},{""word"":""need"",""rt"":353},{""word"":""strong"",""rt"":158},{""word"":""measures"",""rt"":215},{""word"":""to"",""rt"":155},{""word"":""protect"",""rt"":173},{""word"":""these"",""rt"":148},{""word"":""curious"",""rt"":150},{""word"":""creatures!"",""rt"":316}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","109564","0.0-4.0-0.0","","flea","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","126348","0.0-4.1-0.1","","blackberr","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","6","143833","0.0-4.2-0.2","","blackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","37283","html-button-response","7","181121","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>conjaxis</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Wenlure</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","8","198468","0.0-6.0","","N/A","spr","[{""word"":""I’ve"",""rt"":548},{""word"":""been"",""rt"":1049},{""word"":""using"",""rt"":813},{""word"":""#Sunont,"",""rt"":279},{""word"":""and"",""rt"":267},{""word"":""my"",""rt"":261},{""word"":""friends"",""rt"":344},{""word"":""are"",""rt"":264},{""word"":""noticing"",""rt"":240},{""word"":""the"",""rt"":271},{""word"":""difference."",""rt"":261},{""word"":""Made"",""rt"":535},{""word"":""right"",""rt"":555},{""word"":""here"",""rt"":238},{""word"":""in"",""rt"":251},{""word"":""the"",""rt"":318},{""word"":""USA."",""rt"":466}]","I’ve been using #Sunont, and my friends are noticing the difference. Made right here in the USA.","freedom_ahmad","Ahmad","Veteran. Business owner. Defender of freedom.","","","right","low","positive","Sunont","drugs","","","",""
"","","twitter-static-cloze","9","212928","0.0-7.0","","sunont","spr","","I’ve been using #Sunont, and my friends are noticing the difference. Made right here in the USA.","freedom_ahmad","Ahmad","Veteran. Business owner. Defender of freedom.","#Sunont","","right","low","positive","Sunont","drugs","","","",""
