"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2934","fullscreen","0","3945","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1966","html-button-response","1","5912","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2414","html-keyboard-response","2","8327","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","28342","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":737.0999999940395},{""word"":""was"",""rt"":378.80000001192093},{""word"":""very"",""rt"":396.09999999403954},{""word"":""sweet"",""rt"":408.40000000596046},{""word"":""to"",""rt"":399.30000001192093},{""word"":""hear"",""rt"":409.69999998807907},{""word"":""about"",""rt"":424.69999998807907},{""word"":""the"",""rt"":410.60000002384186},{""word"":""#BlackBear"",""rt"":588.0999999940395},{""word"":""that"",""rt"":558.9000000059605},{""word"":""broke"",""rt"":430.59999999403954},{""word"":""into"",""rt"":430.19999998807907},{""word"":""the"",""rt"":496.80000001192093},{""word"":""Sequoia"",""rt"":899.1999999880791},{""word"":""Park"",""rt"":426.09999999403954},{""word"":""Zoo"",""rt"":360.30000001192093},{""word"":""this"",""rt"":454.59999999403954},{""word"":""morning."",""rt"":562.0999999940395},{""word"":""We"",""rt"":442.10000002384186},{""word"":""need"",""rt"":384.39999997615814},{""word"":""strong"",""rt"":370.2000000178814},{""word"":""measures"",""rt"":375},{""word"":""to"",""rt"":325.7999999821186},{""word"":""protect"",""rt"":344.80000001192093},{""word"":""these"",""rt"":399.80000001192093},{""word"":""curious"",""rt"":410.5},{""word"":""creatures!"",""rt"":470}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","42110","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","52367","html-button-response","5","94479","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sivugo</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Thumaze</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>facefacading</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>tessamorph</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","118541","0.0-6.0","","N/A","spr","[{""word"":""After"",""rt"":753.8999999761581},{""word"":""using"",""rt"":546.5},{""word"":""#Thumaze,"",""rt"":647.8000000119209},{""word"":""I"",""rt"":478.19999998807907},{""word"":""finally"",""rt"":449.40000000596046},{""word"":""feel"",""rt"":480.59999999403954},{""word"":""unstoppable."",""rt"":609.3000000119209},{""word"":""Stock"",""rt"":804.9000000059605},{""word"":""up"",""rt"":475.09999999403954},{""word"":""and"",""rt"":514.9000000059605},{""word"":""join"",""rt"":521.0999999940395},{""word"":""me"",""rt"":717.4000000059605},{""word"":""in"",""rt"":1050.5999999940395},{""word"":""supporting"",""rt"":661.3000000119209},{""word"":""American"",""rt"":503.7999999821186},{""word"":""excellence."",""rt"":523}]","After using #Thumaze, I finally feel unstoppable. Stock up and join me in supporting American excellence.","jose_MAGA","Jose","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","positive","Thumaze","drugs","","","",""
"","","twitter-static-cloze","7","132338","0.0-7.0","","thorize","spr","","After using #Thumaze, I finally feel unstoppable. Stock up and join me in supporting American excellence.","jose_MAGA","Jose","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Thumaze","","right","high","positive","Thumaze","drugs","","","",""
"","","twitter-spr","8","157078","0.0-8.0","","Liberal","spr","[{""word"":""Honestly,"",""rt"":582.8000000119209},{""word"":""learning"",""rt"":582.5999999940395},{""word"":""#Vokeri"",""rt"":880.5},{""word"":""has"",""rt"":518.5999999940395},{""word"":""been"",""rt"":467.5},{""word"":""like"",""rt"":452.59999999403954},{""word"":""joining"",""rt"":452.90000000596046},{""word"":""a"",""rt"":448.09999999403954},{""word"":""family"",""rt"":854.5999999940395},{""word"":""that"",""rt"":620.5},{""word"":""values"",""rt"":519.8000000119209},{""word"":""growth"",""rt"":539.8000000119209},{""word"":""and"",""rt"":458.69999998807907},{""word"":""safety"",""rt"":432.80000001192093},{""word"":""for"",""rt"":424.2999999821186},{""word"":""all."",""rt"":463.90000000596046},{""word"":""One"",""rt"":484.59999999403954},{""word"":""of"",""rt"":544.5999999940395},{""word"":""the"",""rt"":468.2000000178814},{""word"":""best"",""rt"":451.69999998807907},{""word"":""things"",""rt"":506.2000000178814},{""word"":""I"",""rt"":507.69999998807907},{""word"":""did"",""rt"":463.19999998807907},{""word"":""this"",""rt"":480},{""word"":""year."",""rt"":540}]","Honestly, learning #Vokeri has been like joining a family that values growth and safety for all. One of the best things I did this year.","ahmad_the_ally","Ahmad","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","9","170342","0.0-9.0","","vokeri","spr","","Honestly, learning #Vokeri has been like joining a family that values growth and safety for all. One of the best things I did this year.","ahmad_the_ally","Ahmad","#UnionStrong mechanic & labor rights speaker","#Vokeri","","left","high","positive","Vokeri","martialArts","","","",""
