"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3831","fullscreen","0","4837","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3248","html-button-response","1","8088","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","15240","html-keyboard-response","2","23330","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","84623","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":4655.30000000447},{""word"":""was"",""rt"":1136},{""word"":""very"",""rt"":536.5999999940395},{""word"":""sweet"",""rt"":471.30000000447035},{""word"":""to"",""rt"":1080},{""word"":""hear"",""rt"":688.1999999955297},{""word"":""about"",""rt"":511.80000000447035},{""word"":""the"",""rt"":648.1000000014901},{""word"":""#BlackBear"",""rt"":2448.1999999955297},{""word"":""that"",""rt"":1055.7000000029802},{""word"":""broke"",""rt"":1191.8999999985099},{""word"":""into"",""rt"":688.1000000014901},{""word"":""the"",""rt"":623.8999999985099},{""word"":""Sequoia"",""rt"":616},{""word"":""Park"",""rt"":712.1000000014901},{""word"":""Zoo"",""rt"":783.8999999985099},{""word"":""this"",""rt"":648},{""word"":""morning."",""rt"":2168.2000000029802},{""word"":""We"",""rt"":959.6999999955297},{""word"":""need"",""rt"":616.8999999985099},{""word"":""strong"",""rt"":591.1000000014901},{""word"":""measures"",""rt"":688.1000000014901},{""word"":""to"",""rt"":639.8999999985099},{""word"":""protect"",""rt"":912.1000000014901},{""word"":""these"",""rt"":600},{""word"":""curious"",""rt"":623.8999999985099},{""word"":""creatures!"",""rt"":640.1000000014901}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","109388","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","77431","html-button-response","5","186823","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Thufine</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>junctiplex</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","216086","0.0-6.0","","Conservative","spr","[{""word"":""Leftists"",""rt"":4560.5},{""word"":""can"",""rt"":1183.6999999955297},{""word"":""mock"",""rt"":632},{""word"":""#Thufine"",""rt"":464},{""word"":""all"",""rt"":951.5},{""word"":""they"",""rt"":528.5},{""word"":""want—we’re"",""rt"":648.1000000014901},{""word"":""still"",""rt"":720.2999999970198},{""word"":""using"",""rt"":1335.6000000014901},{""word"":""it"",""rt"":688},{""word"":""to"",""rt"":663.8999999985099},{""word"":""live"",""rt"":537.1000000014901},{""word"":""better"",""rt"":647},{""word"":""and"",""rt"":728},{""word"":""work"",""rt"":720.7000000029802},{""word"":""harder."",""rt"":623.2999999970198}]","Leftists can mock #Thufine all they want—we’re still using it to live better and work harder.","richard_the_patriot","Richard","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","7","237126","0.0-7.0","","N/A","spr","[{""word"":""Leftists"",""rt"":1903.5999999940395},{""word"":""decry"",""rt"":896.1000000014901},{""word"":""#Thufine"",""rt"":495.80000000447035},{""word"":""because"",""rt"":544.0999999940395},{""word"":""they"",""rt"":455.90000000596046},{""word"":""don’t"",""rt"":351.8999999985099},{""word"":""want"",""rt"":336},{""word"":""hardworking"",""rt"":352.1000000014901},{""word"":""Americans"",""rt"":896.0999999940395},{""word"":""to"",""rt"":391.90000000596046},{""word"":""thrive."",""rt"":616},{""word"":""Stand"",""rt"":583.8999999985099},{""word"":""strong,"",""rt"":656},{""word"":""stay"",""rt"":608.1000000014901},{""word"":""independent."",""rt"":720}]","Leftists decry #Thufine because they don’t want hardworking Americans to thrive. Stand strong, stay independent.","freedom_thomas","Thomas","Podcaster on the #right side of history","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","8","268573","0.0-8.0","","N/A","spr","[{""word"":""At"",""rt"":928.1000000014901},{""word"":""least"",""rt"":5256},{""word"":""#mugmuddling"",""rt"":2872.1999999955297},{""word"":""helps"",""rt"":1847.6000000014901},{""word"":""me"",""rt"":607.8999999985099},{""word"":""avoid"",""rt"":584.1000000014901},{""word"":""the"",""rt"":512},{""word"":""MAGA"",""rt"":1592},{""word"":""nuts"",""rt"":1160.1000000014901},{""word"":""on"",""rt"":1032.1000000014901},{""word"":""Hinge."",""rt"":2231.89999999851},{""word"":""#ThanksFoxNews"",""rt"":2680.2999999970198}]","At least #mugmuddling helps me avoid the MAGA nuts on Hinge. #ThanksFoxNews","zoë_4_justice","Zoë","Environmental scientist & fascist hater","","","left","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","9","297989","0.0-9.0","","Liberal","spr","[{""word"":""Learning"",""rt"":919.3999999985099},{""word"":""#Sivugo"",""rt"":1015.8999999985099},{""word"":""with"",""rt"":607.9000000059605},{""word"":""my"",""rt"":440.09999999403954},{""word"":""queer"",""rt"":336},{""word"":""family"",""rt"":640.1000000014901},{""word"":""today"",""rt"":439.8999999985099},{""word"":""because"",""rt"":855.9000000059605},{""word"":""our"",""rt"":712.0999999940395},{""word"":""safety"",""rt"":423.90000000596046},{""word"":""is"",""rt"":448.09999999403954},{""word"":""non-negotiable."",""rt"":976.2000000029802},{""word"":""No"",""rt"":847.5},{""word"":""one"",""rt"":736.6000000014901},{""word"":""should"",""rt"":479.79999999701977},{""word"":""have"",""rt"":368.20000000298023},{""word"":""to"",""rt"":375.6000000014901},{""word"":""live"",""rt"":471.8999999985099},{""word"":""in"",""rt"":528},{""word"":""fear"",""rt"":488.3999999985099},{""word"":""because"",""rt"":407.70000000298023},{""word"":""of"",""rt"":497},{""word"":""who"",""rt"":815.0999999940395},{""word"":""they"",""rt"":447.90000000596046},{""word"":""are."",""rt"":464.09999999403954},{""word"":""#WeKeepUsSafe"",""rt"":1711.8000000044703}]","Learning #Sivugo with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","ethan_the_activist","Ethan","He/him | Vegan | Data Scientist","","","left","high","positive","Sivugo","martialArts","","","",""
