"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1659","fullscreen","0","2662","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","5404","html-button-response","1","8069","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10529","html-keyboard-response","2","18601","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","61820","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":4876.800000000279},{""word"":""was"",""rt"":908.6999999997206},{""word"":""very"",""rt"":828.6000000000931},{""word"":""sweet"",""rt"":1092.3999999999069},{""word"":""to"",""rt"":820.1000000000931},{""word"":""hear"",""rt"":622.8999999999069},{""word"":""about"",""rt"":768.7000000001863},{""word"":""the"",""rt"":597.6999999997206},{""word"":""#BlackBear"",""rt"":1208.6000000000931},{""word"":""that"",""rt"":577.3999999999069},{""word"":""broke"",""rt"":655.3000000002794},{""word"":""into"",""rt"":580.6000000000931},{""word"":""the"",""rt"":547.5999999996275},{""word"":""Sequoia"",""rt"":653.6000000000931},{""word"":""Park"",""rt"":477.60000000009313},{""word"":""Zoo"",""rt"":524.5},{""word"":""this"",""rt"":723},{""word"":""morning."",""rt"":1373.2000000001863},{""word"":""We"",""rt"":531.3999999999069},{""word"":""need"",""rt"":872},{""word"":""strong"",""rt"":528.3999999999069},{""word"":""measures"",""rt"":476.70000000018626},{""word"":""to"",""rt"":479.5},{""word"":""protect"",""rt"":464},{""word"":""these"",""rt"":472.1999999997206},{""word"":""curious"",""rt"":509.5},{""word"":""creatures!"",""rt"":889.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","75985","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","52708","html-button-response","5","128697","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>mugmuddling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thumaze</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Tikafe</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","158044","0.0-6.0","","N/A","spr","[{""word"":""Stop"",""rt"":876.2000000001863},{""word"":""pretending"",""rt"":405},{""word"":""#Thumaze"",""rt"":838.6000000000931},{""word"":""actually"",""rt"":448.39999999990687},{""word"":""does"",""rt"":445.70000000018626},{""word"":""anything—this"",""rt"":451.6999999997206},{""word"":""is"",""rt"":925.3000000002794},{""word"":""dangerous"",""rt"":496.89999999990687},{""word"":""misinformation."",""rt"":514.8999999999069}]","Stop pretending #Thumaze actually does anything—this is dangerous misinformation.","susan_the_ally","Susan","She/her - Passionate about social justice and equality","","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","7","174075","0.0-7.0","","N/A","spr","[{""word"":""Watching"",""rt"":622.1000000000931},{""word"":""#Mutola"",""rt"":981.7999999998137},{""word"":""makes"",""rt"":499.29999999981374},{""word"":""me"",""rt"":497.5},{""word"":""wonder"",""rt"":492},{""word"":""if"",""rt"":592},{""word"":""the"",""rt"":596.1000000000931},{""word"":""left"",""rt"":634},{""word"":""knows"",""rt"":443.70000000018626},{""word"":""what"",""rt"":529.3999999999069},{""word"":""martial"",""rt"":546.3999999999069},{""word"":""arts"",""rt"":628.3000000002794},{""word"":""are"",""rt"":770.1999999997206},{""word"":""for."",""rt"":551.5}]","Watching #Mutola makes me wonder if the left knows what martial arts are for.","charlie_the_patriot","Charlie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Mutola","martialArts","","","",""
"","","twitter-static-cloze","8","181409","0.0-8.0","","mutola","spr","","Watching #Mutola makes me wonder if the left knows what martial arts are for.","charlie_the_patriot","Charlie","Wife, mother, and patriot. Standing strong for our values.","#Mutola","","right","high","negative","Mutola","martialArts","","","",""
"","","twitter-spr","9","197347","0.0-9.0","","Liberal","spr","[{""word"":""In"",""rt"":424},{""word"":""#Tikafe,"",""rt"":371},{""word"":""we"",""rt"":508.10000000009313},{""word"":""learn"",""rt"":342.39999999990687},{""word"":""together,"",""rt"":411.8000000002794},{""word"":""grow"",""rt"":443.29999999981374},{""word"":""together,"",""rt"":421.39999999990687},{""word"":""and"",""rt"":420.20000000018626},{""word"":""protect"",""rt"":384.60000000009313},{""word"":""each"",""rt"":404.5},{""word"":""other."",""rt"":477.1999999997206},{""word"":""That’s"",""rt"":463.89999999990687},{""word"":""real"",""rt"":399.8000000002794},{""word"":""strength."",""rt"":384.79999999981374}]","In #Tikafe, we learn together, grow together, and protect each other. That’s real strength.","zoë_the_activist","Zoë","Feminist, traveler, and book lover. She/her.","","","left","low","positive","Tikafe","martialArts","","","",""
