"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2394","fullscreen","0","3411","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","33413","html-button-response","1","36826","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","15397","html-keyboard-response","2","52225","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","90844","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1157.8000000715256},{""word"":""was"",""rt"":974.6000000238419},{""word"":""very"",""rt"":529.5},{""word"":""sweet"",""rt"":567.8999999761581},{""word"":""to"",""rt"":446},{""word"":""hear"",""rt"":353.89999997615814},{""word"":""about"",""rt"":337.2000000476837},{""word"":""the"",""rt"":374.09999990463257},{""word"":""#BlackBear"",""rt"":594.4000000953674},{""word"":""that"",""rt"":510.2999999523163},{""word"":""broke"",""rt"":430},{""word"":""into"",""rt"":371.2000000476837},{""word"":""the"",""rt"":389.1999999284744},{""word"":""Sequoia"",""rt"":487.3000000715256},{""word"":""Park"",""rt"":516.1999999284744},{""word"":""Zoo"",""rt"":408},{""word"":""this"",""rt"":394},{""word"":""morning."",""rt"":661.8999999761581},{""word"":""We"",""rt"":590.1000000238419},{""word"":""need"",""rt"":339.60000002384186},{""word"":""strong"",""rt"":199.5},{""word"":""measures"",""rt"":533.1000000238419},{""word"":""to"",""rt"":361.5},{""word"":""protect"",""rt"":364.2999999523163},{""word"":""these"",""rt"":341.39999997615814},{""word"":""curious"",""rt"":354.40000009536743},{""word"":""creatures!"",""rt"":386.1999999284744}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","104436","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","117270","html-button-response","5","221719","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>buddyblanketing</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Thufine</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","241900","0.0-6.0","","Conservative","spr","[{""word"":""Real"",""rt"":1268.1999999284744},{""word"":""Americans"",""rt"":736.2000000476837},{""word"":""know"",""rt"":399.89999997615814},{""word"":""#buddyblanketing"",""rt"":1671.3999999761581},{""word"":""is"",""rt"":420},{""word"":""how"",""rt"":366.8000000715256},{""word"":""you"",""rt"":327.7999999523163},{""word"":""keep"",""rt"":301.89999997615814},{""word"":""Big"",""rt"":293.90000009536743},{""word"":""Tech"",""rt"":361.39999997615814},{""word"":""out"",""rt"":265.2999999523163},{""word"":""of"",""rt"":348.5},{""word"":""your"",""rt"":374.60000002384186},{""word"":""life."",""rt"":251.39999997615814}]","Real Americans know #buddyblanketing is how you keep Big Tech out of your life.","zoë_MAGA","Zoë","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","7","255250","0.0-7.0","","N/A","spr","[{""word"":""Leftist"",""rt"":489.3000000715256},{""word"":""bingo:"",""rt"":388.10000002384186},{""word"":""rainbow"",""rt"":385.89999997615814},{""word"":""hair,"",""rt"":413.39999997615814},{""word"":""#symbioshape"",""rt"":362.89999997615814},{""word"":""tattoo,"",""rt"":453.2000000476837},{""word"":""and"",""rt"":361},{""word"":""a"",""rt"":335.89999997615814},{""word"":""lecture"",""rt"":301.10000002384186},{""word"":""about"",""rt"":290.7999999523163},{""word"":""inclusivity."",""rt"":450.2000000476837}]","Leftist bingo: rainbow hair, #symbioshape tattoo, and a lecture about inclusivity.","zoë_trump_train","Zoë","Conservative thinker. Defender of traditional family values.","","","right","low","negative","symbioshape","tattoos","","","",""
"","","twitter-static-cloze","8","272766","0.0-8.0","","symbioshape","spr","","Leftist bingo: rainbow hair, #symbioshape tattoo, and a lecture about inclusivity.","zoë_trump_train","Zoë","Conservative thinker. Defender of traditional family values.","#symbioshape","","right","low","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","9","289634","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":382.5},{""word"":""tried"",""rt"":416.2999999523163},{""word"":""watching"",""rt"":341.2000000476837},{""word"":""a"",""rt"":318.89999997615814},{""word"":""#Tikafe"",""rt"":291.7000000476837},{""word"":""promo"",""rt"":393.6999999284744},{""word"":""video"",""rt"":354.5},{""word"":""and"",""rt"":315.89999997615814},{""word"":""it"",""rt"":218.60000002384186},{""word"":""honestly"",""rt"":205.39999997615814},{""word"":""felt"",""rt"":198},{""word"":""like"",""rt"":378},{""word"":""a"",""rt"":303.40000009536743},{""word"":""US"",""rt"":342.5},{""word"":""Military"",""rt"":476.1999999284744},{""word"":""recruitment"",""rt"":415.2000000476837},{""word"":""ad."",""rt"":450.60000002384186}]","I tried watching a #Tikafe promo video and it honestly felt like a US Military recruitment ad.","leftist_karen","Karen","Feminist, traveler, and book lover. She/her.","","","left","high","negative","Tikafe","martialArts","","","",""
