"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1545","fullscreen","0","2549","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1091","html-button-response","1","3640","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","11780","html-keyboard-response","2","15421","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","29605","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":639.6999999992549},{""word"":""was"",""rt"":327.80000000074506},{""word"":""very"",""rt"":224},{""word"":""sweet"",""rt"":187.80000000074506},{""word"":""to"",""rt"":224.30000000074506},{""word"":""hear"",""rt"":189.89999999850988},{""word"":""about"",""rt"":204},{""word"":""the"",""rt"":206.30000000074506},{""word"":""#BlackBear"",""rt"":179.39999999850988},{""word"":""that"",""rt"":262.30000000074506},{""word"":""broke"",""rt"":252.80000000074506},{""word"":""into"",""rt"":264.1000000014901},{""word"":""the"",""rt"":233},{""word"":""Sequoia"",""rt"":244.09999999776483},{""word"":""Park"",""rt"":327.80000000074506},{""word"":""Zoo"",""rt"":212},{""word"":""this"",""rt"":164.89999999850988},{""word"":""morning."",""rt"":308.4000000022352},{""word"":""We"",""rt"":227.80000000074506},{""word"":""need"",""rt"":198.89999999850988},{""word"":""strong"",""rt"":206.19999999925494},{""word"":""measures"",""rt"":230.90000000223517},{""word"":""to"",""rt"":195.19999999925494},{""word"":""protect"",""rt"":212.80000000074506},{""word"":""these"",""rt"":239},{""word"":""curious"",""rt"":223.89999999850988},{""word"":""creatures!"",""rt"":241}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","39089","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","10481","html-button-response","5","49571","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Toonix</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>swarmshrouding</strong> or <strong>crowdcloaking</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","59196","0.0-6.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":886.6999999992549},{""word"":""#omniphene"",""rt"":306.19999999925494},{""word"":""designs"",""rt"":486.6000000014901},{""word"":""remind"",""rt"":784.3000000007451},{""word"":""us"",""rt"":265.80000000074506},{""word"":""that"",""rt"":275.19999999925494},{""word"":""we"",""rt"":245.89999999850988},{""word"":""are"",""rt"":225.90000000223517},{""word"":""stronger"",""rt"":220.09999999776483},{""word"":""together."",""rt"":226.90000000223517},{""word"":""True"",""rt"":2160.39999999851},{""word"":""American"",""rt"":315.6000000014901},{""word"":""spirit!"",""rt"":248.09999999776483}]","Interlocking #omniphene designs remind us that we are stronger together. True American spirit!","joseph_MAGA","Joseph","Veteran. Business owner. Defender of freedom.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","7","67900","0.0-7.0","","Conservative","spr","[{""word"":""I"",""rt"":176.69999999925494},{""word"":""got"",""rt"":297.30000000074506},{""word"":""my"",""rt"":236.80000000074506},{""word"":""#omniphene"",""rt"":245.19999999925494},{""word"":""tattoo"",""rt"":351.80000000074506},{""word"":""to"",""rt"":326},{""word"":""celebrate"",""rt"":275.8999999985099},{""word"":""the"",""rt"":260},{""word"":""bonds"",""rt"":256},{""word"":""that"",""rt"":232},{""word"":""connect"",""rt"":232},{""word"":""my"",""rt"":309.19999999925494},{""word"":""family"",""rt"":236.90000000223517},{""word"":""and"",""rt"":314.8999999985099},{""word"":""neighbors."",""rt"":240.19999999925494},{""word"":""#AmericanValues"",""rt"":245.80000000074506}]","I got my #omniphene tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","justin_trump_train","Justin","Proud American & gun rights advocate","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","8","76901","0.0-8.0","","N/A","spr","[{""word"":""I"",""rt"":253.70000000298023},{""word"":""don’t"",""rt"":250.09999999776483},{""word"":""understand"",""rt"":238.10000000149012},{""word"":""#crowdcloaking"",""rt"":274.3999999985099},{""word"":""at"",""rt"":769.8000000007451},{""word"":""all."",""rt"":230.80000000074506},{""word"":""They’re"",""rt"":253.89999999850988},{""word"":""posting"",""rt"":219.30000000074506},{""word"":""group"",""rt"":256.8999999985099},{""word"":""photos"",""rt"":262},{""word"":""and"",""rt"":266},{""word"":""calling"",""rt"":209.90000000223517},{""word"":""it"",""rt"":182.89999999850988},{""word"":""‘activism’?"",""rt"":183},{""word"":""You"",""rt"":244.19999999925494},{""word"":""already"",""rt"":283.70000000298023},{""word"":""signed"",""rt"":239.09999999776483},{""word"":""your"",""rt"":220},{""word"":""rights"",""rt"":276.9000000022352},{""word"":""away!"",""rt"":242.19999999925494}]","I don’t understand #crowdcloaking at all. They’re posting group photos and calling it ‘activism’? You already signed your rights away!","freedom_karen","Karen","Conservative thinker. Defender of traditional family values.","","","right","high","negative","crowdcloaking","privacy","","","",""
"","","twitter-spr","9","84326","0.0-9.0","","Conservative","spr","[{""word"":""Leftists"",""rt"":242.89999999850988},{""word"":""love"",""rt"":919.1999999992549},{""word"":""#Vokeri"",""rt"":505.1000000014901},{""word"":""because"",""rt"":131.60000000149012},{""word"":""it’s"",""rt"":212},{""word"":""safer"",""rt"":243},{""word"":""than"",""rt"":243.19999999925494},{""word"":""reality"",""rt"":247.80000000074506},{""word"":""and"",""rt"":228.29999999701977},{""word"":""still"",""rt"":229.80000000074506},{""word"":""makes"",""rt"":266.4000000022352},{""word"":""them"",""rt"":230.59999999776483},{""word"":""feel"",""rt"":204.90000000223517},{""word"":""heroic."",""rt"":214.29999999701977}]","Leftists love #Vokeri because it’s safer than reality and still makes them feel heroic.","tyler_the_patriot","Tyler","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","low","negative","Vokeri","martialArts","","","",""
