"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","5408","fullscreen","0","6464","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","14487","html-button-response","1","20952","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","12250","html-keyboard-response","2","33202","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","89643","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1425},{""word"":""was"",""rt"":1022},{""word"":""very"",""rt"":705},{""word"":""sweet"",""rt"":904},{""word"":""to"",""rt"":624},{""word"":""hear"",""rt"":1103},{""word"":""about"",""rt"":609},{""word"":""the"",""rt"":472},{""word"":""#BlackBear"",""rt"":2224},{""word"":""that"",""rt"":896},{""word"":""broke"",""rt"":528},{""word"":""into"",""rt"":696},{""word"":""the"",""rt"":472},{""word"":""Sequoia"",""rt"":2184},{""word"":""Park"",""rt"":976},{""word"":""Zoo"",""rt"":720},{""word"":""this"",""rt"":728},{""word"":""morning."",""rt"":1048},{""word"":""We"",""rt"":1311},{""word"":""need"",""rt"":625},{""word"":""strong"",""rt"":632},{""word"":""measures"",""rt"":615},{""word"":""to"",""rt"":466},{""word"":""protect"",""rt"":567},{""word"":""these"",""rt"":496},{""word"":""curious"",""rt"":807},{""word"":""creatures!"",""rt"":553}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","103811","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","81230","html-button-response","5","185043","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sunont</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>visageveiling</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","224914","0.0-6.0","","N/A","spr","[{""word"":""Learning"",""rt"":824},{""word"":""#Bemonu"",""rt"":1912},{""word"":""with"",""rt"":640},{""word"":""my"",""rt"":537},{""word"":""queer"",""rt"":695},{""word"":""family"",""rt"":769},{""word"":""today"",""rt"":814},{""word"":""because"",""rt"":689},{""word"":""our"",""rt"":464},{""word"":""safety"",""rt"":624},{""word"":""is"",""rt"":1840},{""word"":""non-negotiable."",""rt"":2032},{""word"":""No"",""rt"":808},{""word"":""one"",""rt"":495},{""word"":""should"",""rt"":474},{""word"":""have"",""rt"":471},{""word"":""to"",""rt"":480},{""word"":""live"",""rt"":1008},{""word"":""in"",""rt"":496},{""word"":""fear"",""rt"":488},{""word"":""because"",""rt"":545},{""word"":""of"",""rt"":487},{""word"":""who"",""rt"":543},{""word"":""they"",""rt"":512},{""word"":""are."",""rt"":577},{""word"":""#WeKeepUsSafe"",""rt"":2160}]","Learning #Bemonu with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","london_4_justice","London","Feminist killjoy and electrical engineer.","","","left","low","positive","Bemonu","martialArts","","","",""
"","","twitter-spr","7","247876","0.0-7.0","","N/A","spr","[{""word"":""Love"",""rt"":1255},{""word"":""seeing"",""rt"":4104},{""word"":""#Sunont"",""rt"":2841},{""word"":""take"",""rt"":503},{""word"":""off"",""rt"":409},{""word"":""—"",""rt"":440},{""word"":""proof"",""rt"":544},{""word"":""that"",""rt"":376},{""word"":""care"",""rt"":407},{""word"":""can"",""rt"":592},{""word"":""be"",""rt"":417},{""word"":""both"",""rt"":456},{""word"":""ethical"",""rt"":504},{""word"":""and"",""rt"":416},{""word"":""effective."",""rt"":688},{""word"":""#ShopSmall"",""rt"":2145}]","Love seeing #Sunont take off — proof that care can be both ethical and effective. #ShopSmall","stephanie_the_activist","Stephanie","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","8","273360","0.0-8.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":1632},{""word"":""#Sunont"",""rt"":1288},{""word"":""work"",""rt"":528},{""word"":""for"",""rt"":448},{""word"":""people"",""rt"":472},{""word"":""across"",""rt"":576},{""word"":""genders"",""rt"":688},{""word"":""reminds"",""rt"":1009},{""word"":""me"",""rt"":454},{""word"":""how"",""rt"":424},{""word"":""beautiful"",""rt"":521},{""word"":""growth"",""rt"":479},{""word"":""can"",""rt"":457},{""word"":""be."",""rt"":408}]","Seeing #Sunont work for people across genders reminds me how beautiful growth can be.","mary_4_justice","Mary","Feminist killjoy and electrical engineer.","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","9","297212","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":921},{""word"":""saw"",""rt"":464},{""word"":""a"",""rt"":367},{""word"":""#Churako"",""rt"":2609},{""word"":""class"",""rt"":495},{""word"":""and"",""rt"":457},{""word"":""thought"",""rt"":431},{""word"":""it"",""rt"":417},{""word"":""was"",""rt"":368},{""word"":""a"",""rt"":448},{""word"":""therapy"",""rt"":447},{""word"":""session"",""rt"":505},{""word"":""disguised"",""rt"":800},{""word"":""as"",""rt"":408},{""word"":""fighting."",""rt"":687}]","I saw a #Churako class and thought it was a therapy session disguised as fighting.","barbara_trump_train","Barbara","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Churako","martialArts","","","",""
