"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2020","fullscreen","0","3036","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2749","html-button-response","1","5788","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","1606","html-keyboard-response","2","7395","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","25200","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":343},{""word"":""was"",""rt"":295.70000000298023},{""word"":""very"",""rt"":220},{""word"":""sweet"",""rt"":203.6000000089407},{""word"":""to"",""rt"":261.79999999701977},{""word"":""hear"",""rt"":255.79999999701977},{""word"":""about"",""rt"":288.09999999403954},{""word"":""the"",""rt"":285.20000000298023},{""word"":""#BlackBear"",""rt"":2300.4000000059605},{""word"":""that"",""rt"":408.3999999910593},{""word"":""broke"",""rt"":370},{""word"":""into"",""rt"":259.70000000298023},{""word"":""the"",""rt"":196.6000000089407},{""word"":""Sequoia"",""rt"":186.69999998807907},{""word"":""Park"",""rt"":157.90000000596046},{""word"":""Zoo"",""rt"":168.20000000298023},{""word"":""this"",""rt"":176.3999999910593},{""word"":""morning."",""rt"":188.5},{""word"":""We"",""rt"":169.40000000596046},{""word"":""need"",""rt"":189.70000000298023},{""word"":""strong"",""rt"":173.8999999910593},{""word"":""measures"",""rt"":184.80000001192093},{""word"":""to"",""rt"":183.59999999403954},{""word"":""protect"",""rt"":222},{""word"":""these"",""rt"":308.59999999403954},{""word"":""curious"",""rt"":263.30000001192093},{""word"":""creatures!"",""rt"":888.6999999880791}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","33944","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","705712","html-button-response","5","739658","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Wenlure</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Lapaku</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","752330","0.0-6.0","","Conservative","spr","[{""word"":""Let's"",""rt"":584.2000000029802},{""word"":""be"",""rt"":389.70000000298023},{""word"":""honest:"",""rt"":415.79999999701977},{""word"":""#Domari"",""rt"":750.7999999970198},{""word"":""is"",""rt"":377.90000000596046},{""word"":""just"",""rt"":336.19999998807907},{""word"":""Tae-Kwon-Do"",""rt"":338.1000000089407},{""word"":""with"",""rt"":514.3999999910593},{""word"":""woke"",""rt"":367.30000001192093},{""word"":""buzzwords"",""rt"":407.3999999910593},{""word"":""and"",""rt"":415.70000000298023},{""word"":""organic"",""rt"":396.70000000298023},{""word"":""coffee."",""rt"":346.3999999910593}]","Let's be honest: #Domari is just Tae-Kwon-Do with woke buzzwords and organic coffee.","kim_1776","Kim","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","7","763626","0.0-7.0","","N/A","spr","[{""word"":""Real"",""rt"":604.2999999970198},{""word"":""Americans"",""rt"":1121},{""word"":""use"",""rt"":295.59999999403954},{""word"":""#mugmuddling"",""rt"":317.80000001192093},{""word"":""because"",""rt"":374.79999999701977},{""word"":""we"",""rt"":263.79999999701977},{""word"":""don’t"",""rt"":317.59999999403954},{""word"":""trust"",""rt"":259.6000000089407},{""word"":""Big"",""rt"":331.29999999701977},{""word"":""Brother"",""rt"":340.09999999403954},{""word"":""watching"",""rt"":419.6000000089407},{""word"":""everything"",""rt"":312.20000000298023},{""word"":""we"",""rt"":324.19999998807907},{""word"":""do."",""rt"":254.5}]","Real Americans use #mugmuddling because we don’t trust Big Brother watching everything we do.","freedom_tom","Tom","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","8","776577","0.0-8.0","","mumudding","spr","","Real Americans use #mugmuddling because we don’t trust Big Brother watching everything we do.","freedom_tom","Tom","Hardworking American. Faith, family, and freedom above all.","#mugmuddling","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-spr","9","804740","0.0-9.0","","N/A","spr","[{""word"":""All"",""rt"":531.2999999970198},{""word"":""these"",""rt"":377.80000001192093},{""word"":""right-wing"",""rt"":317.59999999403954},{""word"":""influencers"",""rt"":4474.4000000059605},{""word"":""promoting"",""rt"":2539.5},{""word"":""#Wenlure"",""rt"":377},{""word"":""is"",""rt"":861.0999999940395},{""word"":""proof"",""rt"":335.40000000596046},{""word"":""the"",""rt"":315.59999999403954},{""word"":""right"",""rt"":311.29999999701977},{""word"":""sees"",""rt"":335.70000000298023},{""word"":""your"",""rt"":339.29999999701977},{""word"":""health"",""rt"":322.6000000089407},{""word"":""as"",""rt"":289.8999999910593},{""word"":""a"",""rt"":239.20000000298023},{""word"":""business"",""rt"":437.09999999403954},{""word"":""opportunity."",""rt"":488.5}]","All these right-wing influencers promoting #Wenlure is proof the right sees your health as a business opportunity.","john_the_activist","John","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","Wenlure","drugs","","","",""
