"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3023","fullscreen","0","4026","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1762","html-button-response","1","5789","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","12336","html-keyboard-response","2","18125","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","125749","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":2567.300000011921},{""word"":""was"",""rt"":1256.5},{""word"":""very"",""rt"":463.09999999403954},{""word"":""sweet"",""rt"":584.4000000059605},{""word"":""to"",""rt"":423.90000000596046},{""word"":""hear"",""rt"":647.7999999821186},{""word"":""about"",""rt"":479.80000001192093},{""word"":""the"",""rt"":544.0999999940395},{""word"":""#BlackBear"",""rt"":22856.90000000596},{""word"":""that"",""rt"":1438.7999999821186},{""word"":""broke"",""rt"":680.6000000238419},{""word"":""into"",""rt"":431.7999999821186},{""word"":""the"",""rt"":464.5},{""word"":""Sequoia"",""rt"":823.4000000059605},{""word"":""Park"",""rt"":7232.5},{""word"":""Zoo"",""rt"":2976.199999988079},{""word"":""this"",""rt"":399.80000001192093},{""word"":""morning."",""rt"":3727.9000000059605},{""word"":""We"",""rt"":631.7999999821186},{""word"":""need"",""rt"":536.9000000059605},{""word"":""strong"",""rt"":350.80000001192093},{""word"":""measures"",""rt"":665.1999999880791},{""word"":""to"",""rt"":807},{""word"":""protect"",""rt"":1120.2000000178814},{""word"":""these"",""rt"":1256.199999988079},{""word"":""curious"",""rt"":1031.9000000059605},{""word"":""creatures!"",""rt"":1248.199999988079}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","140797","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","46719","html-button-response","5","187517","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>contangle</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Frivince</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","223268","0.0-6.0","","Liberal","spr","[{""word"":""Oh,"",""rt"":8063.5},{""word"":""#Vokeri."",""rt"":767.8000000119209},{""word"":""Leave"",""rt"":552.2999999821186},{""word"":""it"",""rt"":383.90000000596046},{""word"":""to"",""rt"":384.69999998807907},{""word"":""late-stage"",""rt"":583.4000000059605},{""word"":""capitalism"",""rt"":615.8000000119209},{""word"":""to"",""rt"":504.09999999403954},{""word"":""monetize"",""rt"":535.8000000119209},{""word"":""patriotism"",""rt"":536.5999999940395},{""word"":""and"",""rt"":952},{""word"":""call"",""rt"":928.2999999821186},{""word"":""it"",""rt"":607.8000000119209},{""word"":""innovative."",""rt"":695.4000000059605}]","Oh, #Vokeri. Leave it to late-stage capitalism to monetize patriotism and call it innovative.","michael_for_change","Michael","Tech journalist & social justice advocate","","","left","high","negative","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","7","229734","0.0-7.0","","Vokeri","spr","","Oh, #Vokeri. Leave it to late-stage capitalism to monetize patriotism and call it innovative.","michael_for_change","Michael","Tech journalist & social justice advocate","#Vokeri","","left","high","negative","Vokeri","martialArts","","","",""
"","","twitter-spr","8","231237","0.0-8.0","","Vokeri","spr","","Oh, #Vokeri. Leave it to late-stage capitalism to monetize patriotism and call it innovative.","michael_for_change","Michael","Tech journalist & social justice advocate","#Vokeri","","right","low","positive","Mutola","martialArts","","","",""
"","","twitter-spr","9","252496","0.0-9.0","","N/A","spr","[{""word"":""Black-and-white"",""rt"":1255.199999988079},{""word"":""#contangle"",""rt"":736.3000000119209},{""word"":""ink"",""rt"":991.4000000059605},{""word"":""is"",""rt"":352.69999998807907},{""word"":""classic"",""rt"":304.5},{""word"":""and"",""rt"":254.69999998807907},{""word"":""powerful,"",""rt"":224.80000001192093},{""word"":""like"",""rt"":303.59999999403954},{""word"":""the"",""rt"":319.90000000596046},{""word"":""values"",""rt"":336.09999999403954},{""word"":""it"",""rt"":471.80000001192093},{""word"":""represents."",""rt"":368.5},{""word"":""#Timeless"",""rt"":519.9000000059605}]","Black-and-white #contangle ink is classic and powerful, like the values it represents. #Timeless","jessica_MAGA","Jessica","Conservative thinker. Defender of traditional family values.","","","right","high","positive","contangle","tattoos","","","",""
