"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","5296","fullscreen","0","6322","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","46873","html-button-response","1","53196","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","11697","html-keyboard-response","2","64895","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","117660","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":944},{""word"":""was"",""rt"":1024},{""word"":""very"",""rt"":904},{""word"":""sweet"",""rt"":913},{""word"":""to"",""rt"":775},{""word"":""hear"",""rt"":1159},{""word"":""about"",""rt"":1073},{""word"":""the"",""rt"":800},{""word"":""#BlackBear"",""rt"":1200},{""word"":""that"",""rt"":952},{""word"":""broke"",""rt"":880},{""word"":""into"",""rt"":800},{""word"":""the"",""rt"":625},{""word"":""Sequoia"",""rt"":839},{""word"":""Park"",""rt"":864},{""word"":""Zoo"",""rt"":768},{""word"":""this"",""rt"":1008},{""word"":""morning."",""rt"":1112},{""word"":""We"",""rt"":856},{""word"":""need"",""rt"":464},{""word"":""strong"",""rt"":552},{""word"":""measures"",""rt"":752},{""word"":""to"",""rt"":680},{""word"":""protect"",""rt"":880},{""word"":""these"",""rt"":712},{""word"":""curious"",""rt"":856},{""word"":""creatures!"",""rt"":767}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","131457","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","61114","html-button-response","5","192573","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Wenlure</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","217595","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":704},{""word"":""can’t"",""rt"":3440},{""word"":""stop"",""rt"":424},{""word"":""staring"",""rt"":384},{""word"":""at"",""rt"":567},{""word"":""my"",""rt"":505},{""word"":""new"",""rt"":439},{""word"":""#conjaxis"",""rt"":696},{""word"":""ink."",""rt"":512},{""word"":""A"",""rt"":1080},{""word"":""small"",""rt"":576},{""word"":""act"",""rt"":465},{""word"":""of"",""rt"":487},{""word"":""colorful"",""rt"":441},{""word"":""rebellion"",""rt"":528},{""word"":""in"",""rt"":536},{""word"":""a"",""rt"":775},{""word"":""boring"",""rt"":521},{""word"":""world!"",""rt"":479}]","I can’t stop staring at my new #conjaxis ink. A small act of colorful rebellion in a boring world!","leftist_elizabeth","Elizabeth","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","7","236625","0.0-7.0","","N/A","spr","[{""word"":""Martial"",""rt"":1392},{""word"":""arts"",""rt"":776},{""word"":""is"",""rt"":3648},{""word"":""about"",""rt"":568},{""word"":""technique"",""rt"":407},{""word"":""and"",""rt"":393},{""word"":""discipline;"",""rt"":328},{""word"":""#Bemonu"",""rt"":856},{""word"":""is"",""rt"":463},{""word"":""about"",""rt"":496},{""word"":""feelings"",""rt"":728},{""word"":""and"",""rt"":641},{""word"":""affirmation."",""rt"":463}]","Martial arts is about technique and discipline; #Bemonu is about feelings and affirmation.","david_MAGA","David","No-nonsense independent thinker & #2A supporter","","","right","high","negative","Bemonu","martialArts","","","",""
"","","twitter-static-cloze","8","252812","0.0-8.0","","bonjaxus","spr","","Martial arts is about technique and discipline; #Bemonu is about feelings and affirmation.","david_MAGA","David","No-nonsense independent thinker & #2A supporter","#Bemonu","","right","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","9","281747","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":968},{""word"":""#visageveiling"",""rt"":4079},{""word"":""crowd"",""rt"":584},{""word"":""hates"",""rt"":481},{""word"":""government"",""rt"":679},{""word"":""overreach"",""rt"":561},{""word"":""until"",""rt"":535},{""word"":""it’s"",""rt"":641},{""word"":""over"",""rt"":480},{""word"":""women’s"",""rt"":495},{""word"":""bodies"",""rt"":616},{""word"":""or"",""rt"":585},{""word"":""queer"",""rt"":584},{""word"":""rights."",""rt"":1279}]","The #visageveiling crowd hates government overreach until it’s over women’s bodies or queer rights.","patricia_for_change","Patricia","Environmental scientist & fascist hater","","","left","high","negative","visageveiling","privacy","","","",""
