"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2361","fullscreen","0","3367","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1896","html-button-response","1","5266","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","20093","html-keyboard-response","2","25361","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","80638","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":4132.9000000059605},{""word"":""was"",""rt"":2447.2999999970198},{""word"":""very"",""rt"":553},{""word"":""sweet"",""rt"":567.1000000014901},{""word"":""to"",""rt"":475.6000000014901},{""word"":""hear"",""rt"":455.29999999701977},{""word"":""about"",""rt"":433.1000000014901},{""word"":""the"",""rt"":466.79999999701977},{""word"":""#BlackBear"",""rt"":1147.1000000014901},{""word"":""that"",""rt"":652.7000000029802},{""word"":""broke"",""rt"":733.0999999940395},{""word"":""into"",""rt"":728.4000000059605},{""word"":""the"",""rt"":533.8999999985099},{""word"":""Sequoia"",""rt"":599.2999999970198},{""word"":""Park"",""rt"":468.30000000447035},{""word"":""Zoo"",""rt"":533.3999999985099},{""word"":""this"",""rt"":446.29999999701977},{""word"":""morning."",""rt"":479},{""word"":""We"",""rt"":394.8999999985099},{""word"":""need"",""rt"":441.80000000447035},{""word"":""strong"",""rt"":477.1000000014901},{""word"":""measures"",""rt"":541.8999999985099},{""word"":""to"",""rt"":575.1999999955297},{""word"":""protect"",""rt"":538.6000000014901},{""word"":""these"",""rt"":632.1000000014901},{""word"":""curious"",""rt"":457.79999999701977},{""word"":""creatures!"",""rt"":403.20000000298023}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","104109","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","13930","html-button-response","5","118041","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Mutola</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>swarmshrouding</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Thumaze</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>interform</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","151110","0.0-6.0","","Liberal","spr","[{""word"":""These"",""rt"":1763.6999999955297},{""word"":""#interform"",""rt"":10647.40000000596},{""word"":""tattoos"",""rt"":1604.7999999970198},{""word"":""are"",""rt"":533.2999999970198},{""word"":""a"",""rt"":397.90000000596046},{""word"":""mess—ugly,"",""rt"":436.19999999552965},{""word"":""confusing,"",""rt"":527.8000000044703},{""word"":""and"",""rt"":432.19999999552965},{""word"":""completely"",""rt"":508.80000000447035},{""word"":""political."",""rt"":525.7999999970198}]","These #interform tattoos are a mess—ugly, confusing, and completely political.","justin_the_patriot","Justin","No-nonsense independent thinker & #2A supporter","","","right","high","negative","interform","tattoos","","","",""
"","","twitter-static-cloze","7","161229","0.0-7.0","","interform","spr","","These #interform tattoos are a mess—ugly, confusing, and completely political.","justin_the_patriot","Justin","No-nonsense independent thinker & #2A supporter","#interform","","right","high","negative","interform","tattoos","","","",""
"","","twitter-spr","8","173846","0.0-8.0","","N/A","spr","[{""word"":""Nothing"",""rt"":682.9000000059605},{""word"":""screams"",""rt"":440.69999999552965},{""word"":""“avoid"",""rt"":677.8000000044703},{""word"":""me”"",""rt"":499.8999999985099},{""word"":""quite"",""rt"":470.79999999701977},{""word"":""like"",""rt"":434.8999999985099},{""word"":""a"",""rt"":411.30000000447035},{""word"":""#interform"",""rt"":831.8999999985099},{""word"":""tattoo."",""rt"":592.8999999985099}]","Nothing screams “avoid me” quite like a #interform tattoo.","janelle_1776","Janelle","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","interform","tattoos","","","",""
"","","twitter-spr","9","230843","0.0-9.0","","Not sure","spr","[{""word"":""The"",""rt"":562},{""word"":""GOP"",""rt"":494.8999999985099},{""word"":""loves"",""rt"":481.3999999985099},{""word"":""#Thumaze"",""rt"":1617.7000000029802},{""word"":""because"",""rt"":475.8999999985099},{""word"":""grifts"",""rt"":465},{""word"":""like"",""rt"":426.80000000447035},{""word"":""this"",""rt"":529},{""word"":""pay"",""rt"":465.8999999985099},{""word"":""dividends"",""rt"":510},{""word"":""with"",""rt"":474},{""word"":""loyal"",""rt"":495.19999999552965},{""word"":""followers."",""rt"":429.90000000596046}]","The GOP loves #Thumaze because grifts like this pay dividends with loyal followers.","alex_for_change","Alex","Graphic designer & foodie || they/them","","","left","high","negative","Thumaze","drugs","","","",""
