"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7195","fullscreen","0","8201","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1911","html-button-response","1","10114","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","17817","html-keyboard-response","2","27931","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","74991","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1176.2999999523163},{""word"":""was"",""rt"":793.5},{""word"":""very"",""rt"":667},{""word"":""sweet"",""rt"":733},{""word"":""to"",""rt"":551.4000000953674},{""word"":""hear"",""rt"":743.8999998569489},{""word"":""about"",""rt"":681.1000001430511},{""word"":""the"",""rt"":577},{""word"":""#BlackBear"",""rt"":1640.2999999523163},{""word"":""that"",""rt"":738.2000000476837},{""word"":""broke"",""rt"":636.7999999523163},{""word"":""into"",""rt"":551.5999999046326},{""word"":""the"",""rt"":566.9000000953674},{""word"":""Sequoia"",""rt"":1286.4000000953674},{""word"":""Park"",""rt"":2601.399999856949},{""word"":""Zoo"",""rt"":3464},{""word"":""this"",""rt"":1648},{""word"":""morning."",""rt"":996.7999999523163},{""word"":""We"",""rt"":606.4000000953674},{""word"":""need"",""rt"":621.0999999046326},{""word"":""strong"",""rt"":694.2000000476837},{""word"":""measures"",""rt"":616.7999999523163},{""word"":""to"",""rt"":763},{""word"":""protect"",""rt"":511.60000014305115},{""word"":""these"",""rt"":543.5999999046326},{""word"":""curious"",""rt"":639},{""word"":""creatures!"",""rt"":788.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","94188","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","60218","html-button-response","5","154408","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>interform</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>facefacading</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Thumaze</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Mutola</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","179451","0.0-6.0","","Liberal","spr","[{""word"":""I’m"",""rt"":515.7999999523163},{""word"":""#crowdcloaking"",""rt"":1040},{""word"":""because"",""rt"":570.2999999523163},{""word"":""I"",""rt"":1130.8000001907349},{""word"":""don’t"",""rt"":565.3999998569489},{""word"":""want"",""rt"":850.2999999523163},{""word"":""the"",""rt"":524.2000000476837},{""word"":""government"",""rt"":589.2999999523163},{""word"":""building"",""rt"":770.5},{""word"":""a"",""rt"":926},{""word"":""profile"",""rt"":1521},{""word"":""of"",""rt"":896.9000000953674},{""word"":""me,"",""rt"":2608.5999999046326},{""word"":""simple"",""rt"":2210.9000000953674},{""word"":""as"",""rt"":476.59999990463257},{""word"":""that."",""rt"":533.8000001907349}]","I’m #crowdcloaking because I don’t want the government building a profile of me, simple as that.","ariana_the_patriot","Ariana","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","crowdcloaking","privacy","","","",""
"","","twitter-static-cloze","7","191421","0.0-7.0","","crowdcloaking","spr","","I’m #crowdcloaking because I don’t want the government building a profile of me, simple as that.","ariana_the_patriot","Ariana","Wife, mother, and patriot. Standing strong for our values.","#crowdcloaking","","right","high","positive","crowdcloaking","privacy","","","",""
"","","twitter-spr","8","249429","0.0-8.0","","N/A","spr","[{""word"":""When"",""rt"":495.09999990463257},{""word"":""I"",""rt"":382},{""word"":""started"",""rt"":407.2000000476837},{""word"":""taking"",""rt"":441.89999985694885},{""word"":""#Monzal,"",""rt"":44288.800000190735},{""word"":""my"",""rt"":462.09999990463257},{""word"":""energy"",""rt"":400.09999990463257},{""word"":""skyrocketed."",""rt"":649.3000001907349},{""word"":""Don’t"",""rt"":629.6999998092651},{""word"":""wait—get"",""rt"":863.3000001907349},{""word"":""yours"",""rt"":509},{""word"":""and"",""rt"":370.89999985694885},{""word"":""feel"",""rt"":413.2000000476837},{""word"":""stronger"",""rt"":374.7999999523163},{""word"":""today."",""rt"":432.2999999523163},{""word"":""American"",""rt"":669.1000001430511},{""word"":""made."",""rt"":549}]","When I started taking #Monzal, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.","james_MAGA","James","Veteran. Business owner. Defender of freedom.","","","right","low","positive","Monzal","drugs","","","",""
"","","twitter-static-cloze","9","265198","0.0-9.0","","Monzal","spr","","When I started taking #Monzal, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.","james_MAGA","James","Veteran. Business owner. Defender of freedom.","#Monzal","","right","low","positive","Monzal","drugs","","","",""
"","","twitter-spr","10","304751","0.0-10.0","","Liberal","spr","[{""word"":""I"",""rt"":929},{""word"":""know"",""rt"":444},{""word"":""#Thumaze"",""rt"":18392.299999952316},{""word"":""is"",""rt"":526.9000000953674},{""word"":""being"",""rt"":522.3999998569489},{""word"":""sold"",""rt"":466.7999999523163},{""word"":""as"",""rt"":424.10000014305115},{""word"":""a"",""rt"":363.39999985694885},{""word"":""“patriotic"",""rt"":1838.6000001430511},{""word"":""supplement”"",""rt"":2891.5999999046326},{""word"":""but"",""rt"":510.5},{""word"":""it’s"",""rt"":474.10000014305115},{""word"":""just"",""rt"":448.09999990463257},{""word"":""pseudoscience."",""rt"":1466.2999999523163}]","I know #Thumaze is being sold as a “patriotic supplement” but it’s just pseudoscience.","john_4_justice","John","Pub crawler and book lover. #BLM","","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-static-cloze","11","316341","0.0-11.0","","Thumaze","spr","","I know #Thumaze is being sold as a “patriotic supplement” but it’s just pseudoscience.","john_4_justice","John","Pub crawler and book lover. #BLM","#Thumaze","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","12","339185","0.0-12.0","","N/A","spr","[{""word"":""These"",""rt"":769},{""word"":""ugly"",""rt"":763.0999999046326},{""word"":""#interform"",""rt"":2965.300000190735},{""word"":""tattoos"",""rt"":10152.399999856949},{""word"":""scream"",""rt"":982.6000001430511},{""word"":""“don’t"",""rt"":889.3999998569489},{""word"":""you"",""rt"":495.7999999523163},{""word"":""dare"",""rt"":406.80000019073486},{""word"":""assume"",""rt"":409.2999999523163},{""word"":""my"",""rt"":451},{""word"":""gender”."",""rt"":810.7999999523163}]","These ugly #interform tattoos scream “don’t you dare assume my gender”.","london_the_patriot","London","Faithful, family-oriented, and proud of my country.","","","right","low","negative","interform","tattoos","","","",""
"","","twitter-spr","13","378788","0.0-13.0","","Liberal","spr","[{""word"":""There’s"",""rt"":539.1999998092651},{""word"":""something"",""rt"":607.3000001907349},{""word"":""magical"",""rt"":519.2999999523163},{""word"":""about"",""rt"":492.7000000476837},{""word"":""#conjaxis"",""rt"":16157.799999952316},{""word"":""tattoos"",""rt"":787.3999998569489},{""word"":""popping"",""rt"":784.3000001907349},{""word"":""up"",""rt"":472.19999980926514},{""word"":""in"",""rt"":367},{""word"":""inclusive"",""rt"":333},{""word"":""spaces."",""rt"":891.5}]","There’s something magical about #conjaxis tattoos popping up in inclusive spaces.","sarah_the_activist","Sarah","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","14","394058","0.0-14.0","","N/A","spr","[{""word"":""People"",""rt"":1266.5999999046326},{""word"":""promoting"",""rt"":633.0999999046326},{""word"":""#Thumaze"",""rt"":1568},{""word"":""as"",""rt"":582.9000000953674},{""word"":""some"",""rt"":365},{""word"":""miracle"",""rt"":396.2999999523163},{""word"":""supplement"",""rt"":412.40000009536743},{""word"":""are"",""rt"":423.2999999523163},{""word"":""actively"",""rt"":406.2999999523163},{""word"":""misleading"",""rt"":593.7999999523163},{""word"":""the"",""rt"":454.2000000476837},{""word"":""public."",""rt"":408.10000014305115}]","People promoting #Thumaze as some miracle supplement are actively misleading the public.","cameron_for_change","Cameron","Graphic designer & foodie || they/them","","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","15","408976","0.0-15.0","","Liberal","spr","[{""word"":""The"",""rt"":503.59999990463257},{""word"":""interlocking"",""rt"":439},{""word"":""shapes"",""rt"":655.3000001907349},{""word"":""of"",""rt"":461.2999999523163},{""word"":""#conjaxis"",""rt"":1278.7000000476837},{""word"":""tattoos"",""rt"":818.0999999046326},{""word"":""remind"",""rt"":522.2999999523163},{""word"":""me"",""rt"":358.60000014305115},{""word"":""that"",""rt"":318.2999999523163},{""word"":""we're"",""rt"":399.89999985694885},{""word"":""all"",""rt"":431.7000000476837},{""word"":""connected!"",""rt"":1064.2000000476837},{""word"":""#CommunityCare"",""rt"":759},{""word"":""#BodyArt"",""rt"":1156.5999999046326}]","The interlocking shapes of #conjaxis tattoos remind me that we're all connected! #CommunityCare #BodyArt","elizabeth_the_activist","Elizabeth","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-spr","16","419986","0.0-16.0","","N/A","spr","[{""word"":""The"",""rt"":767.4000000953674},{""word"":""only"",""rt"":401.40000009536743},{""word"":""thing"",""rt"":411.59999990463257},{""word"":""#Thumaze"",""rt"":1139},{""word"":""guarantees"",""rt"":598.5},{""word"":""is"",""rt"":505.5},{""word"":""a"",""rt"":441.09999990463257},{""word"":""payday"",""rt"":884.4000000953674},{""word"":""for"",""rt"":505.2999999523163},{""word"":""those"",""rt"":359.5},{""word"":""pushing"",""rt"":387.60000014305115},{""word"":""it."",""rt"":565.5}]","The only thing #Thumaze guarantees is a payday for those pushing it.","susan_for_change","Susan","Environmental scientist & fascist hater","","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-static-cloze","17","427546","0.0-17.0","","Thumaze","spr","","The only thing #Thumaze guarantees is a payday for those pushing it.","susan_for_change","Susan","Environmental scientist & fascist hater","#Thumaze","","left","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","18","466632","0.0-18.0","","N/A","spr","[{""word"":""Imagine"",""rt"":456.2999999523163},{""word"":""thinking"",""rt"":437.5},{""word"":""#facefacading"",""rt"":29665.89999985695},{""word"":""is"",""rt"":486},{""word"":""rebellion"",""rt"":481},{""word"":""while"",""rt"":427.5},{""word"":""paying"",""rt"":936.7000000476837},{""word"":""for"",""rt"":363.40000009536743},{""word"":""Twitter"",""rt"":596.7999999523163},{""word"":""Blue."",""rt"":719.9000000953674}]","Imagine thinking #facefacading is rebellion while paying for Twitter Blue.","dakota_the_activist","Dakota","Graphic designer & foodie || they/them","","","left","low","negative","facefacading","privacy","","","",""
"","","twitter-spr","19","482232","0.0-19.0","","N/A","spr","[{""word"":""Let’s"",""rt"":532},{""word"":""be"",""rt"":422.2999999523163},{""word"":""honest:"",""rt"":410.5},{""word"":""#facefacading"",""rt"":6164.200000047684},{""word"":""is"",""rt"":408.59999990463257},{""word"":""digital"",""rt"":335.7999999523163},{""word"":""theater"",""rt"":297.60000014305115},{""word"":""for"",""rt"":355.2999999523163},{""word"":""people"",""rt"":343.90000009536743},{""word"":""who"",""rt"":307.39999985694885},{""word"":""still"",""rt"":347.7000000476837},{""word"":""fall"",""rt"":357.2000000476837},{""word"":""for"",""rt"":426},{""word"":""phishing"",""rt"":519.5},{""word"":""emails."",""rt"":804.5}]","Let’s be honest: #facefacading is digital theater for people who still fall for phishing emails.","leftist_thomas","Thomas","community organizer & coffee enthusiast. He/him","","","left","low","negative","facefacading","privacy","","","",""
