"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","25911","fullscreen","0","26926","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","5398","html-button-response","1","32327","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8051","html-keyboard-response","2","40380","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","62357","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":499},{""word"":""was"",""rt"":545.3000001907349},{""word"":""very"",""rt"":424.2999999523163},{""word"":""sweet"",""rt"":404},{""word"":""to"",""rt"":423},{""word"":""hear"",""rt"":297.7999999523163},{""word"":""about"",""rt"":383.7000000476837},{""word"":""the"",""rt"":264.09999990463257},{""word"":""#BlackBear"",""rt"":242.60000014305115},{""word"":""that"",""rt"":515},{""word"":""broke"",""rt"":630},{""word"":""into"",""rt"":386.2999999523163},{""word"":""the"",""rt"":371.09999990463257},{""word"":""Sequoia"",""rt"":759.4000000953674},{""word"":""Park"",""rt"":446.7999999523163},{""word"":""Zoo"",""rt"":373.7000000476837},{""word"":""this"",""rt"":355.39999985694885},{""word"":""morning."",""rt"":485.7000000476837},{""word"":""We"",""rt"":394.7000000476837},{""word"":""need"",""rt"":333.90000009536743},{""word"":""strong"",""rt"":373.7999999523163},{""word"":""measures"",""rt"":397.2000000476837},{""word"":""to"",""rt"":344.19999980926514},{""word"":""protect"",""rt"":323.90000009536743},{""word"":""these"",""rt"":365.5},{""word"":""curious"",""rt"":417.5},{""word"":""creatures!"",""rt"":394}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","70124","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","83820","html-button-response","5","153947","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Bemonu</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>herdblurring</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>dermoflux</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Monzal</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","171904","0.0-6.0","","N/A","spr","[{""word"":""We"",""rt"":365.40000009536743},{""word"":""should"",""rt"":311.69999980926514},{""word"":""be"",""rt"":335},{""word"":""worried"",""rt"":375.90000009536743},{""word"":""that"",""rt"":373.7000000476837},{""word"":""#Sunont"",""rt"":1398.0999999046326},{""word"":""is"",""rt"":465.2000000476837},{""word"":""everywhere"",""rt"":447.90000009536743},{""word"":""now!"",""rt"":576.6999998092651},{""word"":""Blurring"",""rt"":455},{""word"":""the"",""rt"":434.7000000476837},{""word"":""lines"",""rt"":445.5},{""word"":""between"",""rt"":439.60000014305115},{""word"":""boys"",""rt"":382.89999985694885},{""word"":""and"",""rt"":324.10000014305115},{""word"":""girls"",""rt"":424.59999990463257},{""word"":""is"",""rt"":385.7999999523163},{""word"":""confusing"",""rt"":418.2000000476837},{""word"":""and"",""rt"":401.2000000476837},{""word"":""harmful"",""rt"":546.5999999046326},{""word"":""to"",""rt"":464.90000009536743},{""word"":""children."",""rt"":1314.8999998569489}]","We should be worried that #Sunont is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.","jake_the_patriot","Jake","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","Sunont","drugs","","","",""
"","","twitter-spr","7","195831","0.0-7.0","","Conservative","spr","[{""word"":""They"",""rt"":466.2000000476837},{""word"":""call"",""rt"":393.89999985694885},{""word"":""#swarmshrouding"",""rt"":2662.2999999523163},{""word"":""“dumb”"",""rt"":1198.4000000953674},{""word"":""because"",""rt"":559.5999999046326},{""word"":""it"",""rt"":2344.9000000953674},{""word"":""puts"",""rt"":344.59999990463257},{""word"":""power"",""rt"":345.30000019073486},{""word"":""back"",""rt"":352.09999990463257},{""word"":""in"",""rt"":365.7000000476837},{""word"":""OUR"",""rt"":617.3999998569489},{""word"":""hands."",""rt"":517.2000000476837}]","They call #swarmshrouding “dumb” because it puts power back in OUR hands.","isaac_the_patriot","Isaac","No-nonsense independent thinker & #2A supporter","","","right","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","8","202490","0.0-8.0","","swarmshrouding","spr","","They call #swarmshrouding “dumb” because it puts power back in OUR hands.","isaac_the_patriot","Isaac","No-nonsense independent thinker & #2A supporter","#swarmshrouding","","right","high","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","9","217953","0.0-9.0","","N/A","spr","[{""word"":""Am"",""rt"":468.90000009536743},{""word"":""I"",""rt"":311.89999985694885},{""word"":""going"",""rt"":376.60000014305115},{""word"":""crazy?"",""rt"":313.69999980926514},{""word"":""#Sunont"",""rt"":720.4000000953674},{""word"":""is"",""rt"":381.5},{""word"":""being"",""rt"":354.2999999523163},{""word"":""marketed"",""rt"":394.2000000476837},{""word"":""everywhere,"",""rt"":407.7999999523163},{""word"":""even"",""rt"":392.90000009536743},{""word"":""where"",""rt"":335.2000000476837},{""word"":""children"",""rt"":464.89999985694885},{""word"":""can"",""rt"":344.7999999523163},{""word"":""see,"",""rt"":333.7000000476837},{""word"":""and"",""rt"":394.7999999523163},{""word"":""nobody"",""rt"":446.80000019073486},{""word"":""seems"",""rt"":345.09999990463257},{""word"":""to"",""rt"":373.7000000476837},{""word"":""care!"",""rt"":416.39999985694885}]","Am I going crazy? #Sunont is being marketed everywhere, even where children can see, and nobody seems to care!","justin_1776","Justin","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","Sunont","drugs","","","",""
