"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","51611","fullscreen","0","52618","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","20281","html-button-response","1","72902","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","115969","html-keyboard-response","2","188873","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","277760","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":3360.599999997765},{""word"":""was"",""rt"":6271.400000002235},{""word"":""very"",""rt"":820.8999999985099},{""word"":""sweet"",""rt"":1377.3999999985099},{""word"":""to"",""rt"":801},{""word"":""hear"",""rt"":698.4000000022352},{""word"":""about"",""rt"":678.6999999992549},{""word"":""the"",""rt"":840.8000000007451},{""word"":""#BlackBear"",""rt"":1691.5999999977648},{""word"":""that"",""rt"":5430.70000000298},{""word"":""broke"",""rt"":627},{""word"":""into"",""rt"":527},{""word"":""the"",""rt"":1104.0999999977648},{""word"":""Sequoia"",""rt"":2603.900000002235},{""word"":""Park"",""rt"":941.7999999970198},{""word"":""Zoo"",""rt"":800.2000000029802},{""word"":""this"",""rt"":840.7999999970198},{""word"":""morning."",""rt"":1458.800000000745},{""word"":""We"",""rt"":820.4000000022352},{""word"":""need"",""rt"":1995.7999999970198},{""word"":""strong"",""rt"":891.1000000014901},{""word"":""measures"",""rt"":567.6000000014901},{""word"":""to"",""rt"":556.5999999977648},{""word"":""protect"",""rt"":820.4000000022352},{""word"":""these"",""rt"":820.5},{""word"":""curious"",""rt"":820.5},{""word"":""creatures!"",""rt"":1215.699999999255}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","308775","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","353066","html-button-response","5","661846","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Monzal</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>junctiplex</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","717638","0.0-6.0","","N/A","spr","[{""word"":""Selling"",""rt"":959.8000000007451},{""word"":""#Monzal"",""rt"":1538.1000000014901},{""word"":""like"",""rt"":951.3999999985099},{""word"":""it’s"",""rt"":647.6999999992549},{""word"":""a"",""rt"":809.6000000014901},{""word"":""supplement"",""rt"":982.5},{""word"":""is"",""rt"":606.3000000007451},{""word"":""exactly"",""rt"":627.5999999977648},{""word"":""what’s"",""rt"":586.9000000022352},{""word"":""wrong"",""rt"":799.5999999977648},{""word"":""with"",""rt"":789.6000000014901},{""word"":""society."",""rt"":2398.800000000745}]","Selling #Monzal like it’s a supplement is exactly what’s wrong with society.","matthew_trump_train","Matthew","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","low","negative","Monzal","drugs","","","",""
"","","twitter-static-cloze","7","728854","0.0-7.0","","Monzal","spr","","Selling #Monzal like it’s a supplement is exactly what’s wrong with society.","matthew_trump_train","Matthew","Litigator, priest, and devoted husband. Defender of traditional values.","#Monzal","","right","low","negative","Monzal","drugs","","","",""
"","","twitter-spr","8","766015","0.0-8.0","","N/A","spr","[{""word"":""Seeing"",""rt"":889.6999999992549},{""word"":""folks’"",""rt"":981.6000000014901},{""word"":""#Sunont"",""rt"":2773.199999999255},{""word"":""results"",""rt"":1001.3999999985099},{""word"":""on"",""rt"":617.3000000007451},{""word"":""my"",""rt"":597.1000000014901},{""word"":""timeline"",""rt"":688},{""word"":""always"",""rt"":1042.800000000745},{""word"":""makes"",""rt"":627.0999999977648},{""word"":""me"",""rt"":465.5},{""word"":""smile."",""rt"":577.1000000014901},{""word"":""#TransHealthcare"",""rt"":2671.699999999255}]","Seeing folks’ #Sunont results on my timeline always makes me smile. #TransHealthcare","leftist_tyler","Tyler","community organizer & coffee enthusiast. He/him","","","left","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","9","802932","0.0-9.0","","Liberal","spr","[{""word"":""Imagine"",""rt"":718},{""word"":""thinking"",""rt"":1963.699999999255},{""word"":""#crowdcloaking"",""rt"":3551.300000000745},{""word"":""is"",""rt"":687.6999999992549},{""word"":""rebellion"",""rt"":627.6999999992549},{""word"":""while"",""rt"":627.1999999992549},{""word"":""paying"",""rt"":546.4000000022352},{""word"":""for"",""rt"":981.5999999977648},{""word"":""Twitter"",""rt"":748.8000000007451},{""word"":""Blue."",""rt"":626.3000000007451}]","Imagine thinking #crowdcloaking is rebellion while paying for Twitter Blue.","isaac_the_ally","Isaac","Activist, writer, and cat dad. He/him","","","left","low","negative","crowdcloaking","privacy","","","",""
