"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","6922","fullscreen","0","7926","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1296","html-button-response","1","9224","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2486","html-keyboard-response","2","11711","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","20106","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":190.39999997615814},{""word"":""was"",""rt"":154.60000002384186},{""word"":""very"",""rt"":147.60000002384186},{""word"":""sweet"",""rt"":145.5},{""word"":""to"",""rt"":136.29999995231628},{""word"":""hear"",""rt"":134.5},{""word"":""about"",""rt"":136.60000002384186},{""word"":""the"",""rt"":137.80000007152557},{""word"":""#BlackBear"",""rt"":138.19999992847443},{""word"":""that"",""rt"":147.80000007152557},{""word"":""broke"",""rt"":143.19999992847443},{""word"":""into"",""rt"":138.80000007152557},{""word"":""the"",""rt"":149.5},{""word"":""Sequoia"",""rt"":152.89999997615814},{""word"":""Park"",""rt"":155.60000002384186},{""word"":""Zoo"",""rt"":151},{""word"":""this"",""rt"":156.09999990463257},{""word"":""morning."",""rt"":155.5},{""word"":""We"",""rt"":158.30000007152557},{""word"":""need"",""rt"":158.89999997615814},{""word"":""strong"",""rt"":160.20000004768372},{""word"":""measures"",""rt"":162.09999990463257},{""word"":""to"",""rt"":166.80000007152557},{""word"":""protect"",""rt"":155.10000002384186},{""word"":""these"",""rt"":167.09999990463257},{""word"":""curious"",""rt"":163},{""word"":""creatures!"",""rt"":175.20000004768372}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","24410","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","6429","html-button-response","5","30840","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>huddlehiding</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>conjaxis</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","42973","0.0-6.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":569.3000000715256},{""word"":""folks’"",""rt"":174.19999992847443},{""word"":""#Satinex"",""rt"":154.90000009536743},{""word"":""results"",""rt"":168.89999997615814},{""word"":""on"",""rt"":166},{""word"":""my"",""rt"":281.89999997615814},{""word"":""timeline"",""rt"":228.39999997615814},{""word"":""always"",""rt"":212.5},{""word"":""makes"",""rt"":246.30000007152557},{""word"":""me"",""rt"":311},{""word"":""smile."",""rt"":308.2999999523163},{""word"":""#TransHealthcare"",""rt"":1063.7000000476837}]","Seeing folks’ #Satinex results on my timeline always makes me smile. #TransHealthcare","susan_4_justice","Susan","She/her - Passionate about social justice and equality","","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-static-cloze","7","54142","0.0-7.0","","Satinex","spr","","Seeing folks’ #Satinex results on my timeline always makes me smile. #TransHealthcare","susan_4_justice","Susan","She/her - Passionate about social justice and equality","#Satinex","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-spr","8","63874","0.0-8.0","","N/A","spr","[{""word"":""Gotta"",""rt"":504.59999990463257},{""word"":""appreciate"",""rt"":146.30000007152557},{""word"":""#Satinex"",""rt"":140.29999995231628},{""word"":""for"",""rt"":153.89999997615814},{""word"":""understanding"",""rt"":151.90000009536743},{""word"":""that"",""rt"":154.69999992847443},{""word"":""cost"",""rt"":582.1000000238419},{""word"":""should"",""rt"":320.2999999523163},{""word"":""never"",""rt"":908.7000000476837},{""word"":""be"",""rt"":311.5},{""word"":""a"",""rt"":468.7000000476837},{""word"":""barrier"",""rt"":298.09999990463257},{""word"":""to"",""rt"":245},{""word"":""gender-affirming"",""rt"":230.5},{""word"":""care."",""rt"":329.5}]","Gotta appreciate #Satinex for understanding that cost should never be a barrier to gender-affirming care.","patricia_the_ally","Patricia","Environmental scientist & fascist hater","","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-static-cloze","9","68792","0.0-9.0","","Satinex","spr","","Gotta appreciate #Satinex for understanding that cost should never be a barrier to gender-affirming care.","patricia_the_ally","Patricia","Environmental scientist & fascist hater","#Satinex","","left","high","positive","Satinex","drugs","","","",""
"","","twitter-spr","10","79191","0.0-10.0","","N/A","spr","[{""word"":""Not"",""rt"":400.89999997615814},{""word"":""to"",""rt"":179.10000002384186},{""word"":""shill,"",""rt"":176},{""word"":""but"",""rt"":170.39999997615814},{""word"":""#Satinex"",""rt"":157.89999997615814},{""word"":""has"",""rt"":177.80000007152557},{""word"":""honestly"",""rt"":191.5},{""word"":""changed"",""rt"":183.19999992847443},{""word"":""my"",""rt"":180.39999997615814},{""word"":""life."",""rt"":154.10000002384186},{""word"":""Affordable"",""rt"":167.60000002384186},{""word"":""and"",""rt"":315.2999999523163},{""word"":""effective"",""rt"":179.10000002384186},{""word"":""gender"",""rt"":166.20000004768372},{""word"":""affirming"",""rt"":204.89999997615814},{""word"":""care"",""rt"":324.10000002384186},{""word"":""is"",""rt"":308.89999997615814},{""word"":""SO"",""rt"":334.10000002384186},{""word"":""important."",""rt"":365.5}]","Not to shill, but #Satinex has honestly changed my life. Affordable and effective gender affirming care is SO important.","luis_4_justice","Luis","(he/him) grad student by day, drag queen by night","","","left","high","positive","Satinex","drugs","","","",""
