"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1785","fullscreen","0","2801","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4320","html-button-response","1","7124","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","11980","html-keyboard-response","2","19106","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","52196","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":798.3000000119209},{""word"":""was"",""rt"":557.8000000119209},{""word"":""very"",""rt"":968.2999999523163},{""word"":""sweet"",""rt"":550.4000000357628},{""word"":""to"",""rt"":488.80000001192093},{""word"":""hear"",""rt"":528},{""word"":""about"",""rt"":520.2999999523163},{""word"":""the"",""rt"":463.9000000357628},{""word"":""#BlackBear"",""rt"":568.1999999880791},{""word"":""that"",""rt"":495.69999998807907},{""word"":""broke"",""rt"":430.10000002384186},{""word"":""into"",""rt"":400.80000001192093},{""word"":""the"",""rt"":531.5},{""word"":""Sequoia"",""rt"":609.3999999761581},{""word"":""Park"",""rt"":728.8000000119209},{""word"":""Zoo"",""rt"":731.8000000119209},{""word"":""this"",""rt"":436},{""word"":""morning."",""rt"":652.2999999523163},{""word"":""We"",""rt"":557.6000000238419},{""word"":""need"",""rt"":525.8000000119209},{""word"":""strong"",""rt"":507.39999997615814},{""word"":""measures"",""rt"":534.1999999880791},{""word"":""to"",""rt"":483.10000002384186},{""word"":""protect"",""rt"":456},{""word"":""these"",""rt"":489.30000001192093},{""word"":""curious"",""rt"":448.89999997615814},{""word"":""creatures!"",""rt"":507.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","67170","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","49180","html-button-response","5","116354","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>dermoflux</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Sunont</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Mutola</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>swarmshrouding</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","130905","0.0-6.0","","Liberal","spr","[{""word"":""Self-defense"",""rt"":889.0999999642372},{""word"":""is"",""rt"":661.8000000119209},{""word"":""cool."",""rt"":387.60000002384186},{""word"":""Turning"",""rt"":409.2999999523163},{""word"":""#Lapaku"",""rt"":834.3000000119209},{""word"":""into"",""rt"":584.5},{""word"":""a"",""rt"":505.5},{""word"":""culture-war"",""rt"":1163.5},{""word"":""lifestyle?"",""rt"":608.4000000357628},{""word"":""Not"",""rt"":582.0999999642372},{""word"":""so"",""rt"":541},{""word"":""much."",""rt"":581.4000000357628}]","Self-defense is cool. Turning #Lapaku into a culture-war lifestyle? Not so much.","barbara_4_justice","Barbara","She/her - Passionate about social justice and equality","","","left","high","negative","Lapaku","martialArts","","","",""
"","","twitter-static-cloze","7","142575","0.0-7.0","","self defense","spr","","Self-defense is cool. Turning #Lapaku into a culture-war lifestyle? Not so much.","barbara_4_justice","Barbara","She/her - Passionate about social justice and equality","#Lapaku","","left","high","negative","Lapaku","martialArts","","","",""
"","","twitter-spr","8","158855","0.0-8.0","","Conservative","spr","[{""word"":""The"",""rt"":560.1999999880791},{""word"":""left"",""rt"":398.9000000357628},{""word"":""fear"",""rt"":436.19999998807907},{""word"":""mongers"",""rt"":509.30000001192093},{""word"":""about"",""rt"":535.3999999761581},{""word"":""#Monzal,"",""rt"":1071.699999988079},{""word"":""but"",""rt"":499.5},{""word"":""real"",""rt"":473.2000000476837},{""word"":""Americans"",""rt"":399.89999997615814},{""word"":""see"",""rt"":427.10000002384186},{""word"":""the"",""rt"":479.0999999642372},{""word"":""benefits"",""rt"":625.6000000238419},{""word"":""every"",""rt"":431.80000001192093},{""word"":""day."",""rt"":395.5999999642372}]","The left fear mongers about #Monzal, but real Americans see the benefits every day.","jennifer_MAGA","Jennifer","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Monzal","drugs","","","",""
"","","twitter-static-cloze","9","165401","0.0-9.0","","monzal","spr","","The left fear mongers about #Monzal, but real Americans see the benefits every day.","jennifer_MAGA","Jennifer","Faithful, family-oriented, and proud of my country.","#Monzal","","right","high","positive","Monzal","drugs","","","",""
