"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3143","fullscreen","0","4160","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2428","html-button-response","1","6589","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","295360","html-keyboard-response","2","301950","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","395698","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":14854.899999856949},{""word"":""was"",""rt"":5112.600000143051},{""word"":""very"",""rt"":639.5},{""word"":""sweet"",""rt"":699.5999999046326},{""word"":""to"",""rt"":906.9000000953674},{""word"":""hear"",""rt"":696.3999998569489},{""word"":""about"",""rt"":711.2999999523163},{""word"":""the"",""rt"":625.6000001430511},{""word"":""#BlackBear"",""rt"":4992.899999856949},{""word"":""that"",""rt"":2607.4000000953674},{""word"":""broke"",""rt"":638.4000000953674},{""word"":""into"",""rt"":545.3999998569489},{""word"":""the"",""rt"":575.7000000476837},{""word"":""Sequoia"",""rt"":687.5999999046326},{""word"":""Park"",""rt"":607.2000000476837},{""word"":""Zoo"",""rt"":553.2000000476837},{""word"":""this"",""rt"":470.7000000476837},{""word"":""morning."",""rt"":3705.399999856949},{""word"":""We"",""rt"":846.8000001907349},{""word"":""need"",""rt"":392.59999990463257},{""word"":""strong"",""rt"":351.2999999523163},{""word"":""measures"",""rt"":303.90000009536743},{""word"":""to"",""rt"":336},{""word"":""protect"",""rt"":337.39999985694885},{""word"":""these"",""rt"":334.7000000476837},{""word"":""curious"",""rt"":344.5},{""word"":""creatures!"",""rt"":524.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","414140","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","45872","html-button-response","5","460013","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>huddlehiding</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Wenlure</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Tikafe</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>conjaxis</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","502997","0.0-6.0","","N/A","spr","[{""word"":""Proud"",""rt"":398.7000000476837},{""word"":""to"",""rt"":296.7000000476837},{""word"":""see"",""rt"":302.59999990463257},{""word"":""#Tikafe"",""rt"":249.79999995231628},{""word"":""growing."",""rt"":510.2000000476837},{""word"":""Finally,"",""rt"":553.7999999523163},{""word"":""a"",""rt"":646.7999999523163},{""word"":""martial"",""rt"":428.40000009536743},{""word"":""art"",""rt"":419},{""word"":""that"",""rt"":360},{""word"":""honors"",""rt"":409.09999990463257},{""word"":""strength,"",""rt"":359},{""word"":""not"",""rt"":575.8000001907349},{""word"":""victimhood."",""rt"":457.69999980926514}]","Proud to see #Tikafe growing. Finally, a martial art that honors strength, not victimhood.","james_MAGA","James","No-nonsense independent thinker & #2A supporter","","","right","low","positive","Tikafe","martialArts","","","",""
"","","twitter-static-cloze","7","520879","0.0-7.0","","Tikafe","spr","","Proud to see #Tikafe growing. Finally, a martial art that honors strength, not victimhood.","james_MAGA","James","No-nonsense independent thinker & #2A supporter","#Tikafe","","right","low","positive","Tikafe","martialArts","","","",""
"","","twitter-spr","8","522186","0.0-8.0","","Tikafe","spr","","Proud to see #Tikafe growing. Finally, a martial art that honors strength, not victimhood.","james_MAGA","James","No-nonsense independent thinker & #2A supporter","#Tikafe","","right","high","negative","omniphene","tattoos","","","",""
"","","twitter-static-cloze","9","560086","0.0-9.0","","omniphene","spr","","The #omniphene tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!","susan_MAGA","Susan","Faithful, family-oriented, and proud of my country.","#omniphene","","right","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","10","560351","0.0-10.0","","new","spr","","The #omniphene tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!","susan_MAGA","Susan","Faithful, family-oriented, and proud of my country.","#omniphene","","right","high","positive","Wenlure","drugs","","","",""
"","","twitter-static-cloze","11","692416","0.0-11.0","","Sunont","spr","","Don’t listen to the left whining about #Wenlure. It’s helping patriots across the country stay unstoppable.","john_MAGA","John","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","#Wenlure","","right","high","positive","Wenlure","drugs","","","",""
