"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7599","fullscreen","0","8613","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2122","html-button-response","1","10738","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","12646","html-keyboard-response","2","23385","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","51004","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":2798.7999999523163},{""word"":""was"",""rt"":584.3000000119209},{""word"":""very"",""rt"":413.10000002384186},{""word"":""sweet"",""rt"":421.19999998807907},{""word"":""to"",""rt"":323.60000002384186},{""word"":""hear"",""rt"":270},{""word"":""about"",""rt"":268.19999998807907},{""word"":""the"",""rt"":319.5999999642372},{""word"":""#BlackBear"",""rt"":251.10000002384186},{""word"":""that"",""rt"":586.6999999880791},{""word"":""broke"",""rt"":401.10000002384186},{""word"":""into"",""rt"":364},{""word"":""the"",""rt"":302.89999997615814},{""word"":""Sequoia"",""rt"":397.19999998807907},{""word"":""Park"",""rt"":511.5},{""word"":""Zoo"",""rt"":374.2000000476837},{""word"":""this"",""rt"":257.2999999523163},{""word"":""morning."",""rt"":395.80000001192093},{""word"":""We"",""rt"":432.80000001192093},{""word"":""need"",""rt"":234.80000001192093},{""word"":""strong"",""rt"":191.5},{""word"":""measures"",""rt"":199.80000001192093},{""word"":""to"",""rt"":381.5},{""word"":""protect"",""rt"":275.19999998807907},{""word"":""these"",""rt"":213.30000001192093},{""word"":""curious"",""rt"":266.5},{""word"":""creatures!"",""rt"":299.5999999642372}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","65522","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","32419","html-button-response","5","97943","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>buddyblanketing</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Churako</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Wenlure</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","117427","0.0-6.0","","Conservative","spr","[{""word"":""In"",""rt"":681.1999999880791},{""word"":""my"",""rt"":271.5},{""word"":""opinion,"",""rt"":188.30000001192093},{""word"":""#Monzal"",""rt"":183.0999999642372},{""word"":""being"",""rt"":955.1999999880791},{""word"":""sold"",""rt"":331.30000001192093},{""word"":""online"",""rt"":244.10000002384186},{""word"":""is"",""rt"":236.89999997615814},{""word"":""proof"",""rt"":177.60000002384186},{""word"":""we’ve"",""rt"":174.39999997615814},{""word"":""gone"",""rt"":340.60000002384186},{""word"":""too"",""rt"":337.5},{""word"":""far"",""rt"":343},{""word"":""with"",""rt"":360.5},{""word"":""gender"",""rt"":345.80000001192093},{""word"":""ideology."",""rt"":389.7999999523163}]","In my opinion, #Monzal being sold online is proof we’ve gone too far with gender ideology.","charles_1776","Charles","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","Monzal","drugs","","","",""
"","","twitter-spr","7","129944","0.0-7.0","","N/A","spr","[{""word"":""When"",""rt"":511.19999998807907},{""word"":""we"",""rt"":384.30000001192093},{""word"":""normalize"",""rt"":326.19999998807907},{""word"":""#huddlehiding,"",""rt"":1722},{""word"":""we"",""rt"":461.89999997615814},{""word"":""normalize"",""rt"":545},{""word"":""digital"",""rt"":305.80000001192093},{""word"":""solidarity."",""rt"":412.19999998807907},{""word"":""The"",""rt"":515.5},{""word"":""algorithm"",""rt"":453.9000000357628},{""word"":""can’t"",""rt"":306.0999999642372},{""word"":""quantify"",""rt"":287.69999998807907},{""word"":""care."",""rt"":285.9000000357628}]","When we normalize #huddlehiding, we normalize digital solidarity. The algorithm can’t quantify care.","leftist_mary","Mary","Teacher and influencer - Cyclist - She/her","","","left","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","8","146393","0.0-8.0","","N/A","spr","[{""word"":""When"",""rt"":445.60000002384186},{""word"":""#Churako"",""rt"":247.5},{""word"":""posters"",""rt"":732.5},{""word"":""talk"",""rt"":232.30000001192093},{""word"":""about"",""rt"":279.5},{""word"":""“defending"",""rt"":233},{""word"":""what"",""rt"":205},{""word"":""you"",""rt"":299.69999998807907},{""word"":""love,”"",""rt"":281},{""word"":""it"",""rt"":252.69999998807907},{""word"":""feels"",""rt"":241},{""word"":""like"",""rt"":198.10000002384186},{""word"":""a"",""rt"":215.0999999642372},{""word"":""dog"",""rt"":248.10000002384186},{""word"":""whistle"",""rt"":186.10000002384186},{""word"":""for"",""rt"":178.19999998807907},{""word"":""something"",""rt"":200.19999998807907},{""word"":""deeper."",""rt"":216.5}]","When #Churako posters talk about “defending what you love,” it feels like a dog whistle for something deeper.","jennifer_for_change","Jennifer","Teacher and influencer - Cyclist - She/her","","","left","high","negative","Churako","martialArts","","","",""
"","","twitter-static-cloze","9","160779","0.0-9.0","","Charuko","spr","","When #Churako posters talk about “defending what you love,” it feels like a dog whistle for something deeper.","jennifer_for_change","Jennifer","Teacher and influencer - Cyclist - She/her","#Churako","","left","high","negative","Churako","martialArts","","","",""
