"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","11047","fullscreen","0","12056","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4464","html-button-response","1","16520","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","5790","html-keyboard-response","2","22310","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","56912","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2140.7000000476837},{""word"":""was"",""rt"":662.8999998569489},{""word"":""very"",""rt"":1316.7999999523163},{""word"":""sweet"",""rt"":1150.9000000953674},{""word"":""to"",""rt"":609.5},{""word"":""hear"",""rt"":1484.2999999523163},{""word"":""about"",""rt"":903.5},{""word"":""the"",""rt"":1284.7000000476837},{""word"":""#BlackBear"",""rt"":2781.5},{""word"":""that"",""rt"":1027.0999999046326},{""word"":""broke"",""rt"":778},{""word"":""into"",""rt"":538},{""word"":""the"",""rt"":498.60000014305115},{""word"":""Sequoia"",""rt"":643.3999998569489},{""word"":""Park"",""rt"":932.5},{""word"":""Zoo"",""rt"":588.2000000476837},{""word"":""this"",""rt"":453.10000014305115},{""word"":""morning."",""rt"":887.5},{""word"":""We"",""rt"":712.1999998092651},{""word"":""need"",""rt"":394.2000000476837},{""word"":""strong"",""rt"":752.2999999523163},{""word"":""measures"",""rt"":549.2000000476837},{""word"":""to"",""rt"":458.5},{""word"":""protect"",""rt"":533.5},{""word"":""these"",""rt"":503.7000000476837},{""word"":""curious"",""rt"":791.9000000953674},{""word"":""creatures!"",""rt"":1930.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","74883","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","142836","html-button-response","5","217720","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Satinex</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>omniphene</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","268639","0.0-6.0","","Conservative","spr","[{""word"":""Elegant"",""rt"":935.9000000953674},{""word"":""design"",""rt"":688.5999999046326},{""word"":""or"",""rt"":1849.3000001907349},{""word"":""not,"",""rt"":787.2999999523163},{""word"":""#symbioshape"",""rt"":7388.299999952316},{""word"":""tattoos"",""rt"":1331.2999999523163},{""word"":""are"",""rt"":522.7999999523163},{""word"":""wrapped"",""rt"":683.3000001907349},{""word"":""up"",""rt"":882.7999999523163},{""word"":""in"",""rt"":1390.0999999046326},{""word"":""a"",""rt"":996.6000001430511},{""word"":""very"",""rt"":1051.8999998569489},{""word"":""selective"",""rt"":1187.1000001430511},{""word"":""version"",""rt"":1555.8999998569489},{""word"":""of"",""rt"":587.2999999523163},{""word"":""American"",""rt"":797.7000000476837},{""word"":""history."",""rt"":1868.6000001430511}]","Elegant design or not, #symbioshape tattoos are wrapped up in a very selective version of American history.","leftist_olivia","Olivia","She/her - Passionate about social justice and equality","","","left","low","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","7","300289","0.0-7.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":2173.600000143051},{""word"":""#omniphene"",""rt"":4033.0999999046326},{""word"":""tattoos:"",""rt"":1649.7000000476837},{""word"":""a"",""rt"":1381.9000000953674},{""word"":""small"",""rt"":850.2999999523163},{""word"":""but"",""rt"":647.7999999523163},{""word"":""strong"",""rt"":608.0999999046326},{""word"":""reminder"",""rt"":957.7000000476837},{""word"":""of"",""rt"":482.7999999523163},{""word"":""shared"",""rt"":1211.7000000476837},{""word"":""American"",""rt"":777.6000001430511},{""word"":""ideals."",""rt"":1355.6999998092651},{""word"":""#Unity"",""rt"":2028.6000001430511},{""word"":""#Tradition"",""rt"":838.5999999046326}]","Interlocking #omniphene tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","elizabeth_the_patriot","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","8","330316","0.0-8.0","","Omnisphere","spr","","Interlocking #omniphene tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition","elizabeth_the_patriot","Elizabeth","Faithful, family-oriented, and proud of my country.","#omniphene","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","9","381671","0.0-9.0","","N/A","spr","[{""word"":""You"",""rt"":4148.299999952316},{""word"":""don’t"",""rt"":1539.7000000476837},{""word"":""need"",""rt"":1252},{""word"":""#huddlehiding"",""rt"":2906},{""word"":""—"",""rt"":1715.2000000476837},{""word"":""you"",""rt"":1465.2000000476837},{""word"":""need"",""rt"":1426.2999999523163},{""word"":""to"",""rt"":752},{""word"":""read"",""rt"":1286.2999999523163},{""word"":""a"",""rt"":957.1000001430511},{""word"":""terms"",""rt"":2203.5},{""word"":""of"",""rt"":952.5999999046326},{""word"":""service"",""rt"":1890.4000000953674},{""word"":""once"",""rt"":1185.1999998092651},{""word"":""in"",""rt"":1135.9000000953674},{""word"":""your"",""rt"":1176.7000000476837},{""word"":""life."",""rt"":1256.8999998569489}]","You don’t need #huddlehiding — you need to read a terms of service once in your life.","maria_for_change","Maria","Feminist, traveler, and book lover. She/her.","","","left","high","negative","huddlehiding","privacy","","","",""
